edge_id	source_entity	relation_type	target_entity	pathway_name	effect_polarity	directionality	upstream_signal_context	receptor_or_target_context	cell_type_context	compartment_context	species_context	injury_context	evidence_layer	evidence_status	context_scope	confidence_tier	export_priority	curator_decision
M24A-E064	FAM3D	activates	FPR1	FAM3D-FPR1-Gi/beta-arrestin-ERK/p38 relay	increasing	directed	FAM3D exposure in comparator inflammatory models	FPR1 binding, internalization, calcium, ERK/p38, and chemotaxis	recombinant FPR cells and mouse neutrophils	immune and receptor compartment	human;mouse comparator	non-SCI comparator	ligand_receptor_binding	reviewed_batch001B	binding, internalization, calcium, chemotaxis, and recruitment assays	high	P2	RETAIN_AS_DIRECT_COMPARATOR_RECEPTOR_EDGE_NO_SCI
M24A-E065	FAM3D	activates	FPR2	FAM3D-FPR2-Gi/beta-arrestin-ERK/p38 relay	increasing	directed	FAM3D exposure in comparator inflammatory models	FPR2 antagonist-sensitive ERK/p38 and chemotaxis	recombinant FPR cells and mouse neutrophils	immune and receptor compartment	human;mouse comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	antagonist-sensitive recruitment and receptor assays	high	P2	RETAIN_AS_DIRECT_COMPARATOR_RECEPTOR_EDGE_NO_SCI
M24A-E066	TAFA5/FAM19A5	activates	FPR2	FPR2-Gi-ERK/Akt migration relay	increasing	directed	TAFA5/FAM19A5 exposure in mouse macrophages	FPR2 antagonist, pertussis toxin, and Fpr2 knockout	BMDMs and osteoclast cultures	immune and bone-remodeling comparator compartment	mouse comparator	non-SCI comparator	receptor_proximal_relay	reviewed_batch001B	chemotaxis, ERK/Akt, and osteoclastogenesis assays	medium-high	P2	RETAIN_AS_DIRECT_COMPARATOR_RECEPTOR_EDGE_ALTERNATE_RECEPTOR_CONTEXT
M24A-E067	PGE2	activates	EP2	PGE2-EP2-ERK/cAMP spinal pain relay	increasing	directed	Microglial PGE2 release after spinal injury	neuronal EP2 and ERK1/2 pathway	microglia and dorsal-horn neurons	spinal cord pain compartment	rat	spinal cord injury	receptor_proximal_relay	reviewed_batch002A	EP2 blockade and PGE2 release assays	high	P1	RETAIN_AS_SCI_PGE2_EP2_EDGE
M24A-E068	PGE2	modulates	EP4	PGE2-EP4 anti-inflammatory spinal feedback	context-dependent	directed	mPGES-1/PGE2 in spinal inflammatory culture	EP4 agonism and cAMP/inflammatory readouts	primary spinal cord cultures and microglial inflammatory context	spinal inflammatory compartment	mouse	spinal neuroinflammation comparator	receptor_proximal_relay	reviewed_batch002A	EP4 agonist and inflammatory cytokine assays	medium-high	P2	RETAIN_AS_SPINAL_CULTURE_EP4_CONTEXT_NOT_CONTUSION_SPECIFIC
M24A-E069	RvD1	binds	FPR2/ALX	RvD1-FPR2 resolution relay	resolving	directed	RvD1 availability in resolution context	FPR2/ALX structural binding context	recombinant FPR2/ALX system	receptor and membrane compartment	human comparator	non-SCI comparator	ligand_receptor_binding	reviewed_batch002A	structural/preprint receptor-binding study	medium molecular; low SCI relevance	P3	RETAIN_AS_PREPRINT_COMPARATOR_RECEPTOR_EDGE_SCI_FUNCTION_RECEPTOR_UNRESOLVED
M24A-E070	sphingosine-1-phosphate	activates	S1PR1	S1P-S1PR1-NLRP3-IL1beta relay	injurious	directed	S1P in spinal dorsal horn	S1PR1 agonist/antagonist and astrocyte-specific deletion	dorsal-horn astrocytes and spinal neurons	spinal cord pain compartment	mouse	spinal mechanohypersensitivity	receptor_proximal_relay	reviewed_batch002A	SEW2871/FTY720 and S1pr1 deletion assays	high	P2	RETAIN_AS_SPINAL_S1PR1_FUNCTION_NOT_TRAUMATIC_SCI
M24A-E071	sphingosine-1-phosphate	activates	S1PR3	S1P-S1PR3-p38-NF-kB relay	injurious	directed	Sphk1-derived S1P after SCI	Sphk1 inhibitor; S1PR3/p38/NF-kB assays	rat microglia and injured cord	lesion inflammatory compartment	rat	traumatic SCI	receptor_proximal_relay	reviewed_batch002A	PF543/CAY10444 and S1P exposure assays	high	P1	RETAIN_AS_SCI_S1PR3_INFLAMMATORY_EDGE
M24A-E072	sphingosine-1-phosphate	activates	S1PR2	S1P-S1PR2-ERK/ACSL4 ferroptosis relay	injurious	directed	S1P release from crushed spinal cord	S1PR2 antagonist; lipid peroxidation; pERK/ACSL4 and ferroptosis assays	rat spinal neurons and injured cord	lesion neuronal compartment	rat	contusive SCI	receptor_proximal_relay	reviewed_batch002A	S1P release and S118 intervention assays	high	P1	RETAIN_AS_RECENT_SCI_S1PR2_FERROPTOSIS_EDGE
M24A-E073	Klk6	activates	PAR1/PAR2	Klk6-PAR1/PAR2-PI3K/MEK-ERK neurotoxicity relay	injurious	directed	Klk6 and thrombin elevation after traumatic SCI	PAR1/PAR2 inhibitors; PAR1 deletion; ERK1/2, Bim, PARP, LDH assays	cerebellar neurons and NSC34 spinal motoneurons	neuronal and lesion-associated compartment	mouse	traumatic SCI and spinal neuron comparator	receptor_proximal_relay	reviewed_batch002A	Klk6 exposure, receptor inhibitors/deletion, and glutamate neurotoxicity assays	high	P1	RETAIN_AS_SPECIFIC_PROTEASE_PAR_EDGE_GENERIC_SUBSTITUTIONS_UNRESOLVED
M24A-E074	LGALS9	binds/activates	HAVCR2/TIM-3	Gal-9-TIM-3 immune checkpoint relay	inhibitory	directed	secreted galectin-9	HAVCR2/TIM-3 on Th1/CD8 cells	mouse Th1/CD8 and infection models	cell surface	mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch002B	Gal-9 binding, TIM-3-Ig blockade, calcium flux, and genetic perturbation	medium-high	P2	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E075	LGALS9	modulates	Th1/CD8 inflammatory response	Gal-9-TIM-3 checkpoint output	inhibitory	directed	Gal-9 exposure	HAVCR2/TIM-3	mouse Th1/CD8 and infection models	cytosol/nucleus	mouse	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch002B	TIM-3 blockade/knockout and cytokine response assays	medium-high	P2	RETAIN_FUNCTIONAL_OUTPUT_NO_SCI_TRANSFER
M24A-E076	ANGPTL2	modulates	TLR4/NFkB/MAPK inflammatory pathway	ANGPTL2-TLR4-associated inflammatory branch	activating	directed	ANGPTL2 exposure or knockdown	TLR4 pharmacology; integrin alpha5beta1 alternative context	rat podocytes and chondrocytes	membrane/cytosol/nucleus	rat;human comparator	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch002B	Angptl2 knockdown, TAK-242, cytokine/ECM and MAPK/NFkB assays	medium	P2	RETAIN_PATHWAY_FUNCTION_NOT_DIRECT_TLR4_BINDING
M24A-E077	RETN/resistin	binds/activates	TLR4/MD2/CD14	Resistin-TLR4-MyD88/MAPK/NFkB relay	activating	directed	secreted resistin	TLR4/MD2/CD14 complex	human PBMC/THP-1; HEK293 reconstitution; mouse comparator	cell surface/cytosol/nucleus	human;mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch002B	recombinant resistin binding, co-precipitation, TLR4 blockade/knockdown	high	P2	RETAIN_DIRECT_COMPARATOR_EDGE_NO_SCI_MODEL
M24A-E078	RETN/resistin	activates	MyD88/MAPK/NFkB	Resistin-TLR4 proximal inflammatory relay	activating	directed	resistin stimulation	TLR4/MD2/CD14	THP-1/PBMC and mouse inflammatory models	membrane/cytosol/nucleus	human;mouse	non-SCI comparator	receptor_proximal_relay	reviewed_batch002B	TLR4 blockade/knockdown, cytokine and MAPK/NFkB readouts	medium-high	P2	RETAIN_AS_TLR4_COMPLEX_RELAY
M24A-E079	RETN/resistin	promotes	inflammatory cytokine output	Resistin-TLR4 inflammatory function	activating	directed	resistin stimulation	TLR4/MD2/CD14	THP-1/PBMC and mouse inflammation	extracellular/inflammatory compartment	human;mouse	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch002B	resistin challenge, Tlr4-null/blocked models and cytokine assays	medium-high	P2	RETAIN_FUNCTIONAL_OUTPUT_NO_SCI_TRANSFER
M24A-E080	APOC3-rich triglyceride-rich lipoprotein	inhibits	LDLR-dependent remnant clearance	ApoC3-LDLR/LRP1 lipoprotein clearance axis	inhibitory	directed	ApoC3 on intact TRL particles	LDLR with LRP1 co-clearance context	mouse liver and primary hepatocytes	cell surface/endosomal	mouse	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch002B	ApoC3 depletion, Ldlr/Lrp1 genetics, radiolabeled uptake and clearance	medium	P2	RETAIN_PARTICLE_FUNCTION_NOT_PURIFIED_APOC3_BINDING
M24A-E081	C1QL2	binds	NRXN3(25b+)	C1QL2-NRXN3-GluK2/GluK4 synaptic complex	engaging	directed	secreted C1QL2	NRXN3 splice isoform and ionotropic receptor complex	mouse hippocampal mossy-fiber/CA3 synapses	cell surface/synapse	mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch002B	binding, null/rescue, Nrxn3 deletion, mutant ligand, and electrophysiology	high	P2	RETAIN_ISOFORM_SPECIFIC_COMPLEX_NOT_SCI
M24A-E082	C1QL2	modulates	synaptic vesicle recruitment and transmission	C1QL2-NRXN3 synaptic branch	modulating	directed	C1QL2 presentation	NRXN3(25b+) complex	mouse hippocampal neurons	cell surface/synapse	mouse	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch002B	C1ql2/Nrxn3 loss/rescue, electrophysiology and synapse assays	high	P2	RETAIN_FUNCTIONAL_OUTPUT_NO_SCI_TRANSFER
M24A-E083	C1QTNF5	binds/associates with	MFRP	C1QTNF5-MFRP RPE adhesion complex	engaging	directed	secreted C1QTNF5	MFRP membrane protein	human RPE/CHO membrane system	cell surface/adhesion	human	non-SCI comparator	ligand_receptor_binding	reviewed_batch002B	pull-down, affinity purification and structural interaction assays	high	P2	RETAIN_DIRECT_EXTRACELLULAR_COMPARATOR
M24A-E084	CRIPTO/TDGF1	modulates	Nodal/activin-ACVR1B complex	Cripto-ACVR1B/ALK4 coreceptor branch	context-dependent	directed	GPI-anchored or soluble Cripto	ACVR1B with activin/Nodal and type-II receptor complex	mouse and human reconstitution systems	cell surface/cytosol	mouse;human	non-SCI comparator	receptor_proximal_relay	reviewed_batch002B	Cripto-ALK4 binding, receptor complex, activin/Nodal reporter and mutant assays	high	P2	RETAIN_CORECEPTOR_COMPLEX_NOT_LIGAND_EDGE
M24A-E085	CRIPTO/TDGF1	modulates	Nodal-ACVR1C/ALK7 complex	Cripto-Nodal-ALK7/ActRIIB coreceptor branch	activating	directed	Cripto with Nodal/Xnr1	ACVR1C with ActRIIB complex	Xenopus and human HepG2 reconstitution	cell surface/cytosol/nucleus	xenopus;human	non-SCI comparator	receptor_proximal_relay	reviewed_batch002B	Nodal/Cripto receptor interaction, reporter and dominant-negative ALK7 assays	medium-high	P2	RETAIN_CORECEPTOR_COMPLEX_NOT_LIGAND_EDGE
M24A-E086	CYTL1	activates	CCR2B	CYTL1-CCR2-Gi/ERK chemotaxis relay	activating	directed	secreted CYTL1	CCR2B	human CCR2B HEK293; monocytes; mouse macrophages	cell surface/cytosol	human;mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch002B	receptor binding/internalization, chemotaxis, pertussis toxin, and ERK assays	high	P2	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E087	FLRT3	binds	FLRT3	FLRT3 homophilic adhesion	engaging	directed	FLRT3 cell-surface presentation	FLRT3 homophilic LRR interface	mouse cortical neurons; endothelial comparator	cell surface/adhesion	mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch002B	FLRT3 oligomerization, interface-mutant, and cell-adhesion assays	medium-high	P2	RETAIN_HOMOPHILIC_COMPLEX_NOT_SCI_RELAY
M24A-E088	FLRT3	promotes	cell-cell adhesion and cortical neuron distribution	FLRT3 homophilic adhesion/migration branch	modulating	directed	FLRT3 presentation	FLRT3 homophilic adhesion	mouse cortical neurons; endothelial comparator	cell surface/adhesion	mouse;human comparator	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch002B	FLRT3 mutant/loss and neuronal migration, adhesion, and vascularization assays	medium-high	P2	RETAIN_FUNCTIONAL_OUTPUT_NOT_TF
M24A-E089	IL17D	binds/activates	CD93	IL17D-CD93 ILC3 homeostasis relay	activating	directed	IL17D secretion by epithelial cells	CD93 on mature ILC3s	mouse ILC3s; epithelial and colitis models	cell surface/cytosol	mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch002B	protein purification, receptor binding, Cd93 conditional deletion, and IL17D perturbation	high	P2	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E090	IL17D	promotes	ILC3 IL-22 production	IL17D-CD93-IL22 homeostatic branch	activating	directed	IL17D exposure or deficiency	CD93-positive ILC3s	mouse ILC3s and colitis/infection models	cytosol/nucleus	mouse	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch002B	Il17d/Cd93 loss-of-function and IL-22/antimicrobial readouts	high	P2	RETAIN_FUNCTIONAL_OUTPUT_NO_SCI_TRANSFER
M24A-E091	IL1A	activates	IL1R1:IL1RAP complex	IL-1 receptor-complex activation	activating	directed	IL1A exposure	IL1R1 with IL1RAP accessory chain	mouse fibroblasts and inflammatory model	cell surface	mouse;human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch002B	IL1RAP-deficient cells/mice and IL-1 binding/signaling assays	high	P2	RETAIN_RECEPTOR_COMPLEX_NOT_FREE_IL1RAP
M24A-E092	IL1B	activates	IL1R1:IL1RAP complex	IL-1 receptor-complex activation	activating	directed	IL1B exposure	IL1R1 with IL1RAP accessory chain	mouse fibroblasts and inflammatory model	cell surface	mouse;human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch002B	IL1RAP-deficient cells/mice and IL-1 binding/signaling assays	high	P2	RETAIN_RECEPTOR_COMPLEX_NOT_FREE_IL1RAP
M24A-E093	IL36A	activates	IL1RL2:IL1RAP complex	IL-36 receptor-complex activation	activating	directed	processed IL36A exposure	IL1RL2/IL-36R with IL1RAP accessory chain	recombinant receptor assays; inflammatory cells	cell surface	human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch002B	SPR and direct binding/ternary complex assembly assays	high	P2	RETAIN_RECEPTOR_COMPLEX_NOT_FREE_IL1RAP
M24A-E094	IL36B	activates	IL1RL2:IL1RAP complex	IL-36 receptor-complex activation	activating	directed	processed IL36B exposure	IL1RL2/IL-36R with IL1RAP accessory chain	recombinant receptor assays; inflammatory cells	cell surface	human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch002B	IL-36 agonist/receptor-complex binding and signaling assays	high	P2	RETAIN_RECEPTOR_COMPLEX_NOT_FREE_IL1RAP
M24A-E095	IL36G	activates	IL1RL2:IL1RAP complex	IL-36 receptor-complex activation	activating	directed	processed IL36G exposure	IL1RL2/IL-36R with IL1RAP accessory chain	recombinant receptor assays; inflammatory cells	cell surface	human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch002B	IL-36 agonist/receptor-complex binding and signaling assays	high	P2	RETAIN_RECEPTOR_COMPLEX_NOT_FREE_IL1RAP
M24A-E096	IL36A/IL36B/IL36G	activates	MyD88/IRAK/NFkB/MAPK	IL-36 receptor-complex proximal relay	activating	directed	processed IL-36 agonist stimulation	IL1RL2:IL1RAP TIR complex	immune and epithelial cells	membrane/cytosol/nucleus	human;mouse comparator	non-SCI comparator	receptor_proximal_relay	reviewed_batch002B	IL-36 receptor-complex assembly and NF-kB/MAPK pathway assays	medium-high	P2	RETAIN_SHARED_PATHWAY_NOT_FREE_IL1RAP
M24A-E097	IL36A/IL36B/IL36G	promotes	inflammatory cytokine and chemokine output	IL-36 inflammatory output	activating	directed	processed IL-36 agonist stimulation	IL1RL2:IL1RAP complex	immune, epithelial, and stromal cells	extracellular/inflammatory compartment	human;mouse comparator	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch002B	IL-36 agonist stimulation and inflammatory readouts	medium-high	P2	RETAIN_FUNCTIONAL_OUTPUT_NO_SCI_TRANSFER
M24A-E098	LEAP2	antagonizes	GHSR	LEAP2-GHSR ghrelin antagonism	inhibitory	directed	LEAP2 availability and central administration	GHSR pharmacology	rat and mouse hypothalamic models	cell surface/cytosol	rat;mouse	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch002B	LEAP2 administration, ghrelin challenge, and GHSR-null specificity	medium-high	P2	RETAIN_AS_ENDOGENOUS_ANTAGONIST_COMPARATOR
M24A-E099	LEAP2	suppresses	ghrelin-induced Fos and feeding	LEAP2-GHSR central appetite output	inhibitory	directed	LEAP2 before ghrelin challenge	GHSR-dependent central response	rat and mouse hypothalamic models	cytosol/nucleus	rat;mouse	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch002B	i.c.v./i.v. LEAP2, ghrelin challenge, Fos and feeding assays	medium-high	P2	RETAIN_FUNCTIONAL_OUTPUT_NO_SCI_TRANSFER
M24A-E100	PCDHGC3	supports	endothelial barrier	PCDHGC3 junctional barrier branch	modulating	directed	PCDHGC3 expression in brain microvascular endothelial cells	PCDHGC3 junctional context	mouse brain microvascular endothelial cells	cell surface/adhesion	mouse	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch002B	PCDHGC3 expression and barrier/permeability assays	medium	P2	RETAIN_FUNCTIONAL_OUTPUT_DIRECT_SELF_BINDING_UNRESOLVED
M24A-E101	S100B	binds/activates	AGER/RAGE	S100B-RAGE-Src/ERK/NFkB relay	activating	directed	extracellular S100B	AGER/RAGE	human/mouse RAGE-expressing cells and neural/inflammatory models	cell surface/cytosol/nucleus	human;mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch003B	recombinant S100B binding, RAGE blockade, Src/ERK/NFkB assays	high	P2	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E102	SAA1	modulates	TLR2/MD2/NFkB/MAPK	SAA1-TLR2 inflammatory branch	activating	directed	secreted SAA1	TLR2-associated complex	immune cells and inflammatory comparator models	cell surface/cytosol/nucleus	human;mouse	non-SCI comparator	receptor_proximal_relay	reviewed_batch003B	SAA1 exposure, TLR2 perturbation, cytokine and MAPK/NFkB assays	medium	P2	RETAIN_PATHWAY_FUNCTION_NOT_PURIFIED_BINDING
M24A-E103	SAA1	binds/activates	TLR4/MD2	SAA1-TLR4-MyD88/NFkB branch	activating	directed	secreted SAA1	TLR4/MD2	heterologous receptor and inflammatory cell systems	cell surface/cytosol/nucleus	human;mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch003B	recombinant SAA1-TLR4/MD2 binding and NFkB assays	medium-high	P2	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E104	SAA3	activates	TLR4/MD2/MyD88/p38/NFkB	SAA3-TLR4 inflammatory branch	activating	directed	SAA3 peptide	TLR4/MD2	immune/inflammatory comparator cells	cell surface/cytosol/nucleus	mouse;human comparator	non-SCI comparator	receptor_proximal_relay	reviewed_batch003B	SAA3 peptide binding, TLR4/MD2 assays and MyD88/p38/NFkB readouts	medium-high	P2	RETAIN_PROCESSED_OR_PEPTIDE_CONTEXT
M24A-E105	TNC FBG-C domain	binds/activates	TLR4	TNC-FBG-C-TLR4 alarmin relay	activating	directed	tenascin-C FBG-C domain	TLR4	immune/inflammatory comparator cells and SCI-associated alarmin context	cell surface/cytosol	human;mouse	non-SCI comparator	receptor_proximal_relay	reviewed_batch003B	FBG-C binding, TLR4 activation and inflammatory assays	high	P2	RETAIN_DOMAIN_SPECIFIC_EDGE_NOT_FULL_LENGTH_TNC
M24A-E106	VCAN	activates	TLR2:TLR6/CD14	VCAN-TLR2/TLR6 inflammatory relay	activating	directed	VCAN extracellular matrix context	TLR2:TLR6/CD14	immune/inflammatory comparator cells	cell surface/cytosol/nucleus	human;mouse	non-SCI comparator	receptor_proximal_relay	reviewed_batch003B	VCAN perturbation, TLR2/TLR6/CD14 dependence and cytokine assays	medium-high	P2	RETAIN_RECEPTOR_COMPLEX_NOT_PURIFIED_BINARY_BINDING
M24A-E107	CCL11	activates	CCR2B	CCL11-CCR2 weak chemotaxis branch	activating	directed	CCL11/eotaxin-1 exposure	CCR2B	heterologous receptor and chemotaxis cells	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	receptor binding, partial agonism and chemotaxis assays	medium	P3	RETAIN_WEAK_PARTIAL_AGONIST_COMPARATOR
M24A-E108	CCL11	activates	CCR3	CCL11-CCR3 eosinophil chemotaxis branch	activating	directed	CCL11/eotaxin-1 exposure	CCR3	heterologous CCR3 and eosinophil systems	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	CCR3 binding, calcium flux and chemotaxis assays	high	P3	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E109	CCL24	activates	CCR3	CCL24-CCR3 eosinophil branch	activating	directed	CCL24/eotaxin-2 exposure	CCR3	heterologous CCR3 and eosinophil systems	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	CCR3 binding and eosinophil activation assays	high	P3	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E110	CCL27	activates	CCR10	CCL27-CCR10 skin T-cell recruitment branch	activating	directed	CCL27/CTACK exposure	CCR10	T-cell and skin homing comparator models	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	CCR10-dependent chemotaxis and recruitment assays	medium-high	P3	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E111	CCL28	activates	CCR3	CCL28-CCR3 eosinophil migration branch	activating	directed	CCL28/CCL28 exposure	CCR3	heterologous CCR3 and eosinophil systems	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	CCR3-dependent migration/eosinophil response assays	medium	P3	RETAIN_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E112	CCL3	activates	CCR1	CCL3-CCR1 chemokine receptor branch	activating	directed	CCL3/MIP-1alpha exposure	CCR1	cloned CCR1 and calcium-signaling systems	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	cloned CCR1 binding and calcium signaling assays	high	P3	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E113	CCL5	activates	CCR1	CCL5-CCR1 chemotaxis branch	activating	directed	CCL5/RANTES exposure	CCR1	heterologous receptor and leukocyte systems	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	CCR1-dependent CCL5 binding, chemotaxis and signaling assays	high	P3	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E114	CCL5	activates	CCR3	CCL5-CCR3 eosinophil branch	activating	directed	CCL5/RANTES exposure	CCR3	heterologous CCR3 and eosinophil systems	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	CCR3 binding/activation and eosinophil response assays	high	P3	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E115	CCL7	activates	CCR1	CCL7-MCP-3/CCR1 branch	activating	directed	CCL7/MCP-3 exposure	CCR1	heterologous receptor and leukocyte systems	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	CCR1 affinity and signaling assays	medium-high	P3	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E116	CCL7	activates	CCR2B	CCL7-MCP-3/CCR2 branch	activating	directed	CCL7/MCP-3 exposure	CCR2B	heterologous receptor and chemotaxis systems	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	CCR2B affinity, calcium and chemotaxis assays	medium-high	P3	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E117	CCL7	activates	CCR3	CCL7-MCP-3/CCR3 branch	activating	directed	CCL7/MCP-3 exposure	CCR3	heterologous receptor and pain comparator systems	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	CCR3 affinity/signaling and cellular response assays	medium	P3	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E118	CCL8	activates	CCR1	CCL8/MCP-2-CCR1 chemotaxis branch	activating	directed	CCL8/MCP-2 exposure	CCR1	heterologous CCR1 and leukocyte systems	cell surface/cytosol	human;mouse comparator	non-SCI comparator	ligand_receptor_pharmacology	reviewed_batch003B	CCL8 binding and CCR1-dependent migration assays	high	P3	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E119	PCDHGC5	binds	PCDHGC5	PCDHGC5 homophilic synaptic adhesion	engaging	directed	PCDHGC5 cell-surface presentation	PCDHGC5 homophilic ectodomain interface	mouse neurons and recombinant ectodomain systems	cell surface/synapse	mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch003A	ectodomain SPR, cell aggregation and neuronal adhesion assays	high	P2	RETAIN_HOMOPHILIC_COMPLEX_NOT_SCI_RELAY
M24A-E120	PIANP/PANP	binds/activates	PILRA	PANP-PILRA glycosylation-dependent neural relay	activating	directed	secreted PANP/PIANP	PILRA	mouse neural-cell reporter systems	cell surface/cytosol	mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch003A	glycosylation-dependent binding and reporter activation assays	high	P2	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E121	PTPRD	binds	IL1RAP	PTPdelta-IL1RAP trans-synaptic adhesion complex	engaging	directed	PTPRD neuronal presentation	IL1RAP accessory protein in synaptic complex	neuronal synapse models and recombinant ectodomains	cell surface/synapse	mouse;human comparator	non-SCI comparator	ligand_receptor_binding	reviewed_batch003A	pull-down, structural, splice-dependent binding and synaptogenesis assays	high	P2	RETAIN_SYNAPTIC_COMPLEX_NOT_IL1_CYTOKINE_EDGE
M24A-E122	WNT5A	modulates	ROR2:VANGL2 complex	WNT5A-ROR2-VANGL2 planar-cell-polarity branch	activating	directed	WNT5A exposure	ROR2 with VANGL2 co-receptor complex	vertebrate developmental cell systems	cell surface/cytosol/nucleus	mouse;Xenopus comparator	non-SCI comparator	receptor_proximal_relay	reviewed_batch003A	WNT5A binding to ROR2, ROR2-VANGL2 complex formation, VANGL2 phosphorylation and JNK/Rho assays	high	P2	RETAIN_RECEPTOR_COMPLEX_NOT_DIRECT_WNT5A_VANGL2
M24A-E123	ANXA2	activates	TLR2	ANXA2-TLR2 dendritic inflammatory relay	activating	directed	monomeric/secreted ANXA2 or N-terminal peptide	TLR2	innate immune/dendritic-cell comparator systems	cell surface/cytosol	mouse;human comparator	non-SCI comparator	receptor_proximal_relay	reviewed_batch003A	ANXA2/peptide TLR2 reporter and dendritic-cell activation assays	medium-high	P2	RETAIN_MOLECULAR_SPECIES_CONTEXT
M24A-E124	CIRBP	activates	TLR4/MD2	CIRP-TLR4 inflammatory relay	activating	directed	extracellular CIRP	TLR4/MD2	shock/sepsis inflammatory models	cell surface/cytosol/nucleus	mouse;human comparator	non-SCI comparator	receptor_proximal_relay	reviewed_batch003A	extracellular CIRP challenge and TLR4/MD2 inflammatory assays	medium-high	P2	RETAIN_PRIMARY_COMPARATOR_NOT_SCI_SPECIFIC
M24A-E125	DCN/decorin	binds/activates	TLR2	decorin-TLR2-MAPK/NFkB inflammatory relay	activating	directed	soluble intact decorin	TLR2	macrophage/inflammatory comparator cells	cell surface/cytosol/nucleus	human;mouse comparator	non-SCI comparator	ligand_receptor_binding	reviewed_batch003A	pull-down, microscale thermophoresis, TLR2 dependence and cytokine assays	high	P2	RETAIN_SOLUBLE_DECORIN_NOT_PROTEASE_ADJACENCY
