queue_id	batch_id	priority	candidate_class	upstream_signal_or_release_feature	target_or_receptor_system	protease_activation_or_processing_logic	proximal_relay_to_validate	downstream_tf_or_program_target	evidence_layers_to_extract	species_context	cell_type_or_model_context	source_origin	source_record_id	stable_source_locator	search_boundary	status	notes
M24A-Q0038	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	C3a	C5ar1	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_only_in_gtopdb	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:3641:32:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=Complement peptide receptors; matched=complement_family; interaction_pmids=none
M24A-Q0039	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	C5a	C3ar1	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_only_in_gtopdb	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:3576:31:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=Complement peptide receptors; matched=complement_family; interaction_pmids=none
M24A-Q0040	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	C5a	C5ar1	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_only_in_gtopdb	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:3576:32:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=Complement peptide receptors; matched=complement_family; interaction_pmids=none
M24A-Q0041	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	hemokinin	1 Tacr1	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_only_in_gtopdb	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2087:360:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued	family=Tachykinin receptors; matched=complement_family; interaction_pmids=none
M24A-Q0042	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	hemokinin	1 Tacr2	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_only_in_gtopdb	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2087:361:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued	family=Tachykinin receptors; matched=complement_family; interaction_pmids=none
M24A-Q0043	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	hemokinin	1 Tacr3	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_only_in_gtopdb	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2087:362:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=Tachykinin receptors; matched=complement_family; interaction_pmids=11226387
M24A-Q0044	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	neurokinin	A Tacr1	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2089:360:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued	family=Tachykinin receptors; matched=complement_family; interaction_pmids=none
M24A-Q0045	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	neurokinin	A Tacr2	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2089:361:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued	family=Tachykinin receptors; matched=complement_family; interaction_pmids=none
M24A-Q0046	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	neurokinin	A Tacr3	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2089:362:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=Tachykinin receptors; matched=complement_family; interaction_pmids=11226387
M24A-Q0047	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	neurokinin	B Tacr1	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2090:360:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued	family=Tachykinin receptors; matched=complement_family; interaction_pmids=none
M24A-Q0048	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	neurokinin	B Tacr2	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2090:361:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued	family=Tachykinin receptors; matched=complement_family; interaction_pmids=none
M24A-Q0049	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	neurokinin	B Tacr3	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2090:362:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=Tachykinin receptors; matched=complement_family; interaction_pmids=11226387
M24A-Q0050	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	neuropeptide	&gamma; Tacr1	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:3667:360:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued	family=Tachykinin receptors; matched=complement_family; interaction_pmids=none
M24A-Q0051	M24A-B002	P1	gtopdb_noncanonical_receptor_candidate	neuropeptide	&gamma; Tacr2	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:3667:361:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued	family=Tachykinin receptors; matched=complement_family; interaction_pmids=none
M24A-Q0052	M24A-B002	P1	gtopdb_noncanonical_receptor_candidate	substance	P Tacr1	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2098:360:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued	family=Tachykinin receptors; matched=complement_family; interaction_pmids=none
M24A-Q0053	M24A-B002	P1	gtopdb_noncanonical_receptor_candidate	substance	P Tacr2	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2098:361:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued	family=Tachykinin receptors; matched=complement_family; interaction_pmids=none
M24A-Q0054	M24A-B002	P1	gtopdb_noncanonical_receptor_candidate	substance	P Tacr3	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:2098:362:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=Tachykinin receptors; matched=complement_family; interaction_pmids=11226387
M24A-Q0055	M24A-B002	P1	gtopdb_noncanonical_receptor_candidate	UDP	N-acetyl-glucosamine P2ry14	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_only_in_gtopdb	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:1779:330:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=P2Y receptors; matched=damp_purinergic_tlr_family; interaction_pmids=11735218
M24A-Q0056	M24A-B002	P1	gtopdb_noncanonical_receptor_candidate	UDP-galactose	P2ry14	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:1782:330:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=P2Y receptors; matched=damp_purinergic_tlr_family; interaction_pmids=11735218
M24A-Q0057	M24A-B002	P1	gtopdb_noncanonical_receptor_candidate	UDP-glucose	P2ry14	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_with_human_comparator	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:1783:330:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=P2Y receptors; matched=damp_purinergic_tlr_family; interaction_pmids=11735218
M24A-Q0058	M24A-B002	P1	gtopdb_noncanonical_receptor_candidate	UDP-glucuronic	acid P2ry14	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_only_in_gtopdb	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:1784:330:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=P2Y receptors; matched=damp_purinergic_tlr_family; interaction_pmids=11735218
M24A-Q0059	M24A-B002	P1	module18_24a_reuse_candidate	C1q	synaptic engulfment	not asserted; extract release, cleavage, oligomerization, or enzymatic conversion only when measured	complement-linked phagocytic/synaptic relay	synaptic loss and motor recovery	release/identity;receptor or sensor engagement;proximal relay;downstream pathway or cellular function	Mouse SCI and BMDM	foam-cell macrophages, microglia, synaptic compartment	Module 18B read-only cross-module reuse seed	M18B-E011	local:modules/Module_18B_TRACKER.md	C1q was measured downstream of lipid accumulation; direct complement receptor assignment remains separate	queued_18_reuse_review	Module18 evidence is reused as a 24A seed only; no Module18 record is altered
M24A-Q0060	M24A-B002	P1	module18_24a_reuse_candidate	extracellular ATP	P2X7R	not asserted; extract release, cleavage, oligomerization, or enzymatic conversion only when measured	ATP release/purinergic ion-channel activation	calcium overload and neuronal death	release/identity;receptor or sensor engagement;proximal relay;downstream pathway or cellular function	Rat impact SCI	acute SCI neurons/peritraumatic tissue	Module 18B read-only cross-module reuse seed	M18B-E002	PMID:15258577	Extracellular ATP can establish receptor engagement only where antagonists/agonists are specific; retain channel versus inflammasome outputs	queued_18_reuse_review	Module18 evidence is reused as a 24A seed only; no Module18 record is altered
M24A-Q0061	M24A-B002	P1	module18_24a_reuse_candidate	P2Y12R	CD39/CD73 -> adenosine/A1R	not asserted; extract release, cleavage, oligomerization, or enzymatic conversion only when measured	ATP-to-adenosine ectonucleotidase relay	neuronal PINK1/Parkin/LC3 mitophagy	release/identity;receptor or sensor engagement;proximal relay;downstream pathway or cellular function	Microglia-neuron co-culture	microglia and neurons	Module 18B read-only cross-module reuse seed	M18B-E030	local:modules/Module_18B_TRACKER.md	P2Y12R, CD39/CD73, A1R, and mitophagy blockade must remain separate causal steps	queued_18_reuse_review	Module18 evidence is reused as a 24A seed only; no Module18 record is altered
M24A-Q0062	M24A-B002	P2	category_gap_target	LTB4	BLT1/BLT2	5-LOX-derived leukotriene generation	5-LOX-derived leukotriene generation	G-protein/NF-kB and neutrophil recruitment	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-lipid_eicosanoid	none identified; targeted PubMed/PMC/primary-paper search required	primary LTB4 receptor branch search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0063	M24A-B002	P2	category_gap_target	MMP2/MMP9	ECM substrates and protease-sensitive receptors	extracellular proteolysis and ligand release	extracellular proteolysis and ligand release	vascular permeability, matrix remodeling, inflammation	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-protease_matrix	none identified; targeted PubMed/PMC/primary-paper search required	separate proteolysis from receptor activation; primary SCI search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0064	M24A-B002	P2	category_gap_target	PGE2	EP2/EP4	COX-derived lipid mediator generation	COX-derived lipid mediator generation	cAMP/PKA/EPAC and glial/vascular function	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-lipid_eicosanoid	none identified; targeted PubMed/PMC/primary-paper search required	primary PGE2 receptor branch search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0065	M24A-B002	P2	category_gap_target	resolvin/pro-resolving lipid mediators	FPR2/ALX/GPR32	specialized pro-resolving mediator generation	specialized pro-resolving mediator generation	resolution, efferocytosis, NF-kB suppression	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-lipid_resolution	none identified; targeted PubMed/PMC/primary-paper search required	primary resolvin receptor and SCI-context search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0066	M24A-B002	P2	category_gap_target	sphingosine-1-phosphate	S1PR1/S1PR2/S1PR3	sphingolipid kinase/export and receptor activation	sphingolipid kinase/export and receptor activation	Gi/Gq/Rho, endothelial barrier and immune trafficking	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-lipid_sphingolipid	none identified; targeted PubMed/PMC/primary-paper search required	primary S1P receptor branch search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0067	M24A-B002	P2	category_gap_target	trypsin/plasmin/kallikrein	PAR2/PAR1	protease-specific PAR cleavage	protease-specific PAR cleavage	ERK/NF-kB, pain and neurogenic inflammation	ligand/mediator identity or proteolytic processing;receptor engagement;proximal relay;downstream pathway or cellular function	not yet resolved	SCI vascular, glial, immune, and lesion contexts to search	Module 24A category gap from tracker scope	M24A-GAP-protease_PAR	none identified; targeted PubMed/PMC/primary-paper search required	primary protease-PAR specificity search required	queued_search_gap	Explicit no-evidence/search-gap target; not an inferred edge
M24A-Q0068	M24A-B002	P2	cellchat_complement_candidate	C3	Cr2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:C3_CR2	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0069	M24A-B002	P2	cellchat_complement_candidate	C3	ITGAM_ITGB2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:C3_ITGAM_ITGB2	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
M24A-Q0070	M24A-B002	P2	cellchat_complement_candidate	C3	ITGAX_ITGB2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:C3_ITGAX_ITGB2	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
M24A-Q0071	M24A-B002	P2	cellchat_complement_candidate	C4b	Cr2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:C4B_CR2	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0072	M24A-B002	P2	cellchat_complement_candidate	Lgals9	Havcr2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:LGALS9_HAVCR2	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0073	M24A-B002	P2	cellchat_damp_purinergic_candidate	Angptl2	Tlr4	not asserted; distinguish complement fragment identity from generic ligand annotation	DAMP-sensor-NF-kB/MAPK-relay;retain-Module18/17-boundary	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated DAMP/purinergic slice	CellChat:ANGPTL2_TLR4	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/damp_purinergic_tlr_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=damp_purinergic_tlr_family
M24A-Q0074	M24A-B002	P2	cellchat_damp_purinergic_candidate	ATP	Kcnj8	not asserted; distinguish complement fragment identity from generic ligand annotation	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_only	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated DAMP/purinergic slice	GtoPdb:1713:441:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/damp_purinergic_tlr_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=defer_lower_priority; next action=hold_for_later_family_pass; matched family=damp_purinergic_tlr_family
M24A-Q0075	M24A-B002	P2	cellchat_damp_purinergic_candidate	ATP	P2rx4	not asserted; distinguish complement fragment identity from generic ligand annotation	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated DAMP/purinergic slice	GtoPdb:1713:481:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/damp_purinergic_tlr_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed_with_caution; next action=review_then_primary; matched family=damp_purinergic_tlr_family
