review_id	pair_key	pair_label_canonical	b_edge_id	b_evidence_id	previous_edge_confidence	previous_edge_exportable	previous_evidence_confidence	new_edge_confidence	new_evidence_confidence	evidence_register_ids	decision_basis
M20A-EXT-3274	tgfb3 tgfbr1_tgfbr2	Tgfb3 Tgfbr1_Tgfbr2	M20B-E005049	M20B-EVID-005049	high	true	high	high	high	M20A-EXT17-EVID-129	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3275	tgfb3 tgfbr3	Tgfb3 Tgfbr3	M20B-E005050	M20B-EVID-005050	high	true	high	high	high	M20A-EXT17-EVID-130	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3286	thbs1 lrp1	Thbs1 Lrp1	M20B-E005061	M20B-EVID-005061	high	true	high	high	high	M20A-EXT17-EVID-141	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3293	thbs2 notch3	Thbs2 Notch3	M20B-E005068	M20B-EVID-005068	high	true	high	high	high	M20A-EXT17-EVID-148	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3295	thpo mpl	Thpo Mpl	M20B-E005070	M20B-EVID-005070	high	true	high	high	high	M20A-EXT17-EVID-150	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3297	thy1 itgav_itgb3	Thy1 ITGAV_ITGB3	M20B-E005072	M20B-EVID-005072	high	true	high	high	high	M20A-EXT17-EVID-152	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3299	timp1 cd63	Timp1 Cd63	M20B-E005074	M20B-EVID-005074	high	true	high	high	high	M20A-EXT17-EVID-154	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-LIANA-REMAINING-0046	ccl5 ccr5	Ccl5 Ccr5	M20B-E005350	M20B-EVID-005350	low	false	low	high	high	M20A-CHILDSTRONG01-EVID-0005	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-LIANA-REMAINING-0057	cxcl10 cxcr3	Cxcl10 Cxcr3	M20B-E005361	M20B-EVID-005361	low	false	low	high	high	M20A-CHILDSTRONG01-EVID-0006	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-LIANA-REMAINING-0058	cxcl12 ackr3	Cxcl12 Ackr3	M20B-E005362	M20B-EVID-005362	low	false	low	high	high	M20A-CHILDSTRONG01-EVID-0007	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-LIANA-REMAINING-0059	cxcl12 cxcr4	Cxcl12 Cxcr4	M20B-E005363	M20B-EVID-005363	low	false	low	high	high	M20A-CHILDSTRONG01-EVID-0008	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-LIANA-REMAINING-0080	efna2 epha4	Efna2 Epha4	M20B-E005384	M20B-EVID-005384	low	false	low	high	high	M20A-CHILDSTRONG01-EVID-0009	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-LIANA-REMAINING-0093	efna5 epha4	Efna5 Epha4	M20B-E005397	M20B-EVID-005397	low	false	low	high	high	M20A-CHILDSTRONG01-EVID-0010	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
