ordinal	review_id	pair_key	verdict	source_locators	species_support	assay_or_result	limitations
273	M20A-LIANA-REMAINING-0166	il20 il20ra_il20rb	high	https://pubmed.ncbi.nlm.nih.gov/22802649/	human recombinant structural system	The crystal structure directly resolves IL20 bound to the IL20RA/IL20RB (IL20R1/IL20R2) type-I receptor complex and describes affinity-tuned signaling through the shared complex.	The evidence uses recombinant extracellular domains and does not establish tissue-specific SCI relevance.
274	M20A-LIANA-REMAINING-0183	jag2 notch3	medium	https://pubmed.ncbi.nlm.nih.gov/41916520/	human colorectal cancer; mouse in vivo models	The primary colorectal-cancer study identifies tumor-derived JAG2 and macrophage NOTCH3, shows JAG2–NOTCH3-axis activation with STAT3/CCL2 induction, and attenuates the effects by disrupting that axis in vitro and in vivo.	The study is disease- and cell-context specific and emphasizes functional signaling rather than purified affinity.
275	M20A-LIANA-REMAINING-0184	leap2 ghsr	medium	https://pubmed.ncbi.nlm.nih.gov/42431255/;https://pubmed.ncbi.nlm.nih.gov/42090839/	human; rat; mouse	Primary translational work identifies LEAP2 as an endogenous GHSR antagonist: central LEAP2 alters LH/Kiss1 circuitry in rats and attenuates ghrelin effects in GHSR-expressing mouse neurons; human/rat studies also use the GHSR axis.	The cited assays establish antagonism and receptor-dependent physiology rather than a purified LEAP2–GHSR affinity measurement.
276	M20A-LIANA-REMAINING-0193	nrtn gfra2_ret	medium	https://pubmed.ncbi.nlm.nih.gov/39988080/	human pancreatic cancer; neuronal/paracrine model	The primary study reports neuronal NRTN binding to GFRA2 on pancreatic-cancer cells, recruitment of RET, heterodimer assembly, HK2 phosphorylation, and blockade-sensitive tumor effects.	The evidence is a disease-context model and supports the GFRA2–RET complex, not GFRA2 or RET as an isolated receptor.
277	M20A-LIANA-REMAINING-0200	pspn gfra4_ret	high	https://pubmed.ncbi.nlm.nih.gov/9740802/;https://pubmed.ncbi.nlm.nih.gov/11116144/	human and mouse GFRA4/RET systems; cultured neurons	PSPN/persephin binding to GFRA4 was shown by displacement/cross-linking; GFRA4 plus RET supported RET autophosphorylation and PSPN-dependent neuronal survival.	GFRA4 is a GPI-linked ligand-binding subunit and RET is the transmembrane signaling chain; splice forms include a putative soluble GFRA4 isoform.
278	M20A-LIANA-REMAINING-0209	s100a9 ager	medium	https://pubmed.ncbi.nlm.nih.gov/42152078/;https://pubmed.ncbi.nlm.nih.gov/40487749/;https://pubmed.ncbi.nlm.nih.gov/40294664/	mouse; human/mouse lung macrophage systems	The cited primary studies identify S100A9/RAGE signaling, show S100A9–RAGE interaction/competition or co-IP context, and demonstrate recombinant S100A9 effects in RAGE-expressing cells with pathway inhibition.	Most evidence is inflammatory disease-model work rather than purified affinity measurement; S100A8/A9 complex biology can contribute in vivo.
279	M20A-LIANA-REMAINING-0212	saa1 tlr2	medium	https://pubmed.ncbi.nlm.nih.gov/42144065/;https://pubmed.ncbi.nlm.nih.gov/42060874/	human endothelial cells; mouse; human RCC systems	The cited primary studies explicitly report that SAA1 interacts with/binds TLR2 and demonstrate TLR2 siRNA or pathway dependence for inflammasome/NET and inflammatory effects.	Disease-model and cell-context dependent; no purified affinity measurement is required for the receptor-dependent functional evidence.
280	M20A-LIANA-REMAINING-0214	sema4a plxnb1	medium	https://pubmed.ncbi.nlm.nih.gov/37901456/;https://pubmed.ncbi.nlm.nih.gov/31236543/;https://pubmed.ncbi.nlm.nih.gov/29981480/	human; mouse/rodent cell systems	Sema4A-Fc responses, Plexin-B1 blocking, human Treg assays, and hippocampal synapse studies support Sema4A signaling through Plexin-B1.	Functional and blocking evidence is cell-context dependent and does not provide a purified affinity constant.
281	M20A-LIANA-REMAINING-0218	sema4g plxnb2	medium	https://pubmed.ncbi.nlm.nih.gov/21122816/	mouse	The primary mouse study reports Sema4G binding to Plexin-B2-expressing cerebellar cells and links semaphorin signaling/development to Plexin-B2; Sema4G is included with Sema4C as a Plexin-B2 ligand.	The paper describes likely in vivo ligand status and relies on membrane-associated/avidity-dependent assays.
282	M20A-LIANA-REMAINING-0219	sema5a plxna1	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4236683/	mouse; recombinant/cell systems	The primary study reports low-nanomolar Sema5A binding to Plexin-A1 ectodomains, ectodomain co-precipitation, mutant-neuron binding loss, and Sema5A/Plexin-A1 functional signaling.	Ectodomain and Fc avidity constructs plus neuronal context limit direct extrapolation to all tissues.
283	M20A-LIANA-REMAINING-0220	sema5a plxnb3	high	https://pubmed.ncbi.nlm.nih.gov/15218527/	human and rodent cell systems	The primary paper identifies Plexin-B3 as a high-affinity receptor specific for transmembrane Sema5A and shows receptor activation and Met-associated cellular responses.	Plexin-B3/Met co-signaling and multivalent membrane ligand presentation affect assay output.
284	M20A-LIANA-REMAINING-0221	sema6a plxna2	high	https://pubmed.ncbi.nlm.nih.gov/20881961/	mouse; recombinant structural systems	The primary structural study resolves a 2:2 Sema6A–Plexin-A2 signaling complex and validates the interface with mutant ligand/receptor cell assays.	The structure uses ectodomain fragments and avidity-dependent assembly; other plexins can contribute in tissue.
285	M20A-LIANA-REMAINING-0222	sema6a plxna4	medium	https://pmc.ncbi.nlm.nih.gov/articles/PMC2928682/	mouse	The primary study shows Sema6A/Plexin-A4 co-expression, Sema6A-Fc responses, and loss of repulsive axon responses in Plexin-A4/Sema6A mutant assays, including cis modulation.	The central result is cis/trans signaling context rather than purified trans-complex affinity.
286	M20A-LIANA-REMAINING-0233	tgfb1 acvrl1	medium	https://pubmed.ncbi.nlm.nih.gov/10187774/;https://pubmed.ncbi.nlm.nih.gov/14580334/	human/mammalian endothelial receptor systems	Primary chimeric-receptor and endothelial studies show TGF-beta1 activates an ALK1/ACVRL1-containing complex via TGFBR2 and that ALK5 recruits/optimizes ALK1 activation.	ACVRL1 is a type-I/accessory complex component, not a standalone complete TGF-beta receptor; co-receptor and type-II scope matters.
287	M20A-LIANA-REMAINING-0238	tnf tnfrsf1a	medium	https://pubmed.ncbi.nlm.nih.gov/8910423/;https://pubmed.ncbi.nlm.nih.gov/32991680/	mouse; human/modeling systems	TNF treatment of TNFR1-deficient versus wild-type mouse fibroblasts demonstrates TNFR1/TNFRSF1A-dependent signaling kinetics and NF-kappaB/proliferative effects; the later model is consistent with the two-receptor system.	Soluble versus membrane TNF and receptor clustering alter signaling; the systems-biology paper is not primary binding evidence.
288	M20A-LIANA-REMAINING-0239	tnf tnfrsf1b	medium	https://pubmed.ncbi.nlm.nih.gov/8910423/;https://pubmed.ncbi.nlm.nih.gov/32991680/	mouse; human/modeling systems	The mouse fibroblast study demonstrates independent TNFR2/TNFRSF1B-dependent ERK/AP-1 signaling and TNFR2 enhancement of TNFR1-driven proliferation; the model supports the receptor assignment.	TNFR2 output depends strongly on ligand oligomerization and membrane presentation; no purified affinity measurement in the primary citation.
289	M20A-LIANA-REMAINING-0240	tnfsf10 tnfrsf10b	high	https://pubmed.ncbi.nlm.nih.gov/10770955/	human recombinant and cell systems	The primary study uses ITC, competitive ELISA, and cell-surface binding to show TRAIL/TNFSF10 binds DR5/TNFRSF10B with the highest affinity at physiological temperature and distinguishes decoy receptors.	Affinity rank depends on temperature and receptor presentation; TRAIL also engages other receptors.
290	M20A-LIANA-REMAINING-0241	tnfsf11 lgr4	high	https://pubmed.ncbi.nlm.nih.gov/27064449/	mouse; human receptor systems	The primary study shows RANKL/TNFSF11 binds LGR4, soluble LGR4 ECD binds RANKL, and LGR4 signaling suppresses osteoclast differentiation and bone resorption.	LGR4 is an alternate/negative regulator alongside canonical RANK, not the sole RANKL receptor.
291	M20A-LIANA-REMAINING-0242	tnfsf11 tnfrsf11a	medium	https://pubmed.ncbi.nlm.nih.gov/39155739/	human bronchial epithelial cells; mouse; humanized mouse	The primary asthma study tests TNFSF11 and TNFRSF11A by shRNA, heterozygous mouse models, and denosumab blockade, showing that the TNFSF11/TNFRSF11A axis drives airway remodeling through TGF-beta1/STAT3.	The study establishes functional axis dependence rather than purified RANKL–RANK affinity and is airway-disease specific.
292	M20A-LIANA-REMAINING-0243	tnfsf11 tnfrsf11b	high	https://pubmed.ncbi.nlm.nih.gov/17702740/	human recombinant proteins; human osteoclast/myeloma-related systems	The primary study directly measures native human RANKL/TNFSF11 binding to osteoprotegerin/TNFRSF11B by surface plasmon resonance and shows OPG prevents RANKL binding to RANK; reported affinity for RANKL is 23 nM.	TNFRSF11B is a soluble decoy receptor rather than a signaling transmembrane receptor; OPG also binds TRAIL.
293	M20A-LIANA-REMAINING-0244	tnfsf12 tnfrsf12a	medium	https://pubmed.ncbi.nlm.nih.gov/39075394/;https://pubmed.ncbi.nlm.nih.gov/42163252/	human COVID-19 lung tissue/cells; human colorectal-cancer systems	The primary studies identify TNFSF12/TWEAK–TNFRSF12A/Fn14 communication and show that TNFRSF12A silencing or anti-TNFSF12 neutralization attenuates fibroblast/tumor-cell responses.	Evidence is pathway- and disease-context dependent and does not provide a purified binding constant.
294	M20A-LIANA-REMAINING-0245	tnfsf13 tnfrsf13b	high	https://pubmed.ncbi.nlm.nih.gov/15851487/	human; mouse B-cell systems	The primary APRIL study shows the APRIL TNF-homology domain binds TACI/TNFRSF13B and links oligomerized APRIL to B-cell activation/survival functions.	APRIL is processed/oligomeric and also binds BCMA and proteoglycans; receptor activation depends on presentation.
295	M20A-LIANA-REMAINING-0246	tnfsf13 tnfrsf17	high	https://pubmed.ncbi.nlm.nih.gov/15851487/	human; mouse B-cell systems	The primary APRIL study directly reports APRIL TNF-homology-domain binding to BCMA/TNFRSF17 and downstream B-cell/plasma-cell survival or migration effects.	APRIL also binds TACI and proteoglycans; mature ligand oligomerization affects signaling.
296	M20A-LIANA-REMAINING-0247	tnfsf13b tnfrsf13b	medium	https://pubmed.ncbi.nlm.nih.gov/15630136/	human; mouse B-cell systems	The primary B-cell study distinguishes BAFF/TNFSF13B engagement of TACI/TNFRSF13B and shows TACI-dependent isotype-switching signaling in receptor-deficient mouse cells.	BAFF is trimeric/oligomeric and also engages BAFF-R and BCMA; the cited assay emphasizes function over purified affinity.
297	M20A-LIANA-REMAINING-0248	tnfsf13b tnfrsf13c	medium	https://pubmed.ncbi.nlm.nih.gov/15630136/	human; mouse B-cell systems	The primary study includes BAFF/TNFSF13B and distinguishes BAFF-R/TNFRSF13C from TACI/BCMA using receptor-deficient B cells and isotype-switching outcomes.	BAFF receptor expression and signaling vary with B-cell differentiation; no purified affinity measurement is cited here.
298	M20A-LIANA-REMAINING-0249	tnfsf13b tnfrsf17	high	https://pubmed.ncbi.nlm.nih.gov/10880534/	human; mouse B-cell systems	The primary study identifies BCMA/TNFRSF17 as a BAFF/TNFSF13B receptor, shows soluble BCMA blocks BAFF binding, and links BAFF to B-cell survival/homeostasis.	BAFF also binds TACI and BAFF-R; affinity and presentation differ among receptors.
299	M20A-LIANA-REMAINING-0250	tnfsf14 ltbr	medium	https://pubmed.ncbi.nlm.nih.gov/15917993/	human HUVECs	The primary HUVEC study shows LIGHT/TNFSF14 induces inflammatory outputs through LTBR and HVEM, and uses an R228E LIGHT mutein with LTBR binding specificity to distinguish receptor-mediated responses.	LIGHT also binds HVEM and DcR3; outputs are cell-context dependent and not a purified affinity measurement.
300	M20A-LIANA-REMAINING-0251	tnfsf14 tnfrsf14	medium	https://pubmed.ncbi.nlm.nih.gov/16547002/;https://doi.org/10.1074/jbc.M601553200	human and mouse TNFSF/TNFRSF reagent panels; exact pair detected	The primary ligand-receptor survey detected LIGHT/TNFSF14 binding to HVEM/TNFRSF14 in the mouse and human panels.	This source establishes binding, not a dedicated downstream costimulation assay; LIGHT also binds LTBR and HVEM has other ligands.
301	M20A-LIANA-REMAINING-0252	tnfsf15 tnfrsf25	medium	https://pubmed.ncbi.nlm.nih.gov/16547002/;https://doi.org/10.1074/jbc.M601553200	human and mouse TNFSF/TNFRSF reagent panels; exact pair detected	The primary survey detected TL1A/TNFSF15 binding to DR3/TNFRSF25; the pair is also the established DR3 costimulatory axis.	The cited survey is a binding assay and does not by itself establish every inflammatory or T-cell output; soluble DcR3/TNFRSF6B is an additional TL1A-binding decoy.
302	M20A-LIANA-REMAINING-0253	tnfsf18 tnfrsf18	medium	https://pubmed.ncbi.nlm.nih.gov/16547002/;https://doi.org/10.1074/jbc.M601553200	human and mouse, with strict species-matched GITRL/GITR binding in the primary survey	The primary survey detected GITRL/TNFSF18 binding to GITR/TNFRSF18 and specifically identified this interaction as species-specific.	The source supports binding rather than a standalone costimulation experiment; human and mouse ligand-receptor reagents should not be treated as interchangeable.
303	M20A-LIANA-REMAINING-0254	tnfsf4 tnfrsf4	medium	https://pubmed.ncbi.nlm.nih.gov/16547002/;https://doi.org/10.1074/jbc.M601553200	human and mouse panels; OX40L/OX40 cross-reactivity is partial rather than universally interchangeable	The primary survey detected OX40L/TNFSF4 binding to OX40/TNFRSF4, consistent with the canonical T-cell costimulatory pair.	The cited experiment measures ligand binding and species cross-reactivity, not the full membrane-clustering and costimulation mechanism.
304	M20A-LIANA-REMAINING-0255	tnfsf8 tnfrsf8	medium	https://pubmed.ncbi.nlm.nih.gov/16547002/;https://doi.org/10.1074/jbc.M601553200	human and mouse TNFSF/TNFRSF reagent panels	The primary survey included CD30L/TNFSF8 and detected its cognate CD30/TNFRSF8 interaction in the TNFSF-TNFRSF binding matrix.	The source establishes binding, not a dedicated inflammatory or costimulatory signaling assay; ligand multimerization can affect apparent strength.
305	M20A-LIANA-REMAINING-0257	vegfa nrp1	manual_review	https://pubmed.ncbi.nlm.nih.gov/9529250/;https://pubmed.ncbi.nlm.nih.gov/11948691/;https://doi.org/10.1016/S0092-8674(00)81402-6	human VEGF165/NRP1 primary evidence; mouse support is not established by the cited exact sources	Human NRP1 was purified/cloned as a VEGF165-binding receptor, and VEGF165-NRP1-KDR complexes enhanced VEGF165 binding and endothelial chemotaxis.	NRP1 is a noncatalytic co-receptor; the evidence is isoform-dependent, especially VEGF165, and the cited primary records do not establish the submitted mouse species claim.
306	M20A-LIANA-REMAINING-0276	wnt1 fzd8_lrp6	high	https://pubmed.ncbi.nlm.nih.gov/11029007/;https://doi.org/10.1038/35035117	Xenopus embryos plus mammalian FZD8/LRP6 receptor constructs	The primary study showed LRP6 extracellular binding to Wnt1 and Wnt-dependent association with Fz/FZD8, with LRP6-dependent Wnt-Fz signaling in Xenopus embryos.	The experiments use ectodomains and receptor constructs and do not define a universal full-length ternary stoichiometry across species or tissues.
307	M20A-LIANA-REMAINING-0279	wnt1 ryk	medium	https://pubmed.ncbi.nlm.nih.gov/15454084/;https://doi.org/10.1016/j.cell.2004.09.019	mammalian cells and mouse transgenic neural/axon-guidance systems	The primary study identifies mammalian RYK as a Wnt coreceptor with Frizzled and shows Wnt1-dependent TCF activation together with Wnt-dependent neurite/axon phenotypes.	RYK is not presented as an isolated canonical receptor; its activity is coupled to Frizzled and Dishevelled, and the cited functional paper is not a purified Wnt1-RYK affinity study.
308	M20A-LIANA-REMAINING-0323	wnt11 fzd4	medium	https://pubmed.ncbi.nlm.nih.gov/21041481/;https://pmc.ncbi.nlm.nih.gov/articles/PMC3019854/	mouse P19 cardiac cell model	The primary study pulled down Wnt11-mycHis with endogenous Fzd4 and showed Fzd4 blockade suppressed Wnt11-dependent PKC activation and cardiomyocyte differentiation.	The assay is cell-based and noncanonical; antibody blockade and endogenous receptor context do not establish purified affinity or universal tissue specificity.
309	M20A-LIANA-REMAINING-0326	wnt11 fzd7	medium	https://pubmed.ncbi.nlm.nih.gov/33082334/;https://doi.org/10.1038/s41467-020-18951-2;https://pmc.ncbi.nlm.nih.gov/articles/PMC7575593/	human and mouse melanoma cells and xenograft models	The primary melanoma study assigns WNT11-FZD7-DAAM1 signaling upstream of Rho-ROCK1/2-Myosin II and links FZD7 dependence to tumor initiation, invasion, and metastasis.	This is a tumor-context functional assignment rather than purified ligand-receptor affinity or a general physiological receptor-complex study.
310	M20A-LIANA-REMAINING-0329	wnt11 musk	manual_review	https://pubmed.ncbi.nlm.nih.gov/19285469/;https://pmc.ncbi.nlm.nih.gov/articles/PMC2671566/	zebrafish Wnt11r and Unplugged/MuSK	The primary zebrafish study showed Wnt11r binding to the Unplugged/MuSK extracellular CRD in vitro and in tissue, with genetic and Dvl-dependent neuromuscular and axon-guidance phenotypes.	This is zebrafish Wnt11r-Unplugged/MuSK evidence; it does not establish mammalian WNT11-MUSK equivalence, full-length stoichiometry, or a purified mammalian complex.
311	M20A-LIANA-REMAINING-0427	wnt3a fzd8_lrp6	high	https://pubmed.ncbi.nlm.nih.gov/20093360/;https://pmc.ncbi.nlm.nih.gov/articles/PMC2838336/;https://doi.org/10.1074/jbc.M109.092130	mouse FZD8 CRD, human LRP6 extracellular domain, and purified WNT3A	The primary study reconstituted a Fz8 CRD-Wnt3a-LRP6 ternary complex with purified proteins, measured direct Wnt3a-LRP6 binding, and showed receptor-fragment inhibition of Wnt/beta-catenin signaling.	Soluble extracellular fragments do not establish every full-length cellular stoichiometry or tissue-specific receptor arrangement.
312	M20A-LIANA-REMAINING-0453	wnt5a fzd4	medium	https://pubmed.ncbi.nlm.nih.gov/25424568/;https://doi.org/10.1002/dneu.22250	rat primary hippocampal neurons with mouse/rat Wnt5a-Fzd4 reagents	The primary study identified Fzd4 as the receptor signaling downstream of Wnt5a in primary hippocampal neurons and showed Fzd4-dependent dendrite branching and growth.	The central evidence is functional and autocrine/cell-context dependent rather than purified ligand-receptor binding.
313	M20A-LIANA-REMAINING-0454	wnt5a fzd5	medium	https://pubmed.ncbi.nlm.nih.gov/29930766/;https://pmc.ncbi.nlm.nih.gov/articles/PMC6007469/;https://pubmed.ncbi.nlm.nih.gov/35295855/;https://pmc.ncbi.nlm.nih.gov/articles/PMC8919396/	human prostate cancer cells and human endometrial mesenchymal stem-like cells	Primary studies detected WNT5A binding to FZD5 by surface plasmon resonance and linked FZD5 to WNT5A-dependent prostate-cell apoptosis/proliferation and endometrial stem-like-cell function.	The SPR response required relatively high concentrations and the functional contexts are cancer or endometrial stem-like cells; the LRP5 result is a separate composite scope, not part of the simple pair key.
314	M20A-LIANA-REMAINING-0455	wnt5a fzd7	medium	https://pubmed.ncbi.nlm.nih.gov/33200805/;https://pmc.ncbi.nlm.nih.gov/articles/PMC7705994/;https://doi.org/10.3892/mmr.2020.11690	human Capan-2 pancreatic cancer cells	Recombinant human WNT5A increased ABCG2 and gemcitabine resistance, while FZD7 silencing or FZD7 inhibition blocked the response in Capan-2 cells.	The evidence is an indirect functional receptor assignment in a pancreatic-cancer model, not purified binding or a general tissue-independent mechanism.
315	M20A-LIANA-REMAINING-0458	wnt5a lrp6	medium	https://pubmed.ncbi.nlm.nih.gov/19056682/;https://pmc.ncbi.nlm.nih.gov/articles/PMC2633404/;https://doi.org/10.1091/mbc.e08-07-0711	mouse fibroblast/HEK systems plus Xenopus and mouse developmental assays	The primary study showed Wnt5a association with Lrp6-Fc and found that Lrp6 extracellular domains inhibited Wnt5a-Rac1 noncanonical signaling in vitro and in vivo.	LRP6 is inhibitory or modulatory here rather than a demonstrated productive canonical Wnt5a receptor; no FZD subunit is specified in this pair.
316	M20A-LIANA-REMAINING-0459	wnt5a ror2	high	https://pubmed.ncbi.nlm.nih.gov/12839624/;https://pubmed.ncbi.nlm.nih.gov/18615587/;https://doi.org/10.1046/j.1365-2443.2003.00662.x;https://doi.org/10.1002/jcb.21848	mouse and Xenopus developmental systems; human U2OS osteoblasts and human mesenchymal stem cells	Primary studies showed WNT5A binding to the ROR2 cysteine-rich domain, ROR2 activation/homodimerization and phosphorylation, and ROR2-dependent JNK, bone, and osteoblast phenotypes.	Noncanonical outputs vary by cell type and FZD co-receptor participation can coexist; one study used overexpressed or domain constructs.
317	M20A-LIANA-REMAINING-0460	wnt5a ryk	medium	https://pubmed.ncbi.nlm.nih.gov/29930766/;https://pmc.ncbi.nlm.nih.gov/articles/PMC6007469/;https://doi.org/10.18632/oncotarget.25551	human prostate cancer cells	The primary prostate-cancer study detected WNT5A binding to RYK by surface plasmon resonance and showed that RYK knockdown altered WNT5A-dependent apoptosis/proliferation.	Binding required high concentrations and the study concludes that WNT5A can bind FZD5 or RYK at the tested site rather than establishing a universal RYK-FZD5 co-receptor complex.
318	M20A-LIANA-REMAINING-0493	wnt7a fzd5_lrp6	medium	https://pubmed.ncbi.nlm.nih.gov/12857724/;https://doi.org/10.1074/jbc.M300191200	rat PC12 cells with human WNT7A and FZD5/LRP constructs	The primary PC12 study identified a WNT7A-responsive FZD5-LRP6 complex: WNT7A/FZD5 increased beta-catenin stability and TCF reporter activity, and LRP6 antagonism by DKK proteins modulated the response.	This is a cell-based functional complex assignment, not purified ternary binding or a universal in vivo stoichiometry; both LRP5 and LRP6 could amplify responses when overexpressed.
319	M20A-LIANA-REMAINING-0502	wnt7b fzd10_lrp5	medium	https://pubmed.ncbi.nlm.nih.gov/15923619/;https://pmc.ncbi.nlm.nih.gov/articles/PMC1140585/;https://doi.org/10.1128/MCB.25.12.5022-5030.2005	mouse lung/vascular biology and mouse/human engineered cell systems	The primary study showed Wnt7b binding to Fzd10 and cooperative canonical signaling when Fzd10 and LRP5 were coexpressed, with TOPFLASH and beta-catenin readouts.	The receptor-complex result is cell-context dependent and specifically supports LRP5, not the analogous LRP6 edge; full-length ternary stoichiometry was not purified.
320	M20A-LIANA-REMAINING-0504	wnt7b fzd1_lrp5	medium	https://pubmed.ncbi.nlm.nih.gov/15923619/;https://pmc.ncbi.nlm.nih.gov/articles/PMC1140585/;https://doi.org/10.1128/MCB.25.12.5022-5030.2005	mouse lung/vascular biology and mouse/human engineered cell systems	The primary study showed Wnt7b binding to Fzd1 and cooperative canonical signaling when Fzd1 and LRP5 were coexpressed, with TOPFLASH and beta-catenin readouts.	The receptor-complex result is cell-context dependent and specifically supports LRP5, not the analogous LRP6 edge; full-length ternary stoichiometry was not purified.
321	M20A-LIANA-REMAINING-0602	xcl1 xcr1	high	https://pubmed.ncbi.nlm.nih.gov/19913446/;https://pubmed.ncbi.nlm.nih.gov/20541533/;https://pubmed.ncbi.nlm.nih.gov/39565315/;https://pmc.ncbi.nlm.nih.gov/articles/PMC11621518/;https://doi.org/10.1073/pnas.2405732121	human and mouse immune systems; human XCR1 structure with engineered XCL1 CC3	Primary immunology studies identified XCL1 as the selective XCR1 ligand and showed cDC1 chemotaxis/function in mouse and human systems; the structural study resolved human XCR1-Gi bound to engineered XCL1 CC3.	Chemokine activity depends on XCL1 conformation and species; the structure uses engineered XCL1 CC3 rather than native full-length XCL1.

