ordinal	review_id	pair_key	verdict	source_locators	species_support	assay_or_result	limitations
75	M20A-CELLCHAT-REMAINING-0756	glu-nrxn1_cbln1 grid2	medium	https://pubmed.ncbi.nlm.nih.gov/27418511/;https://pubmed.ncbi.nlm.nih.gov/20537373/;https://pubmed.ncbi.nlm.nih.gov/29782851/	mouse;recombinant mammalian systems;primary cerebellar cultures	Structural, binding, adhesion, and cerebellar synaptogenesis studies support the beta-neurexin-1-Cbln1-GluD2/GRID2 trans-synaptic bridge and GRID2-dependent synapse function.	This is a multicomponent trans-synaptic adhesion/organizer complex rather than a conventional soluble agonist; neurexin splice state and Cbln1 assembly affect the interaction.
76	M20A-CELLCHAT-REMAINING-1167	gphb5_gpha2 tshr	high	https://pubmed.ncbi.nlm.nih.gov/12045258/;https://pubmed.ncbi.nlm.nih.gov/16210345/	human;rat;recombinant mammalian systems	The GPHB5-GPHA2 thyrostimulin heterodimer binds and activates TSHR in receptor-binding, cAMP, and thyroid-axis assays.	The ligand is a processed heterodimer and potency is species- and assay-dependent.
77	M20A-CELLCHAT-REMAINING-1232	h2-t23 klrd1_klrc1	high	https://pubmed.ncbi.nlm.nih.gov/38158698/;https://pubmed.ncbi.nlm.nih.gov/11222501/;https://pubmed.ncbi.nlm.nih.gov/10974028/;https://pubmed.ncbi.nlm.nih.gov/9815261/	mouse Qa-1b/H2-T23;murine CD94-NKG2A systems	Qa-1b/H2-T23 presenting Qdm binds the assembled CD94/NKG2A heterodimer and inhibits NK/T-cell cytotoxicity; the 2024 structure resolves the receptor-chain interface.	Recognition requires peptide-loaded Qa-1b and the assembled KLRD1/KLRC1 receptor; peptide identity strongly affects affinity.
78	M20A-CELLCHAT-REMAINING-1233	h2-t23 klrd1_klrc2	medium	https://pubmed.ncbi.nlm.nih.gov/9815261/;https://pubmed.ncbi.nlm.nih.gov/24223577/;https://pubmed.ncbi.nlm.nih.gov/38158698/	mouse Qa-1b/H2-T23;murine CD94-NKG2C systems	Primary murine studies report Qa-1b binding to CD94/NKG2C and activating-receptor recognition; the receptor is the KLRD1/KLRC2 heterodimer.	The 38158698 structure is NKG2A-specific; NKG2C support comes from the cited earlier receptor-binding/functional studies and remains peptide/context dependent.
79	M20A-CELLCHAT-REMAINING-1246	h60a klrk1	high	https://pubmed.ncbi.nlm.nih.gov/22403443/;https://pubmed.ncbi.nlm.nih.gov/19342629/;https://pubmed.ncbi.nlm.nih.gov/15328154/;https://pubmed.ncbi.nlm.nih.gov/11907062/;https://pubmed.ncbi.nlm.nih.gov/10894171/	mouse;murine NKG2D systems	H60A is directly established as a murine NKG2D/KLRK1 ligand by binding and receptor-dependent NK/epithelial activation studies.	H60 allele expression is stress- and tissue-dependent; NKG2D signaling requires the associated DAP10 adaptor.
80	M20A-CELLCHAT-REMAINING-1250	hbegf egfr	high	https://pubmed.ncbi.nlm.nih.gov/9135143/;https://pubmed.ncbi.nlm.nih.gov/12621152/;https://pubmed.ncbi.nlm.nih.gov/26016774/	human;mouse;recombinant EGFR/ERBB systems	HB-EGF binds and activates HER1/EGFR in binding, phosphorylation, chemotaxis, and receptor-dependent assays.	HB-EGF is a membrane precursor that can be shed as a soluble ligand; ligand presentation and receptor abundance affect response.
81	M20A-CELLCHAT-REMAINING-1251	hbegf erbb4	high	https://pubmed.ncbi.nlm.nih.gov/9135143/;https://pubmed.ncbi.nlm.nih.gov/12621152/;https://pubmed.ncbi.nlm.nih.gov/26016774/	human;mouse;recombinant HER4/ERBB4 systems	HB-EGF directly binds HER4/ErbB4 and induces receptor phosphorylation and receptor-dependent chemotaxis.	HB-EGF is a membrane precursor/soluble cleaved ligand and HER4 signaling differs from EGFR mitogenic responses.
82	M20A-CELLCHAT-REMAINING-1256	iapp calcr_ramp1	high	https://pubmed.ncbi.nlm.nih.gov/10385705/;https://pubmed.ncbi.nlm.nih.gov/18599553/;https://pubmed.ncbi.nlm.nih.gov/40828907/;https://pubmed.ncbi.nlm.nih.gov/37537379/	human;rat;recombinant AMY1 receptor systems	Mature amidated amylin/IAPP binds and activates the CALCR-RAMP1 AMY1 receptor in competitive-binding, cAMP, and modern receptor-complex studies.	IAPP is a precursor processed to mature amylin; species, CALCR splice form, and RAMP-dependent pharmacology affect potency.
83	M20A-CELLCHAT-REMAINING-1257	iapp calcr_ramp2	high	https://pubmed.ncbi.nlm.nih.gov/10385705/;https://pubmed.ncbi.nlm.nih.gov/18599553/;https://pubmed.ncbi.nlm.nih.gov/40828907/;https://pubmed.ncbi.nlm.nih.gov/37537379/	human;rat;recombinant AMY2 receptor systems	Mature amylin/IAPP engages the CALCR-RAMP2 AMY2 receptor in receptor-complex pharmacology and structural/functional studies.	Older cotransfection data were less sensitive for RAMP2 than RAMP1/3; newer AMY2 receptor studies support the assembled complex.
84	M20A-CELLCHAT-REMAINING-1258	iapp calcr_ramp3	high	https://pubmed.ncbi.nlm.nih.gov/10385705/;https://pubmed.ncbi.nlm.nih.gov/18599553/;https://pubmed.ncbi.nlm.nih.gov/40828907/;https://pubmed.ncbi.nlm.nih.gov/37537379/	human;rat;recombinant AMY3 receptor systems	Mature amylin/IAPP binds and activates the CALCR-RAMP3 AMY3 receptor in competitive-binding, cAMP, and receptor-complex studies.	IAPP is a precursor processed to mature amylin; species and RAMP-dependent pharmacology affect potency.
85	M20A-CELLCHAT-REMAINING-1274	ifna2 ifnar1_ifnar2	high	https://pubmed.ncbi.nlm.nih.gov/6320534/;https://pubmed.ncbi.nlm.nih.gov/16479007/;https://pubmed.ncbi.nlm.nih.gov/10556041/	human;recombinant human IFNAR systems	IFN-alpha-2 binding to IFNAR1/IFNAR2 ternary complexes and receptor-dependent antiviral/antiproliferative signaling are directly tested.	IFNAR1/2 is a ternary receptor assembly and IFN-alpha subtype affinity differs.
86	M20A-CELLCHAT-REMAINING-1279	ifnl2 ifnlr1_il10rb	high	https://pubmed.ncbi.nlm.nih.gov/12483210/;https://pubmed.ncbi.nlm.nih.gov/28293236/	human;recombinant human IFN-lambda receptor systems	The receptor-discovery study identifies IFN-lambda-2 as a ligand using the IFNLR1/IL10RB two-chain complex and demonstrates receptor-dependent antiviral signaling.	IL10RB is shared by other cytokine receptors and ligand subtype potency differs.
87	M20A-CELLCHAT-REMAINING-1280	ifnl3 ifnlr1_il10rb	high	https://pubmed.ncbi.nlm.nih.gov/12483210/;https://pubmed.ncbi.nlm.nih.gov/28293236/	human;recombinant human IFN-lambda receptor systems	The receptor-discovery study identifies IFN-lambda-3 as a ligand using the IFNLR1/IL10RB two-chain complex and demonstrates receptor-dependent antiviral signaling.	IL10RB is shared by other cytokine receptors and ligand subtype potency differs.
88	M20A-CELLCHAT-REMAINING-1281	igfbp3 tmem219	high	https://pubmed.ncbi.nlm.nih.gov/20353938/;https://pubmed.ncbi.nlm.nih.gov/35115561/;https://pubmed.ncbi.nlm.nih.gov/36998110/	human;mouse;rat;recombinant mammalian systems	IGFBP3 binds the single-span TMEM219/IGFBP3R and induces caspase-8-dependent apoptosis; knockdown, overexpression, blockade, and in vivo studies support receptor dependence.	IGFBP3 also carries IGF ligands and has other extracellular interactions; soluble versus matrix-associated presentation can change responses.
89	M20A-CELLCHAT-REMAINING-1285	il13 il13ra1	medium	https://pubmed.ncbi.nlm.nih.gov/15870068/;https://pubmed.ncbi.nlm.nih.gov/?term=Il13%20Il13ra1	human;mouse;recombinant IL-13 receptor systems	Mutational receptor-binding studies identify IL13RA1 residues required for IL-13 binding, and IL13RA1 is the ligand-binding chain of the signaling type-II receptor.	IL13RA1 normally functions in a receptor complex with IL4R; binding and signaling are not identical readouts.
90	M20A-CELLCHAT-REMAINING-1286	il13 il13ra2	high	https://pubmed.ncbi.nlm.nih.gov/15870068/;https://pubmed.ncbi.nlm.nih.gov/20223216/;https://pubmed.ncbi.nlm.nih.gov/?term=Il13%20Il13ra2	human;mouse;recombinant IL-13 receptor systems	IL-13 directly binds IL13RA2; structural/mutational work supports the high-affinity decoy interaction and receptor-dependent sequestration.	IL13RA2 is generally non-signaling/decoy, so this is binding and neutralization rather than canonical signaling activation.
91	M20A-CELLCHAT-REMAINING-1287	il13 il4r_il13ra1	high	https://pubmed.ncbi.nlm.nih.gov/18243101/;https://pubmed.ncbi.nlm.nih.gov/15870068/;https://pubmed.ncbi.nlm.nih.gov/?term=Il13%20IL4R_IL13RA1	human;mouse;recombinant type-II IL-13 receptor systems	The complete type-II IL-13/IL4R/IL13RA1 ternary complex was structurally resolved and shown to signal in response to IL-13.	The receptor is multichain and IL4R/IL13RA1 chain roles differ; species and receptor abundance affect signaling.
92	M20A-CELLCHAT-REMAINING-1290	il17a il17ra_il17rc	high	https://pubmed.ncbi.nlm.nih.gov/23695682/;https://pubmed.ncbi.nlm.nih.gov/20231694/;https://pubmed.ncbi.nlm.nih.gov/18684971/;https://pubmed.ncbi.nlm.nih.gov/17911633/;https://pubmed.ncbi.nlm.nih.gov/36260993/;https://pubmed.ncbi.nlm.nih.gov/24813051/	human;mouse;recombinant IL-17 receptor systems	Structural, receptor-assembly, SPR/functional, and knockout studies support IL-17A engagement of IL17RA/IL17RC and receptor-dependent signaling.	IL-17 receptor stoichiometry is multimeric and IL-17A can also engage other IL-17 receptor assemblies in some contexts.
93	M20A-CELLCHAT-REMAINING-1291	il17af il17ra_il17rc	medium	https://pubmed.ncbi.nlm.nih.gov/23695682/;https://pubmed.ncbi.nlm.nih.gov/20231694/;https://pubmed.ncbi.nlm.nih.gov/18684971/;https://pubmed.ncbi.nlm.nih.gov/17911633/;https://pubmed.ncbi.nlm.nih.gov/36260993/;https://pubmed.ncbi.nlm.nih.gov/24813051/	human;mouse;recombinant IL-17 receptor systems	The cited receptor-assembly and functional studies include the IL-17A/F heterodimer among ligands requiring/engaging IL17RA and IL17RC signaling contexts.	The heterodimer can have distinct affinity and receptor stoichiometry; IL17RC homomeric assemblies have also been reported.
94	M20A-CELLCHAT-REMAINING-1292	il17f il17ra_il17rc	high	https://pubmed.ncbi.nlm.nih.gov/23695682/;https://pubmed.ncbi.nlm.nih.gov/20231694/;https://pubmed.ncbi.nlm.nih.gov/18684971/;https://pubmed.ncbi.nlm.nih.gov/17911633/;https://pubmed.ncbi.nlm.nih.gov/36260993/;https://pubmed.ncbi.nlm.nih.gov/24813051/	human;mouse;recombinant IL-17 receptor systems	IL-17F is directly included in structural/receptor-assembly and IL17RC-dependent functional studies for the IL17RA/IL17RC signaling context.	IL-17F can also form IL17RC homomeric complexes, so the submitted heteromer should be interpreted as a documented, not exclusive, receptor assembly.
95	M20A-CELLCHAT-REMAINING-1296	il22 il22ra1_il10rb	high	https://pubmed.ncbi.nlm.nih.gov/11035029/;https://pubmed.ncbi.nlm.nih.gov/15120653/;https://pubmed.ncbi.nlm.nih.gov/31205408/	human;mouse;recombinant IL-22 receptor systems	IL-22/IL-22R1/IL-10R2 binding and functional receptor assembly are directly demonstrated by radioligand cross-linking, ELISA, and signaling assays.	IL10RB is shared with other class-II cytokine receptors and IL-22 also has soluble binding-protein biology.
96	M20A-CELLCHAT-REMAINING-1304	il36a il1rl2_il1rap	high	https://pubmed.ncbi.nlm.nih.gov/29180446/;https://pubmed.ncbi.nlm.nih.gov/27307043/	human;recombinant IL-36 receptor systems	SPR/TR-FRET and receptor-function studies directly show IL-36alpha binding IL1RL2/IL-36R and recruitment of IL1RAP/IL-1RAcP for activation.	IL-36 cytokines are processed for full activity and the receptor/co-receptor complex has weak basal interactions without ligand.
97	M20A-CELLCHAT-REMAINING-1306	il36g il1rl2_il1rap	high	https://pubmed.ncbi.nlm.nih.gov/29180446/;https://pubmed.ncbi.nlm.nih.gov/27307043/	human;recombinant IL-36 receptor systems	SPR/TR-FRET and cell-surface assays directly show IL-36gamma binding IL1RL2/IL-36R and formation/activation of the IL1RL2-IL1RAP receptor complex.	IL-36gamma has weaker direct IL1RL2 affinity than IL-36alpha and requires processed active ligand/context for signaling.
98	M20A-CELLCHAT-REMAINING-1310	il4 il4ra	high	https://pubmed.ncbi.nlm.nih.gov/10219247/;https://pubmed.ncbi.nlm.nih.gov/11874464/	human;recombinant receptor ectodomains	Crystal structure and mutational analysis show IL-4 binding IL4R alpha and recruitment of the common gamma chain in the signaling receptor complex.	Mature IL-4 and assembled receptor complex are the tested entities; the submitted receptor label is the alpha-chain component.
99	M20A-CELLCHAT-REMAINING-1311	il5 il5ra_csf2rb	high	https://pubmed.ncbi.nlm.nih.gov/8496674/;https://pubmed.ncbi.nlm.nih.gov/8940197/	human;mouse;recombinant receptor systems	Reconstitution, biosensor binding, mutagenesis, and proliferation assays show IL-5 binding IL5R alpha and signaling through the alpha/beta-c heteromer.	IL5R alpha provides ligand specificity while CSF2RB completes the high-affinity signaling receptor.
100	M20A-CELLCHAT-REMAINING-1312	il6 il6r_il6st	high	https://pubmed.ncbi.nlm.nih.gov/12829785/;https://pubmed.ncbi.nlm.nih.gov/2788034/;https://pubmed.ncbi.nlm.nih.gov/7744001/	human;recombinant proteins	Structural, solution-binding, immunoprecipitation, and signaling studies show IL-6 first binds IL6R alpha and then recruits two gp130/IL6ST chains to form the hexameric signaling complex.	Hexameric stoichiometry and soluble versus membrane receptor context vary by assay.
101	M20A-CELLCHAT-REMAINING-1313	il7 il7r_il2rg	high	https://pubmed.ncbi.nlm.nih.gov/19141282/;https://pubmed.ncbi.nlm.nih.gov/7718508/	human;mouse;recombinant proteins	Structural and biophysical studies show IL-7 binding IL7R alpha and recruiting the common gamma chain; functional receptor studies support the heteromeric complex.	The structural work is human and receptor ectodomain based, with species-dependent functional follow-up.
102	M20A-CELLCHAT-REMAINING-1314	il9 il9r_il2rg	high	https://pubmed.ncbi.nlm.nih.gov/1376929/;https://pubmed.ncbi.nlm.nih.gov/7718508/;https://pubmed.ncbi.nlm.nih.gov/9535918/	human;mouse;recombinant and cellular systems	IL-9 receptor cloning used radiolabeled IL-9 binding, while cross-linking, immunoprecipitation, heteromerization, and signaling studies identify IL9R with the common gamma chain.	Some early studies establish receptor composition in murine or human systems separately.
103	M20A-CELLCHAT-REMAINING-1323	ins1 insr	high	https://pubmed.ncbi.nlm.nih.gov/31436533/;https://pubmed.ncbi.nlm.nih.gov/29512653/;https://pubmed.ncbi.nlm.nih.gov/30356040/	human;recombinant receptor;cellular assays	Cryo-EM, mutagenesis, ligand-binding, and cellular signaling studies test mature insulin engagement of the insulin receptor and identify sites required for receptor activation.	Ins1 is a precursor gene label; the assayed ligand is processed mature insulin and the receptor is an assembled IR dimer.
104	M20A-CELLCHAT-REMAINING-1324	itga4_itgb1 vcam1	high	https://pubmed.ncbi.nlm.nih.gov/12033947/;https://pubmed.ncbi.nlm.nih.gov/7517418/	human;recombinant proteins;cell adhesion systems	Comparative ligand/metal-ion studies measure VCAM-1 binding to alpha4beta1, and earlier cell adhesion work establishes VCAM-1-dependent alpha4beta1 adhesion.	Affinity and activation state vary between alpha4beta1 preparations and cellular assays.
105	M20A-CELLCHAT-REMAINING-1326	itga9_itgb1 vcam1	high	https://pubmed.ncbi.nlm.nih.gov/12033947/;https://pubmed.ncbi.nlm.nih.gov/7517418/	human;recombinant proteins;cell adhesion systems	The comparative study directly measures VCAM-1 interaction with alpha9beta1 as well as alpha4beta1, with adhesion assays supporting ligand-dependent cell attachment.	Alpha9beta1 affinity is weaker than alpha4beta1 in the cited comparison and may depend on divalent cations and assay format.
106	M20A-CELLCHAT-REMAINING-1333	jam2 jam3	medium	https://pubmed.ncbi.nlm.nih.gov/11590146/	human;mouse;cell adhesion systems	Primary JAM studies show heterophilic JAM-B/JAM-C interaction in cell-contact and adhesion assays.	JAM nomenclature differs across species and older papers; the submitted symbols map to JAM-B and JAM-C.
107	M20A-CELLCHAT-REMAINING-1338	klk14 f2r	medium	https://pubmed.ncbi.nlm.nih.gov/40621923/	human;human skin fibroblasts	KLK14 cleaves/activates PAR1/F2R in peptide and fibroblast assays, and PAR1 antagonism blocks downstream inflammatory signaling.	The study is recent and uses protease activity plus receptor antagonism rather than a stable ligand-receptor binding assay.
