candidate_id	candidate_class	upstream_feature_or_ligand	receptor_or_adhesion_system	receptor_proximal_relay	downstream_tf_or_program	layer1_status	layer2_status	layer3_status	species_posture	SCI_context_posture	status	next_gap
M23A-Q0606	guidance_receptor_candidate	Efna4	Epha5	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	A-class family comparator	no SCI; NE03 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A4/EphA5 primary pair recovered
M23A-Q0607	guidance_receptor_candidate	Efna4	Epha6	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	A-class family comparator	no SCI; NE03 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A4/EphA6 primary pair recovered
M23A-Q0608	guidance_receptor_candidate	Efna4	Epha7	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	rat; negative specificity comparator	no SCI; NE04 negative boundary	RETAIN_NEGATIVE_BOUNDARY	P03 negative result is context-bounded
M23A-Q0609	guidance_receptor_candidate	Efna4	Epha8	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	mouse; heterologous comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	native neural complex and SCI function unresolved
M23A-Q0610	guidance_receptor_candidate	Efna4	Ephb2	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	recombinant cross-class comparator	no SCI; NE02 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A4/EphB2 primary pair recovered
M23A-Q0611	guidance_receptor_candidate	Efna4	Ephb3	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	cross-class family comparator	no SCI; NE02 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A4/EphB3 primary pair recovered
M23A-Q0612	guidance_receptor_candidate	Efna4	Ephb4	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	cross-class family comparator	no SCI; NE02 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A4/EphB4 primary pair recovered
M23A-Q0613	guidance_receptor_candidate	Efna4	Ephb6	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	cross-class family comparator	no SCI; NE02 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A4/EphB6 primary pair recovered
M23A-Q0614	guidance_receptor_candidate	Efna5	Epha4	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	human recombinant structural comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	full-length receptor topology and SCI relay unresolved
M23A-Q0615	guidance_receptor_candidate	Efna5	Epha5	not_assessed	hippocampal synaptic/metabolic function	not_direct_binding	not_assessed	reviewed_supported	rat; mouse neural comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	direct binding and downstream TF/program unresolved
M23A-Q0616	guidance_receptor_candidate	Efna5	Epha8	Tiam1/Rac endocytosis relay	not_asserted	not_direct_binding	reviewed_supported	not_assessed	human cellular comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	direct binding and SCI function unresolved
M23A-Q0617	guidance_receptor_candidate	Efnb1	Epha4	EphA4 phosphorylation/forward signaling	not_asserted	not_direct_binding	reviewed_supported	not_assessed	mouse; developmental cortical comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	direct purified binding and SCI function unresolved
M23A-Q0618	guidance_receptor_candidate	Efnb1	Ephb2	p62/Dok–RasGAP–Nck relay	not_asserted	not_direct_binding	reviewed_supported	not_assessed	mouse; rat hybrid neuronal comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	direct ligand affinity and SCI function unresolved
M23A-Q0619	guidance_receptor_candidate	Efnb1	Ephb3	not_asserted	neural crest migration/repulsion	not_direct_binding	not_assessed	reviewed_supported	avian developmental comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	direct binding and mammalian SCI transfer unresolved
M23A-Q0620	guidance_receptor_candidate	Efnb1	Ephb4	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	Xenopus B-class comparator	no SCI; NE06 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-B1/EphB4 primary pair recovered
M23A-Q0621	guidance_receptor_candidate	Efnb1	Ephb6	JNK/Rac1 functional relay	not_asserted	not_direct_binding	context_supported	not_assessed	human; mouse immune comparator	no SCI; conflicted context	RETAIN_CONFLICTED_BOUNDARY	resolve P11 functional signal versus P12 binding specificity
M23A-Q0622	guidance_receptor_candidate	Efnb2	Epha4	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	human recombinant structural comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	activation equivalence and SCI function unresolved
M23A-Q0623	guidance_receptor_candidate	Efnb2	Ephb2	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	recombinant structural comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	native membrane orientation and SCI function unresolved
M23A-Q0624	guidance_receptor_candidate	Efnb2	Ephb3	EphB3 phosphorylation/forward signaling	not_asserted	not_direct_binding	reviewed_supported	not_assessed	human cancer comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	direct binding and SCI function unresolved
M23A-Q0625	guidance_receptor_candidate	Efnb2	Ephb4	not_assessed	vascular development	not_direct_binding	reviewed_supported	reviewed_supported	human recombinant; mouse developmental comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	native complex directionality and SCI function unresolved
M23A-Q0626	guidance_receptor_candidate	Efnb2	Ephb6	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	human; mouse comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	activation state and SCI relay unresolved
M23A-Q0627	guidance_receptor_candidate	Efnb3	Epha4	not_assessed	embryonic tissue separation	not_direct_binding	reviewed_supported	reviewed_supported	human recombinant; Xenopus developmental comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	mammalian native complex and SCI function unresolved
M23A-Q0628	guidance_receptor_candidate	Efnb3	Ephb1	not_asserted	inflammatory intestinal injury	not_direct_binding	not_assessed	context_supported	rodent; exact species not explicit	no SCI; low-resolution context	RETAIN_CONTEXT_ONLY	exact species, binding, and relay assay need recovery
M23A-Q0629	guidance_receptor_candidate	Efnb3	Ephb2	not_asserted	hippocampal axon bundling	not_direct_binding	not_assessed	reviewed_supported	mouse neural comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	direct binding and SCI relay unresolved
M23A-Q0630	guidance_receptor_candidate	Efnb3	Ephb3	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	Xenopus B-class comparator	no SCI; NE06 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-B3/EphB3 primary pair recovered
M23A-Q0631	guidance_receptor_candidate	Efnb3	Ephb4	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	Xenopus B-class comparator	no SCI; NE06 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-B3/EphB4 primary pair recovered
M23A-Q0632	guidance_receptor_candidate	Efna1	Epha3	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	A-class family comparator	no SCI; NE03 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A1/EphA3 primary pair recovered
M23A-Q0633	guidance_receptor_candidate	Efna2	Epha3	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	A-class family comparator	no SCI; NE03 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A2/EphA3 primary pair recovered
M23A-Q0634	guidance_receptor_candidate	Efna4	Epha3	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	A-class family comparator	no SCI; NE03 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A4/EphA3 primary pair recovered
M23A-Q0635	guidance_receptor_candidate	Efna1	Epha4	EphA4–Vsm-RhoGEF–RhoA relay	not_asserted	reviewed_supported	reviewed_supported	not_assessed	human recombinant; vascular comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	binding and relay are supported in separate anchors; SCI function unresolved
M23A-Q0636	guidance_receptor_candidate	Efna2	Epha4	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	human recombinant structural comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	native membrane orientation and SCI function unresolved
M23A-Q0637	guidance_receptor_candidate	Efna4	Epha4	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	rat; biochemical neural comparator	no SCI; duplicate orientation of Q0605	REVIEWED_BATCH013	duplicate queue orientation; native complex and SCI relay unresolved
M23A-Q0638	guidance_receptor_candidate	Efnb1	Epha4	EphA4 phosphorylation/forward signaling	not_asserted	not_direct_binding	reviewed_supported	not_assessed	mouse; developmental cortical comparator	no SCI; duplicate orientation of Q0617	REVIEWED_BATCH013	duplicate queue orientation; direct binding and SCI function unresolved
M23A-Q0639	guidance_receptor_candidate	Efnb2	Epha4	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	human recombinant structural comparator	no SCI; duplicate orientation of Q0622	REVIEWED_BATCH013	duplicate queue orientation; activation and SCI function unresolved
M23A-Q0640	guidance_receptor_candidate	Efna1	Epha6	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	A-class family comparator	no SCI; NE03 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A1/EphA6 primary pair recovered
M23A-Q0641	guidance_receptor_candidate	Efna2	Epha6	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	A-class family comparator	no SCI; NE03 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A2/EphA6 primary pair recovered
M23A-Q0642	guidance_receptor_candidate	Efna4	Epha6	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	A-class family comparator	no SCI; NE03 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A4/EphA6 primary pair recovered
M23A-Q0643	guidance_receptor_candidate	Efna1	Epha7	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	rat; negative specificity comparator	no SCI; NE04 negative boundary	RETAIN_NEGATIVE_BOUNDARY	P03 negative result is context-bounded and does not test ephrin-A1 directly
M23A-Q0644	guidance_receptor_candidate	Efna2	Epha7	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	rat; biochemical neural comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	native complex orientation and SCI function unresolved
M23A-Q0645	guidance_receptor_candidate	Efna4	Epha7	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	rat; negative specificity comparator	no SCI; NE04 negative boundary	RETAIN_NEGATIVE_BOUNDARY	P03 negative result is context-bounded
M23A-Q0646	guidance_receptor_candidate	Efna1	Epha8	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	mouse; heterologous comparator	no SCI; cross-context anchor	REVIEWED_BATCH013	native neural complex and SCI function unresolved
M23A-Q0647	guidance_receptor_candidate	Efna2	Epha8	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	mouse; secondary assertion only	no SCI; NE05 boundary	NO_QUALIFYING_EXACT_PAIR	recover the underlying exact EphA8–ephrin-A2 primary assay
M23A-Q0648	guidance_receptor_candidate	Efna4	Epha8	not_assessed	not_asserted	reviewed_supported	not_assessed	not_assessed	mouse; heterologous comparator	no SCI; duplicate orientation of Q0609	REVIEWED_BATCH013	duplicate queue orientation; native neural complex unresolved
M23A-Q0649	guidance_receptor_candidate	Efna1	Ephb2	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	recombinant cross-class comparator	no SCI; NE02 boundary	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A1/EphB2 primary pair recovered
M23A-Q0650	guidance_receptor_candidate	Efna2	Ephb2	not_assessed	not_asserted	not_assessed	not_assessed	not_assessed	recombinant/neural cross-class comparator	no SCI; NE01 duplicate orientation	NO_QUALIFYING_EXACT_PAIR	no exact ephrin-A2/EphB2 primary pair recovered
M23A-Q0751	module21a_reuse_candidate	CD40LG	ITGA2B:ITGB3 (αIIbβ3)	KGD-dependent αIIbβ3 outside-in platelet branch	No terminal TF transferred; KGD-dependent αIIbβ3 outside-in platelet branch	reviewed_supported	reviewed_supported	reviewed_supported	human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0752	module21a_reuse_candidate	CD47	SIRPA	CD47–SIRPα ITIM–SHP1/2 self-recognition checkpoint	No terminal TF transferred; CD47–SIRPα ITIM–SHP1/2 self-recognition checkpoint	reviewed_supported	reviewed_supported	reviewed_supported	mouse; human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0753	module21a_reuse_candidate	CD96	PVR/CD155	CD96–PVR immune-synapse adhesion and NK cytotoxicity	No terminal TF transferred; CD96–PVR immune-synapse adhesion and NK cytotoxicity	reviewed_supported	bounded_no_evidence	reviewed_supported	mouse; human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0754	module21a_reuse_candidate	CDH1	CDH2	heterophilic E-cadherin/N-cadherin adhesion and force transmission	No terminal TF transferred; heterophilic E-cadherin/N-cadherin adhesion and force transmission	reviewed_supported	reviewed_supported	reviewed_supported	human; chicken	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0755	module21a_reuse_candidate	CDH1	EGFR	E-cadherin–EGFR association and context-dependent ERK/Rac crosstalk	No terminal TF transferred; E-cadherin–EGFR association and context-dependent ERK/Rac crosstalk	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse; Drosophila	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0756	module21a_reuse_candidate	CDH1	IGF1R	E-cadherin–IGF1R availability/adhesion–PI3K-AKT branch	No terminal TF transferred; E-cadherin–IGF1R availability/adhesion–PI3K-AKT branch	reviewed_supported	reviewed_supported	reviewed_supported	mouse; human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0757	module21a_reuse_candidate	CDH1	ITGAE:ITGB7 (αEβ7/CD103)	E-cadherin–αEβ7 outside-in synapse and CTL killing	No terminal TF transferred; E-cadherin–αEβ7 outside-in synapse and CTL killing	reviewed_supported	reviewed_supported	reviewed_supported	human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0758	module21a_reuse_candidate	CDH1 cytoplasmic tail	PTPRM/PTPμ	PTPμ–E-cadherin/catenin tyrosine-phosphorylation control	No terminal TF transferred; PTPμ–E-cadherin/catenin tyrosine-phosphorylation control	bounded_no_evidence	reviewed_supported	reviewed_supported	rat; human comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	binding
M23A-Q0759	module21a_reuse_candidate	CFH	ITGAM:ITGB2 (Mac-1/CR3)	factor-H glycosaminoglycan-tethered Mac-1 adhesion and oxidative activation	No terminal TF transferred; factor-H glycosaminoglycan-tethered Mac-1 adhesion and oxidative activation	reviewed_supported	reviewed_supported	reviewed_supported	human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0760	module21a_reuse_candidate	CHAD	ITGA2:ITGB1 (α2β1)	chondroadherin–α2β1 adhesion/MAPK branch	No terminal TF transferred; chondroadherin–α2β1 adhesion/MAPK branch	bounded_no_evidence	reviewed_supported	reviewed_supported	human; bovine	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	binding
M23A-Q0761	module21a_reuse_candidate	CLDN2	CLDN2	Claudin-2 homophilic adhesion and metastatic cell–hepatocyte interaction	No terminal TF transferred; Claudin-2 homophilic adhesion and metastatic cell–hepatocyte interaction	reviewed_supported	bounded_no_evidence	reviewed_supported	mouse; human comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0762	module21a_reuse_candidate	CLEC11A/osteolecin	ITGA11:ITGB1 (α11β1)	CLEC11A–α11β1 integrin–Wnt osteogenic branch	No terminal TF transferred; CLEC11A–α11β1 integrin–Wnt osteogenic branch	reviewed_supported	reviewed_supported	reviewed_supported	mouse; human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0763	module21a_reuse_candidate	CNTN1/F3	NRCAM with RPTPβ-associated complex	contactin–NrCAM neuronal adhesion and RPTPβ-associated differentiation	No terminal TF transferred; contactin–NrCAM neuronal adhesion and RPTPβ-associated differentiation	reviewed_supported	bounded_no_evidence	reviewed_supported	chicken; mouse	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0764	module21a_reuse_candidate	COL11A1/collagen XI fibril	DDR1	collagen-XI fibril–DDR1 dimer–Shc/MAPK matrix response	No terminal TF transferred; collagen-XI fibril–DDR1 dimer–Shc/MAPK matrix response	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse; rat	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0765	module21a_reuse_candidate	COL13A1/collagen XIII ectodomain	ITGA11:ITGB1 (α11β1)	collagen-XIII–α11β1 adhesion and bone-homeostasis branch	No terminal TF transferred; collagen-XIII–α11β1 adhesion and bone-homeostasis branch	reviewed_supported	reviewed_supported	reviewed_supported	mouse; human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0766	module21a_reuse_candidate	COL13A1/collagen XIII	ITGA1:ITGB1 (α1β1)	collagen-XIII–α1β1 adhesion/transmigration and renal inflammation	No terminal TF transferred; collagen-XIII–α1β1 adhesion/transmigration and renal inflammation	reviewed_supported	reviewed_supported	reviewed_supported	mouse; human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0767	module21a_reuse_candidate	COL18A1/endostatin fragment	ITGA2:ITGB1 (α2β1)	endostatin–α2β1 endothelial adhesion and anti-angiogenic function	No terminal TF transferred; endostatin–α2β1 endothelial adhesion and anti-angiogenic function	bounded_no_evidence	bounded_no_evidence	reviewed_supported	human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_ONLY	binding;relay
M23A-Q0768	module21a_reuse_candidate	COL1A1/COL1A2 native collagen I	CD36	fibrillar collagen-I–CD36 platelet/macrophage adhesion branch	No terminal TF transferred; fibrillar collagen-I–CD36 platelet/macrophage adhesion branch	reviewed_supported	bounded_no_evidence	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0769	module21a_reuse_candidate	COL1A1/COL1A2 native collagen I	DDR1	collagen-I–DDR1 activation, Notch1 crosstalk, and survival	No terminal TF transferred; collagen-I–DDR1 activation, Notch1 crosstalk, and survival	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0770	module21a_reuse_candidate	COL1A1/COL1A2 native fibrillar collagen I	GP6/GPVI:FCER1G (FcRγ)	GPVI–FcRγ ITAM/Syk/PLCγ2 platelet branch	No terminal TF transferred; GPVI–FcRγ ITAM/Syk/PLCγ2 platelet branch	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0771	module21a_reuse_candidate	COL1A1/COL1A2 native collagen I	ITGA11:ITGB1 (α11β1)	collagen-I–α11β1 adhesion/remodeling	No terminal TF transferred; collagen-I–α11β1 adhesion/remodeling	reviewed_supported	bounded_no_evidence	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0772	module21a_reuse_candidate	COL1A1/COL1A2 native collagen I	ITGA2:ITGB1 (α2β1)	collagen-I–α2β1 adhesion and collagen-response signaling	No terminal TF transferred; collagen-I–α2β1 adhesion and collagen-response signaling	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0773	module21a_reuse_candidate	COL1A1/COL1A2 native collagen I	SDC1 with HS/α2β1 context	collagen-I–syndecan-1 heparan-sulfate adhesion branch	No terminal TF transferred; collagen-I–syndecan-1 heparan-sulfate adhesion branch	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0774	module21a_reuse_candidate	COL1A1/COL1A2 native collagen I	CD36	fibrillar collagen-I–CD36 platelet/macrophage adhesion branch (COL1A2 alias)	No terminal TF transferred; fibrillar collagen-I–CD36 platelet/macrophage adhesion branch (COL1A2 alias)	reviewed_supported	bounded_no_evidence	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0775	module21a_reuse_candidate	COL2A1 native collagen II	GP6/GPVI:FCER1G (FcRγ)	collagen-II–GPVI/FcRγ platelet activation	No terminal TF transferred; collagen-II–GPVI/FcRγ platelet activation	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0776	module21a_reuse_candidate	COL2A1 native collagen II	ITGA10:ITGB1 (α10β1)	collagen-II–α10β1 cartilage adhesion	No terminal TF transferred; collagen-II–α10β1 cartilage adhesion	reviewed_supported	bounded_no_evidence	reviewed_supported	human; bovine comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0777	module21a_reuse_candidate	COL2A1 native collagen II	ITGA1:ITGB1 (α1β1)	collagen-II–α1β1 cartilage adhesion	No terminal TF transferred; collagen-II–α1β1 cartilage adhesion	reviewed_supported	bounded_no_evidence	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0778	module21a_reuse_candidate	COL2A1 native collagen II	ITGA2:ITGB1 (α2β1)	collagen-II–α2β1 cartilage adhesion	No terminal TF transferred; collagen-II–α2β1 cartilage adhesion	reviewed_supported	bounded_no_evidence	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0779	module21a_reuse_candidate	COL4A3/α3(IV) collagen	ITGA2:ITGB1 (α2β1)	COL4A3–α2β1 renal matrix maturation/fibrosis	No terminal TF transferred; COL4A3–α2β1 renal matrix maturation/fibrosis	bounded_no_evidence	bounded_no_evidence	reviewed_supported	mouse; human comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_ONLY	binding;relay
M23A-Q0780	module21a_reuse_candidate	COL4A3 NC1 domain	ITGA3:ITGB1 (α3β1)	collagen-IV NC1–α3β1 adhesion/angiogenesis	No terminal TF transferred; collagen-IV NC1–α3β1 adhesion/angiogenesis	reviewed_supported	bounded_no_evidence	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0781	module21a_reuse_candidate	COL5A1/collagen-V N-terminal domain	SDC3/heparan-sulfate complex	collagen-V NTD–syndecan-3 cytoskeletal/ERK branch	No terminal TF transferred; collagen-V NTD–syndecan-3 cytoskeletal/ERK branch	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0782	module21a_reuse_candidate	COL5A2/collagen V	DDR1	collagen-V–DDR1 dimer/RTK phosphorylation and Shc/MAPK	No terminal TF transferred; collagen-V–DDR1 dimer/RTK phosphorylation and Shc/MAPK	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse; rat	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0783	module21a_reuse_candidate	COMP	CD47	COMP–CD47 cytoskeletal adhesion branch	No terminal TF transferred; COMP–CD47 cytoskeletal adhesion branch	reviewed_supported	bounded_no_evidence	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0784	module21a_reuse_candidate	COMP	ITGAV:ITGB3 (αVβ3)	COMP RGD–αVβ3 adhesion branch	No terminal TF transferred; COMP RGD–αVβ3 adhesion branch	reviewed_supported	bounded_no_evidence	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	relay
M23A-Q0785	module21a_reuse_candidate	CSPG4/NG2	LGALS3–ITGA3:ITGB1 complex	CSPG4/NG2–galectin-3–α3β1 endothelial motility branch	No terminal TF transferred; CSPG4/NG2–galectin-3–α3β1 endothelial motility branch	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse comparator	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0786	module21a_reuse_candidate	CX3CL1 membrane/soluble fractalkine	CX3CR1	CX3CL1–CX3CR1 Gi/o–PI3K/Ca/MAPK chemotaxis and adhesion	No terminal TF transferred; CX3CL1–CX3CR1 Gi/o–PI3K/Ca/MAPK chemotaxis and adhesion	reviewed_supported	reviewed_supported	reviewed_supported	human; recombinant	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0787	module21a_reuse_candidate	CX3CL1	ITGAV:ITGB3 (αVβ3) with CX3CR1 ternary complex	fractalkine–αVβ3/CX3CR1 integrin activation and adhesion	No terminal TF transferred; fractalkine–αVβ3/CX3CR1 integrin activation and adhesion	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0788	module21a_reuse_candidate	CX3CL1	ITGAV:ITGB3 (αVβ3) with CX3CR1 ternary complex	fractalkine–αVβ3/CX3CR1 integrin activation and adhesion (ITGB3 alias)	No terminal TF transferred; fractalkine–αVβ3/CX3CR1 integrin activation and adhesion (ITGB3 alias)	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
M23A-Q0789	module21a_reuse_candidate	CXCL12/SDF1	ITGA4:ITGB1 (α4β1)	CXCL12–α4β1 activation via Vav1/Rac and CXCR4 context	No terminal TF transferred; CXCL12–α4β1 activation via Vav1/Rac and CXCR4 context	reviewed_supported	reviewed_supported	reviewed_supported	human	Non-SCI primary comparator; no SCI receiver weighting	REVIEWED_FIRST_PASS	No terminal TF; SCI receiver-state validation remains unresolved
