batch_rank	tf_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	identity_source_count	tflink_target_count	identifier_flags	selection_reason	evidence_readiness
72	zbtb42	ZBTB42;Zbtb42	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	4956		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
73	rbak	RBAK;Rbak	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	4889		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
74	wiz	WIZ;Wiz	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	5	4824		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
75	sox3	SOX3;Sox3	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	4707		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
76	znf366	ZNF366	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	4689		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
77	hoxc5	HOXC5;Hoxc5	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	4589		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
78	myrf	MYRF;Myrf	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	4573		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
79	zbtb6	ZBTB6;Zbtb6	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	4571		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
80	znf280d	ZNF280D	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	4513		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
81	znf511	ZNF511	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	4506		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
82	osr2	OSR2;Osr2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	4450		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
83	znf264	ZNF264	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	4344		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
84	zfp1	ZFP1;Zfp1	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	4329		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
85	zbtb8a	ZBTB8A;Zbtb8a	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	4236		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
86	hmg20a	HMG20A;Hmg20a	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	4003		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
87	gmeb1	GMEB1;Gmeb1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	3956		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
88	bhlha15	BHLHA15;Bhlha15	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	3949		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
89	znf687	ZNF687	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	3933		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
90	znf449	ZNF449	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	3908		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
91	tead3	TEAD3;Tead3	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	3843		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
92	son	SON;Son	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	3842		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
93	hoxd11	HOXD11;Hoxd11	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	3840		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
94	zxdc	ZXDC;Zxdc	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	3834		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
95	znf3	ZNF3	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	3822		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
96	casz1	CASZ1;Casz1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	3806		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
97	znf316	ZNF316	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	3706		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
98	znf629	ZNF629	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	3509		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
99	osr1	OSR1;Osr1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	3482		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
100	znf600	ZNF600	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	3403		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
