link_id	handoff_id	pair_key	pair_label_canonical	terminal_tf_entities	edge_id	source_entity	target_entity	evidence_id	evidence_source_locator	evidence_confidence_tier	phase2_extraction_id	phase2_confidence	link_status	basis	handoff_limitations	edge_limitations	evidence_limitations
M22A22B-LINK-032	M22A-HANDOFF-005380	edil3 itgav	Edil3 Itgav	HOXD3	M22B-E000207	HOXD3	EDIL3-alphaVbeta5 angiogenic HOXD3 program	M22B-EVID-000207	PMID:12840057;PMCID:PMC162283;PMID:11959660;PMID:21893328	not_separately_tiered	M22A-P2-NEW-EDIL3-HOXD3-20260902	High for the EDIL3/alphaVbeta5-associated HOXD3 angiogenic program in vascular comparator systems; bounded for isolated ITGB5, downstream alphaVbeta3 branch details, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	EDIL3/ITGAV-containing handoff linked to the primary EDIL3/alphaVbeta5-associated HOXD3 angiogenic program; bounded because the submitted receptor label omits the beta-chain partner and the edge is program-level.	The submitted ITGAV label does not specify beta-chain partner; the decisive receptor is alphaVbeta5 for initiation, while alphaVbeta3 is required downstream for angiogenesis. HoxD3 and angiogenesis were measured in endothelial/ischemia models, not SCI astrocytes, and integrin activation state, matrix presentation, and RGD-dependent avidity remain unresolved.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-033	M22A-HANDOFF-001315	inhba acvr1b_acvr2a	Inhba Acvr1b_acvr2a	SMAD2;SMAD3	M22B-E000378	SMAD2/3	Fst	M22B-EVID-000378	PMID:19106105	not_separately_tiered	M22B-P2-R-000305	High for direct enhancer occupancy in the reported model; bounded for receptor-complex resolution and SCI transfer	promote_existing_high_tf_target_bounded_handoff	Activin A/ACVR1B-associated SMAD3 occupancy and perturbation-supported activation of the Fst intronic enhancer; bounded to the Activin A/ALK4 branch because the primary study and edge record do not isolate ACVR2A from ACVR2B or establish SCI transfer.	Type-II receptor binding is stronger than type-I binding and the exact native holocomplex depends on receptor abundance and cofactors; the models are not SCI receiver cells and the submitted composite is not a claim of isolated ACVR1B binary binding.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-034	M22A-HANDOFF-001316	inhba acvr1b_acvr2b	Inhba Acvr1b_acvr2b	SMAD2;SMAD3	M22B-E000378	SMAD2/3	Fst	M22B-EVID-000378	PMID:19106105	not_separately_tiered	M22B-P2-R-000305	High for direct enhancer occupancy in the reported model; bounded for receptor-complex resolution and SCI transfer	promote_existing_high_tf_target_bounded_handoff	Activin A/ACVR1B-associated SMAD3 occupancy and perturbation-supported activation of the Fst intronic enhancer; bounded to the Activin A/ALK4 branch because ACVR2A and ACVR2B are partially redundant and the exact ACVR2B-ACVR1B holocomplex was not isolated.	ACVR2A and ACVR2B are partially redundant type-II receptors; the exact ACVR2B-ACVR1B pair is supported by receptor-panel and functional data rather than one native, purified full-length complex.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-035	M22A-HANDOFF-005094	tnf fas	Tnf Fas	RELA	M22B-E000310	RELA	FAS target gene	M22B-EVID-000271	PMCID:PMC3408167	not_separately_tiered	M22B-P2-R-000239	High for direct FAS promoter regulation and TNF/IFN-gamma induction in the tested models; bounded for RELA subunit-specific occupancy, receptor subtype assignment, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	TNF-alpha induction context with canonical NF-kB/RELA promoter occupancy and perturbation-supported FAS transcription; bounded as an indirect TNF-to-RELA-to-FAS transcription chain, not a TNF-FAS binding or receptor-proximal interaction.	The exact relation is indirect and requires Fas ligand for the apoptotic output. The study does not show TNF binding FAS or a TNF-FAS receptor-proximal relay. RELA is assigned only as the source-reported p65/NF-kB mechanistic mediator; the model is non-SCI.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-036	M22A-HANDOFF-002935	cfc1 acvr1b	Cfc1 Acvr1b	FOXH1	M22B-E000181	FOXH1	Foxh1-bound Nodal direct-target module including gsc,nodal1,cer1,hhex,and lefty	M22B-EVID-000158	PMID:25359723;PMCID:PMC4302925;PMCID:PMC5434453	not_separately_tiered	M22A-P2-NEW-NODAL-FOXH1-20260902	High for Nodal-responsive FOXH1/SMAD2/3 occupancy and target-module association in Xenopus embryos; bounded for exact receptor-complex composition, developmental context, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	CFC1/ACVR1B-associated Nodal receptor-complex handoff linked to the bounded FOXH1/SMAD2/3 Nodal-responsive target module in Xenopus embryos; receptor composition and developmental context remain explicit.	CFC1 is a GPI-anchored co-receptor lacking a cytosolic kinase domain; Nodal and an appropriate type-II receptor are required. Direct ACVR1B association is supported in cell-based EGF-CFC assays, while purified Cripto/ALK4 affinity is weak and context dependent.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-037	M22A-HANDOFF-002936	cfc1 acvr2a	Cfc1 Acvr2a	FOXH1	M22B-E000181	FOXH1	Foxh1-bound Nodal direct-target module including gsc,nodal1,cer1,hhex,and lefty	M22B-EVID-000158	PMID:25359723;PMCID:PMC4302925;PMCID:PMC5434453	not_separately_tiered	M22A-P2-NEW-NODAL-FOXH1-20260902	High for Nodal-responsive FOXH1/SMAD2/3 occupancy and target-module association in Xenopus embryos; bounded for exact receptor-complex composition, developmental context, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	CFC1-associated Nodal receptor-complex handoff with ACVR2A context linked to the bounded FOXH1/SMAD2/3 Nodal-responsive target module; the CFC1 association is not treated as a standalone binary receptor claim.	The pair is retained as a receptor-complex relay because CFC1 is required in Nodal signaling systems that use ActRIIA/B, but direct standalone CFC1-ACVR2A binding is unresolved; recent purified Cryptic/Cripto studies show weak or absent direct type-II-receptor interaction and the required ligand/receptor context must remain explicit.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-038	M22A-HANDOFF-004332	nodal acvr1b_acvr2a_cfc1	Nodal ACVR1B_ACVR2A_CFC1	FOXH1	M22B-E000181	FOXH1	Foxh1-bound Nodal direct-target module including gsc,nodal1,cer1,hhex,and lefty	M22B-EVID-000158	PMID:25359723;PMCID:PMC4302925;PMCID:PMC5434453	not_separately_tiered	M22A-P2-NEW-NODAL-FOXH1-20260902	High for Nodal-responsive FOXH1/SMAD2/3 occupancy and target-module association in Xenopus embryos; bounded for exact receptor-complex composition, developmental context, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	Nodal/ACVR1B-ACVR2A-CFC1 handoff linked to the bounded FOXH1/SMAD2/3 Nodal-responsive target module in Xenopus embryos; exact receptor-complex and SCI transfer remain unresolved.	The evidence supports a CFC1-assisted Nodal receptor complex rather than a binary NODAL-ACVR1B edge; ACVR2A versus ACVR2B usage is context dependent and CFC1 has no cytosolic kinase domain.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-039	M22A-HANDOFF-004334	nodal acvr1b_acvr2b_cfc1	Nodal ACVR1B_ACVR2B_CFC1	FOXH1	M22B-E000181	FOXH1	Foxh1-bound Nodal direct-target module including gsc,nodal1,cer1,hhex,and lefty	M22B-EVID-000158	PMID:25359723;PMCID:PMC4302925;PMCID:PMC5434453	not_separately_tiered	M22A-P2-NEW-NODAL-FOXH1-20260902	High for Nodal-responsive FOXH1/SMAD2/3 occupancy and target-module association in Xenopus embryos; bounded for exact receptor-complex composition, developmental context, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	Nodal/ACVR1B-ACVR2B-CFC1 handoff linked to the bounded FOXH1/SMAD2/3 Nodal-responsive target module in Xenopus embryos; exact receptor-complex and SCI transfer remain unresolved.	The evidence supports a CFC1-assisted Nodal receptor complex rather than a binary NODAL-ACVR1B edge; ACVR2A can substitute for ACVR2B in some systems and developmental outputs are context dependent.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-040	M22A-HANDOFF-004336	nodal acvr1c_acvr2a	Nodal Acvr1c_Acvr2a	FOXH1	M22B-E000181	FOXH1	Foxh1-bound Nodal direct-target module including gsc,nodal1,cer1,hhex,and lefty	M22B-EVID-000158	PMID:25359723;PMCID:PMC4302925;PMCID:PMC5434453	not_separately_tiered	M22A-P2-NEW-NODAL-FOXH1-20260902	High for Nodal-responsive FOXH1/SMAD2/3 occupancy and target-module association in Xenopus embryos; bounded for exact receptor-complex composition, developmental context, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	Nodal/ACVR1C-ACVR2A handoff linked to the bounded FOXH1/SMAD2/3 Nodal-responsive target module in Xenopus embryos; CFC1 and receptor-composition differences remain outside the asserted reuse.	Nodal-ALK7/ACVR1C binding is weaker and more context dependent than Nodal-ALK4/ACVR1B in purified human assays; the record is a receptor-complex branch, not a standalone binary ACVR1C edge, and ACVR2B can substitute.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-041	M22A-HANDOFF-004910	shh boc	Shh Boc	NKX2-2;OLIG2	M22B-E000284	NKX2-2;OLIG2	NKX2-2/OLIG2-bound neural-progenitor fate determinant and Shh-feedback target module	M22B-EVID-000254	PMID:26293298	not_separately_tiered	M22A-P2-NEW-SHH-CORECEPTOR-NKX2-2-20260902	High for the bounded SHH/BOC- or SHH/GAS1-associated ventral progenitor program linked to the NKX2-2/OLIG2 direct-target module; bounded for coreceptor redundancy, developmental model, and program-level rather than single-gene ligand-specific occupancy	promote_existing_high_tf_target_bounded_handoff	SHH/BOC-associated ventral neural-progenitor program linked to the high-confidence NKX2-2/OLIG2 direct-target module; bounded to coreceptor-dependent developmental models and not treated as a BOC-specific single-gene occupancy claim.	BOC can act as a positive or context-dependent decoy/coreceptor, and some assays measure combined GAS1/CDON/BOC activity rather than isolated BOC; neural patterning and oligodendrocyte outputs are species and stage dependent.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-042	M22A-HANDOFF-004912	shh gas1	Shh Gas1	NKX2-2	M22B-E000284	NKX2-2;OLIG2	NKX2-2/OLIG2-bound neural-progenitor fate determinant and Shh-feedback target module	M22B-EVID-000254	PMID:26293298	not_separately_tiered	M22A-P2-NEW-SHH-CORECEPTOR-NKX2-2-20260902	High for the bounded SHH/BOC- or SHH/GAS1-associated ventral progenitor program linked to the NKX2-2/OLIG2 direct-target module; bounded for coreceptor redundancy, developmental model, and program-level rather than single-gene ligand-specific occupancy	promote_existing_high_tf_target_bounded_handoff	SHH/GAS1-associated ventral neural-progenitor program linked to the high-confidence NKX2-2/OLIG2 direct-target module; bounded to GAS1/coreceptor redundancy, developmental models, and no single-gene occupancy assignment.	GAS1 can antagonize or promote SHH depending on presentation, lipid state, and tissue; combined coreceptor genetics do not isolate one universal GAS1 intracellular relay, although the exact SHH-GAS1 binding edge is direct.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-043	M22A-HANDOFF-001287	il13 il4r_il13ra1	Il13 IL4R_IL13RA1	STAT6	M22B-E000459	STAT6	Arg1	M22B-EVID-000054	PMID:16814729	not_separately_tiered	M22A-P2-NEW-IL13-STAT6-ARG1-20260902	High for the bounded IL-13/IL13RA1-dependent STAT6-responsive Arg1 program in mouse macrophages; bounded for direct promoter occupancy, receptor-complex assembly detail, tissue context, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-13/IL4R-IL13RA1 type-II receptor handoff linked to an IL-13Ralpha1-dependent STAT6-responsive Arg1 alternative-macrophage program; bounded as pathway-program reuse without a ligand-specific STAT6-Arg1 occupancy claim.	The type-II receptor is exact for this row, but cellular outputs are tissue- and species-dependent. IL13RA2 is a distinct decoy branch and is not substituted for IL13RA1.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-044	M22A-HANDOFF-003913	il13 il13_il13ra1_il4ra	Il13 Il13_Il13ra1_Il4ra	STAT6	M22B-E000459	STAT6	Arg1	M22B-EVID-000054	PMID:16814729	not_separately_tiered	M22A-P2-NEW-IL13-STAT6-ARG1-20260902	High for the bounded IL-13/IL13RA1-dependent STAT6-responsive Arg1 program in mouse macrophages; bounded for direct promoter occupancy, receptor-complex assembly detail, tissue context, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-13/IL13RA1-IL4RA type-II receptor handoff linked to an IL-13Ralpha1-dependent STAT6-responsive Arg1 alternative-macrophage program; bounded as pathway-program reuse without a ligand-specific STAT6-Arg1 occupancy claim.	The type-II complex is exact for this row, but receptor abundance and cellular outputs differ across macrophage, fibroblast, and airway models; IL13RA2 is a separate decoy branch. STAT6 is a provisional endpoint.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-045	M22A-HANDOFF-003918	il15 il15ra_il2rb_il2rg	Il15 Il15ra_Il2rb_Il2rg	STAT5	M22B-E000449	STAT5	Cish	M22B-EVID-000006	PMID:9129017;https://pubmed.ncbi.nlm.nih.gov/9129017/	high	M22A-P2-NEW-IL15-CISH-20260902	High for the IL-15-induced Cish feedback program in mouse NK cells; bounded for direct STAT5 occupancy, receptor geometry, receptor-subunit specificity beyond the exact handoff family, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-15-induced Cish feedback in mouse NK cells linked to the high STAT5-to-Cish edge as a bounded pathway program; no IL-15-specific Cish promoter occupancy is asserted.	IL-15 trans-presentation and soluble cis-signaling have distinct receptor geometry; IL15RA is a presenting/binding subunit and IL2RB/IL2RG carry the principal signaling relay. STAT5 is provisional.	Direct, pathway, program, and functional layers remain distinct.	Promoter/reconstitution evidence is strongest for EPO/STAT5 and induction also includes IL-2/IL-3. The paper does not establish IL-5, IL-7, IL-9, IL-15, or SCI receiver-cell receptor-specific induction.
M22A22B-LINK-046	M22A-HANDOFF-003960	il2 il2ra_il2rb_il2rg	Il2 Il2ra_Il2rb_Il2rg	STAT5	M22B-E000449	STAT5	Cish	M22B-EVID-000006	PMID:9129017;https://pubmed.ncbi.nlm.nih.gov/9129017/	high	M22A-P2-NEW-IL2-CISH-20260902	High for the bounded IL-2-associated STAT5/CISH program in hematopoietic and human T-cell comparators; bounded for receptor-configuration-specific promoter occupancy, mutant-receptor interpretation, cell state, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-2-associated STAT5/CISH feedback in hematopoietic and human T-cell comparators, bounded across the high-affinity IL2RA/IL2RB/IL2RG receptor configuration.	The receptor has stepwise affinity states and IL2RA is a ligand-presenting chain; IL2RB/IL2RG carry the core signaling activity. STAT5 is a provisional Module22A endpoint.	Direct, pathway, program, and functional layers remain distinct.	Promoter/reconstitution evidence is strongest for EPO/STAT5 and induction also includes IL-2/IL-3. The paper does not establish IL-5, IL-7, IL-9, IL-15, or SCI receiver-cell receptor-specific induction.
M22A22B-LINK-047	M22A-HANDOFF-003961	il2 il2rb_il2rg	Il2 IL2RB_IL2RG	STAT5	M22B-E000449	STAT5	Cish	M22B-EVID-000006	PMID:9129017;https://pubmed.ncbi.nlm.nih.gov/9129017/	high	M22A-P2-NEW-IL2-CISH-20260902	High for the bounded IL-2-associated STAT5/CISH program in hematopoietic and human T-cell comparators; bounded for receptor-configuration-specific promoter occupancy, mutant-receptor interpretation, cell state, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-2-associated STAT5/CISH feedback in hematopoietic and human T-cell comparators, bounded to the signaling-competent IL2RB/IL2RG receptor subcomplex.	This row intentionally omits IL2RA and therefore represents the signaling-competent intermediate-affinity receptor rather than the high-affinity trimer; STAT5 is the best-supported provisional endpoint.	Direct, pathway, program, and functional layers remain distinct.	Promoter/reconstitution evidence is strongest for EPO/STAT5 and induction also includes IL-2/IL-3. The paper does not establish IL-5, IL-7, IL-9, IL-15, or SCI receiver-cell receptor-specific induction.
M22A22B-LINK-048	M22A-HANDOFF-003990	il7 il2rg_il7r	Il7 Il2rg_Il7r	STAT5	M22B-E000449	STAT5	Cish	M22B-EVID-000006	PMID:9129017;https://pubmed.ncbi.nlm.nih.gov/9129017/	high	M22A-P2-NEW-IL7-CISH-20260902	High for IL-7-associated STAT5/Cish promoter regulation in murine lymphoid models; bounded for cell state, cofactor competition, receptor-complex detail, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-7-associated STAT5 binding and Cish promoter regulation in murine lymphoid models, bounded to the tested pre-B/lymphoid context.	The receptor pathway is well established, but the cited genetic study spans developmental and lymphoid contexts; STAT1/STAT3 can be minor context-dependent outputs.	Direct, pathway, program, and functional layers remain distinct.	Promoter/reconstitution evidence is strongest for EPO/STAT5 and induction also includes IL-2/IL-3. The paper does not establish IL-5, IL-7, IL-9, IL-15, or SCI receiver-cell receptor-specific induction.
M22A22B-LINK-049	M22A-HANDOFF-003964	il21 il21r_il2rg	Il21 IL21R_IL2RG	STAT3	M22B-E000431	STAT3	Socs3	M22B-EVID-000001	PMID:16718380;PMCID:PMC2441693;DOI:10.1007/s11010-006-9137-3	not_separately_tiered	M22A-P2-NEW-IL21-SOCS3-20260902	High for the bounded IL-21/STAT3-dependent Socs3 induction program in mouse T cells; bounded for direct promoter occupancy, receptor-complex detail, cell-state specificity, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-21-induced Socs3 expression was STAT3-dependent in activated mouse T cells; bounded as an exact-ligand pathway program without direct IL-21-specific Socs3 occupancy.	IL-21 can activate STAT1 and weaker STAT5 in addition to STAT3, and outputs depend strongly on lymphocyte state; STAT3 is a provisional endpoint rather than a claim that other STATs are absent.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-050	M22A-HANDOFF-001296	il22 il22ra1_il10rb	Il22 Il22ra1_il10rb	STAT1;STAT3;STAT5	M22B-E000431	STAT3	Socs3	M22B-EVID-000001	PMID:16718380;PMCID:PMC2441693;DOI:10.1007/s11010-006-9137-3	not_separately_tiered	M22A-P2-NEW-IL22-SOCS3-20260902	High for the bounded IL-22-associated STAT3/SOCS3 program in human epithelial tumor comparators; bounded for direct promoter occupancy, receptor-complex and cell-line specificity, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-22 induced STAT3 activation and SOCS3 expression in IL-22-receptor-positive human epithelial tumor cells; bounded as pathway-program reuse.	The strongest mechanistic assays use recombinant or heterologous receptor systems and epithelial/hepatoma models rather than SCI receiver cells; IL-10RB is shared by other class-II cytokines and MAPK branches are context-dependent. No direct SCI terminal-TF assignment.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-051	M22A-HANDOFF-001301	il31 il31ra_osmr	Il31 IL31RA_OSMR	STAT3	M22B-E000431	STAT3	Socs3	M22B-EVID-000001	PMID:16718380;PMCID:PMC2441693;DOI:10.1007/s11010-006-9137-3	not_separately_tiered	M22A-P2-NEW-IL31-SOCS3-20260902	High for the bounded IL-31-associated STAT3/SOCS3 program in receptor-reconstituted comparator systems; bounded for isoform, receptor stoichiometry, cell-state, direct-occupancy, and SCI transfer limits	promote_existing_high_tf_target_bounded_handoff	IL-31/IL31RA-OSMR signaling induced SOCS3 feedback alongside STAT3 signaling in receptor-reconstituted systems; bounded for receptor isoforms and direct occupancy.	IL-31 receptor signaling is receptor- and cell-state-dependent. Some binding studies show individual receptor contacts, but the submitted heteromeric complex is supported here by functional receptor-complex and mutation data; no universal terminal TF beyond STAT3 is assigned.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-052	M22A-HANDOFF-001360	lif lifr_il6st	Lif LIFR_IL6ST	STAT3	M22B-E000431	STAT3	Socs3	M22B-EVID-000001	PMID:16718380;PMCID:PMC2441693;DOI:10.1007/s11010-006-9137-3	not_separately_tiered	M22A-P2-NEW-LIF-SOCS3-20260902	High for LIF-responsive STAT1/STAT3 binding and Socs3 promoter activity in mouse corticotrophs; bounded for receptor stoichiometry, STAT1 cooperation, cell state, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	LIF-responsive STAT1/STAT3 binding and Socs3 promoter activity in mouse corticotroph cells, bounded to the LIFR-gp130 comparator mechanism.	The exact CellChat receptor token is a complex shorthand, not a binary LIFR-only interaction. LIFR/gp130 branch evidence is strong in comparator models, while tissue-specific branch weights and SCI receiver-cell usage remain unresolved. STAT3 is a measured signaling endpoint, not a claim that all downstream transcription is STAT3-exclusive.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-053	M22A-HANDOFF-004156	lif il6st_lifr	Lif Il6st_Lifr	STAT3	M22B-E000431	STAT3	Socs3	M22B-EVID-000001	PMID:16718380;PMCID:PMC2441693;DOI:10.1007/s11010-006-9137-3	not_separately_tiered	M22A-P2-NEW-LIF-SOCS3-20260902	High for LIF-responsive STAT1/STAT3 binding and Socs3 promoter activity in mouse corticotrophs; bounded for receptor stoichiometry, STAT1 cooperation, cell state, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	LIF-responsive STAT1/STAT3 binding and Socs3 promoter activity in mouse corticotroph cells, applied to the same LIFR/gp130 receptor-label order with explicit ordering limits.	The submitted receptor label is a composite complex rather than a binary IL6ST-only or LIFR-only edge. LIF receptor stoichiometry and tissue-specific branch use vary by model; STAT3 phosphorylation is measured, but a universal STAT3-exclusive transcriptional program was not established.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-054	M22A-HANDOFF-001489	osm osmr_il6st	Osm OSMR_IL6ST	STAT3	M22B-E000431	STAT3	Socs3	M22B-EVID-000001	PMID:16718380;PMCID:PMC2441693;DOI:10.1007/s11010-006-9137-3	not_separately_tiered	M22A-P2-NEW-OSM-SOCS3-20260902	High for the bounded OSM/OSMR-associated SOCS3 feedback program in hepatic and fibroblast comparators; bounded for direct STAT3 occupancy, species, receptor-branch, cell-state, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	OSM/gp130-OSMR induced SOCS3 feedback in human hepatoma and mouse fibroblast models; bounded as a pathway program without OSM-specific STAT3 promoter occupancy.	OSM receptor usage and downstream branch weighting are species-, cell-state-, and ligand-variant-dependent. The submitted OSMR_IL6ST token is a receptor complex, not a binary OSMR-only interaction. STAT3 phosphorylation is directly measured, but no universal terminal TF occupancy or single obligatory downstream branch was shown.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-055	M22A-HANDOFF-000382	ctf1 lifr_il6st	Ctf1 LIFR_IL6ST	STAT3	M22B-E000431	STAT3	Socs3	M22B-EVID-000001	PMID:16718380;PMCID:PMC2441693;DOI:10.1007/s11010-006-9137-3	not_separately_tiered	M22A-P2-NEW-CTF1-SOCS3-20260902	High for the bounded CT-1-associated STAT3/SOCS3 feedback program in rat cardiovascular comparators; bounded for direct promoter occupancy, receptor stoichiometry, tissue context, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	CT-1-induced STAT3 activation and subsequent SOCS3/CIS3 upregulation in rat cardiovascular tissues; bounded as a feedback program for the LIFR/gp130 handoff.	CT-1 uses the assembled LIFR–gp130 signaling complex; the evidence is not for an isolated LIFR-only or gp130-only receptor. STAT3 phosphorylation/function is directly measured, but the exact CellChat composite remains a receptor-complex edge.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-056	M22A-HANDOFF-000368	cntf cntfr_lifr	Cntf CNTFR_LIFR	STAT3	M22B-E000431	STAT3	Socs3	M22B-EVID-000001	PMID:16718380;PMCID:PMC2441693;DOI:10.1007/s11010-006-9137-3	not_separately_tiered	M22A-P2-NEW-CNTF-SOCS3-20260902	High for the bounded CNTF-associated STAT3/SOCS3 program in neural progenitor comparators; bounded for direct promoter occupancy, co-treatment modulation, receptor-complex detail, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	CNTF-induced STAT3 activation and Socs3 expression in mouse cortical neural progenitors; bounded for methylmercury modulation, composite-receptor detail, and program-level reuse.	The queued receptor token is a receptor-complex shorthand, not a binary CNTFR–LIFR pair; CNTF can also signal through a CNTFRα:gp130:OSMR complex in some engineered systems. STAT3 phosphorylation is directly measured, but no further terminal TF downstream of STAT3 is assigned.	Direct, pathway, program, and functional layers remain distinct.	No additional limitation recorded in the source register.
M22A22B-LINK-057	M22A-HANDOFF-001311	il5 il5ra_csf2rb	Il5 Il5ra_csf2rb	STAT5	M22B-E000449	STAT5	Cish	M22B-EVID-000006	PMID:9129017;https://pubmed.ncbi.nlm.nih.gov/9129017/	high	M22A-P2-NEW-IL5-CISH-20260902	High for IL-5-associated STAT5/CIS1 induction and DNA-binding activity in human eosinophils; bounded for direct promoter-site occupancy, receptor-complex detail, GM-CSF comparison, cell state, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-5 activated STAT5 DNA-binding activity and induced CIS1/CISH in human eosinophils; bounded to the IL5RA/CSF2RB receptor family and eosinophil context.	CSF2RB is a shared common beta chain and the receptor stoichiometry is context-dependent; the functional studies are hematopoietic/eosinophil models, not SCI receiver cells.	Direct, pathway, program, and functional layers remain distinct.	Promoter/reconstitution evidence is strongest for EPO/STAT5 and induction also includes IL-2/IL-3. The paper does not establish IL-5, IL-7, IL-9, IL-15, or SCI receiver-cell receptor-specific induction.
M22A22B-LINK-058	M22A-HANDOFF-003984	il5 csf2rb_il5ra	Il5 Csf2rb_Il5ra	STAT5	M22B-E000449	STAT5	Cish	M22B-EVID-000006	PMID:9129017;https://pubmed.ncbi.nlm.nih.gov/9129017/	high	M22A-P2-NEW-IL5-CISH-20260902	High for IL-5-associated STAT5/CIS1 induction and DNA-binding activity in human eosinophils; bounded for direct promoter-site occupancy, receptor-complex detail, GM-CSF comparison, cell state, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-5 activated STAT5 DNA-binding activity and induced CIS1/CISH in human eosinophils; applied to the same IL5RA/CSF2RB composite with explicit common-beta-chain limits.	The receptor alpha/beta-c structural work and signaling studies use recombinant or hematopoietic models; STAT1 is also observed in eosinophils, but STAT5 is the reproducible endpoint.	Direct, pathway, program, and functional layers remain distinct.	Promoter/reconstitution evidence is strongest for EPO/STAT5 and induction also includes IL-2/IL-3. The paper does not establish IL-5, IL-7, IL-9, IL-15, or SCI receiver-cell receptor-specific induction.
M22A22B-LINK-059	M22A-HANDOFF-001313	il7 il7r_il2rg	Il7 IL7R_IL2RG	STAT5	M22B-E000449	STAT5	Cish	M22B-EVID-000006	PMID:9129017;https://pubmed.ncbi.nlm.nih.gov/9129017/	high	M22A-P2-NEW-IL7-CISH-20260902	High for IL-7-associated STAT5/Cish promoter regulation in murine lymphoid models; bounded for cell state, cofactor competition, receptor-complex detail, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	IL-7-associated STAT5 binding and Cish promoter regulation in murine lymphoid models, applied to the exact IL7R/IL2RG handoff.	IL-7 responses are highly cell-type and differentiation-state dependent. The osteoclast model is an unusual functional output and should not be generalized to all IL-7-responsive cells; no direct chromatin occupancy assay was required.	Direct, pathway, program, and functional layers remain distinct.	Promoter/reconstitution evidence is strongest for EPO/STAT5 and induction also includes IL-2/IL-3. The paper does not establish IL-5, IL-7, IL-9, IL-15, or SCI receiver-cell receptor-specific induction.
