pair_key	pair_label_canonical	verdict	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
tnn itgav_itgb6	Tnn ITGAV_ITGB6	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnn%22%20AND%20%22itgav%20itgb6%22;https://europepmc.org/search?query=%22tnn%22%20AND%20%22itgav%20itgb6%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnn itgav_itgb6
tnn sdc1	Tnn Sdc1	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnn%22%20AND%20%22sdc1%22;https://europepmc.org/search?query=%22tnn%22%20AND%20%22sdc1%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnn sdc1
tnr itga2b_itgb3	Tnr ITGA2B_ITGB3	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnr%22%20AND%20%22itga2b%20itgb3%22;https://europepmc.org/search?query=%22tnr%22%20AND%20%22itga2b%20itgb3%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnr itga2b_itgb3
tnr itga9_itgb1	Tnr ITGA9_ITGB1	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnr%22%20AND%20%22itga9%20itgb1%22;https://europepmc.org/search?query=%22tnr%22%20AND%20%22itga9%20itgb1%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnr itga9_itgb1
tnr itgav_itgb3	Tnr ITGAV_ITGB3	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnr%22%20AND%20%22itgav%20itgb3%22;https://europepmc.org/search?query=%22tnr%22%20AND%20%22itgav%20itgb3%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnr itgav_itgb3
tnr itgav_itgb6	Tnr ITGAV_ITGB6	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnr%22%20AND%20%22itgav%20itgb6%22;https://europepmc.org/search?query=%22tnr%22%20AND%20%22itgav%20itgb6%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnr itgav_itgb6
tnr sdc1	Tnr Sdc1	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnr%22%20AND%20%22sdc1%22;https://europepmc.org/search?query=%22tnr%22%20AND%20%22sdc1%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnr sdc1
tnxb itga2b_itgb3	Tnxb ITGA2B_ITGB3	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnxb%22%20AND%20%22itga2b%20itgb3%22;https://europepmc.org/search?query=%22tnxb%22%20AND%20%22itga2b%20itgb3%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnxb itga2b_itgb3
tnxb itga8_itgb1	Tnxb ITGA8_ITGB1	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnxb%22%20AND%20%22itga8%20itgb1%22;https://europepmc.org/search?query=%22tnxb%22%20AND%20%22itga8%20itgb1%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnxb itga8_itgb1
tnxb itga9_itgb1	Tnxb ITGA9_ITGB1	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnxb%22%20AND%20%22itga9%20itgb1%22;https://europepmc.org/search?query=%22tnxb%22%20AND%20%22itga9%20itgb1%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnxb itga9_itgb1
tnxb itgav_itgb6	Tnxb ITGAV_ITGB6	hold_low	https://pubmed.ncbi.nlm.nih.gov/9565552/;https://pubmed.ncbi.nlm.nih.gov/7541634/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnxb%22%20AND%20%22itgav%20itgb6%22;https://europepmc.org/search?query=%22tnxb%22%20AND%20%22itgav%20itgb6%22	mouse and human comparator systems	complex/context candidate; no audited exact primary packet	The assigned prior external-review record links this tenascin/integrin or syndecan edge to ECM adhesion literature, but no exact row-specific primary binding/reconstitution packet was sufficient for promotion.	Composite integrin notation, isoform and matrix context remain unresolved; family/CellChat/Reactome pointers were not treated as exact primary evidence.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnxb itgav_itgb6
vegfa flt1_kdr	Vegfa Flt1_kdr	hold_low	https://pubmed.ncbi.nlm.nih.gov/?term=%22vegfa%22%20AND%20%22flt1%20kdr%22;https://europepmc.org/search?query=%22vegfa%22%20AND%20%22flt1%20kdr%22	human and mouse endothelial systems	composite receptor unresolved	VEGF-A directly engages FLT1/VEGFR1 and KDR/VEGFR2, but the exact submitted FLT1_KDR composite receptor was not directly established as one ligand-binding holoreceptor.	Component-level VEGFA-FLT1 and VEGFA-KDR biology cannot be collapsed into an exact composite edge.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=vegfa flt1_kdr
vegfa nrp1	Vegfa Nrp1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=%22vegfa%22%20AND%20%22nrp1%22;https://europepmc.org/search?query=%22vegfa%22%20AND%20%22nrp1%22	human and mouse endothelial systems	direct ligand binding; co-receptor function	VEGF-A isoforms, especially VEGF165, bind neuropilin-1 and promote VEGFR2-associated endothelial signaling and migration.	NRP1 is a co-receptor and heparin-binding/isoform context affects affinity and signaling.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=vegfa nrp1
vegfc flt4_kdr	Vegfc Flt4_kdr	hold_low	https://pubmed.ncbi.nlm.nih.gov/?term=%22vegfc%22%20AND%20%22flt4%20kdr%22;https://europepmc.org/search?query=%22vegfc%22%20AND%20%22flt4%20kdr%22	human and mouse lymphatic/endothelial systems	composite receptor unresolved	VEGF-C directly engages FLT4/VEGFR3 and can signal in VEGFR complexes, but exact VEGFC-FLT4-KDR composite receptor evidence was not established.	VEGFR3 and VEGFR2 component evidence, maturation state, and receptor heterodimer context remain unresolved.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=vegfc flt4_kdr
wnt1 fzd10_lrp5	Wnt1 Fzd10_lrp5	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd10%20lrp5%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd10%20lrp5%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd10_lrp5
wnt1 fzd10_lrp6	Wnt1 Fzd10_lrp6	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd10%20lrp6%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd10%20lrp6%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd10_lrp6
wnt1 fzd1_lrp5	Wnt1 Fzd1_lrp5	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd1%20lrp5%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd1%20lrp5%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd1_lrp5
wnt1 fzd1_lrp6	Wnt1 Fzd1_lrp6	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd1%20lrp6%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd1%20lrp6%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd1_lrp6
wnt1 fzd2_lrp5	Wnt1 Fzd2_lrp5	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd2%20lrp5%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd2%20lrp5%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd2_lrp5
wnt1 fzd2_lrp6	Wnt1 Fzd2_lrp6	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd2%20lrp6%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd2%20lrp6%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd2_lrp6
wnt1 fzd3_lrp5	Wnt1 Fzd3_lrp5	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd3%20lrp5%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd3%20lrp5%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd3_lrp5
wnt1 fzd3_lrp6	Wnt1 Fzd3_lrp6	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd3%20lrp6%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd3%20lrp6%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd3_lrp6
wnt1 fzd4_lrp5	Wnt1 Fzd4_lrp5	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd4%20lrp5%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd4%20lrp5%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd4_lrp5
wnt1 fzd4_lrp6	Wnt1 Fzd4_lrp6	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd4%20lrp6%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd4%20lrp6%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd4_lrp6
wnt1 fzd5_lrp5	Wnt1 Fzd5_lrp5	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd5%20lrp5%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd5%20lrp5%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd5_lrp5
wnt1 fzd5_lrp6	Wnt1 Fzd5_lrp6	no_evidence	https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt1%22%20AND%20%22fzd5%20lrp6%22;https://europepmc.org/search?query=%22wnt1%22%20AND%20%22fzd5%20lrp6%22	none established for exact submitted pair	none after expanded exact-pair search	Expanded PubMed and Europe PMC searches found no qualifying exact primary binding, reconstitution, structure, or receptor-dependent functional evidence for this submitted WNT-FZD/LRP combination.	WNT family, FZD/LRP family, pathway, expression, engineered surrogate, and noncognate WNT papers do not establish this exact ligand-holoreceptor pair.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=wnt1 fzd5_lrp6
