paper_identifier	identifier_type	identifier_value	canonical_url	metadata_status	title	authors	publication_year	journal	source_lanes	source_registers	source_record_count	source_record_ids	source_edge_ids	source_evidence_ids	source_handoff_ids	confidence_tiers	evidence_layers	sci_context_phrase_present	notes
PMID:10357834	PMID	10357834	https://pubmed.ncbi.nlm.nih.gov/10357834/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-002754	M22B-E004700	M22B-EVID-002754			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10358044	PMID	10358044	https://pubmed.ncbi.nlm.nih.gov/10358044/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-006687	M22B-E006514	M22B-EVID-006687		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10358095	PMID	10358095	https://pubmed.ncbi.nlm.nih.gov/10358095/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-006252	M22B-E006079	M22B-EVID-006252		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10358173	PMID	10358173	https://pubmed.ncbi.nlm.nih.gov/10358173/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	9	module22b_evidence_register:M22B-EVID-006635;module22b_evidence_register:M22B-EVID-008770;module22b_evidence_register:M22B-EVID-008785;module22b_evidence_register:M22B-EVID-008786;module22b_evidence_register:M22B-EVID-008787;module22b_evidence_register:M22B-EVID-008788;module22b_evidence_register:M22B-EVID-008789;module22b_evidence_register:M22B-EVID-008790;module22b_evidence_register:M22B-EVID-008798	M22B-E006462;M22B-E008597;M22B-E008612;M22B-E008613;M22B-E008614;M22B-E008615;M22B-E008616;M22B-E008617;M22B-E008625	M22B-EVID-006635;M22B-EVID-008770;M22B-EVID-008785;M22B-EVID-008786;M22B-EVID-008787;M22B-EVID-008788;M22B-EVID-008789;M22B-EVID-008790;M22B-EVID-008798		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10359534	PMID	10359534	https://pubmed.ncbi.nlm.nih.gov/10359534/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-008085	M22B-E007912	M22B-EVID-008085		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10359822	PMID	10359822	https://pubmed.ncbi.nlm.nih.gov/10359822/	identifier_only_no_local_metadata					module22a_new_primary_extractions;module22b_evidence_register	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv;work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22a_new_primary_extractions:M22A-P2-NEW-LIF-SOCS3-20260902;module22b_evidence_register:M22B-EVID-007723	M22B-E000431;M22B-E007550	M22B-EVID-000001;M22B-EVID-007723		High for LIF-responsive STAT1/STAT3 binding and Socs3 promoter activity in mouse corticotrophs; bounded for receptor stoichiometry, STAT1 cooperation, cell state, and SCI transfer;high	downstream_or_functional;ligand_receptor_or_direct_molecular	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10361118	PMID	10361118	https://pubmed.ncbi.nlm.nih.gov/10361118/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-009993	M22B-E009820	M22B-EVID-009993		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10361124	PMID	10361124	https://pubmed.ncbi.nlm.nih.gov/10361124/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-007434	M22B-E007261	M22B-EVID-007434		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10361130	PMID	10361130	https://pubmed.ncbi.nlm.nih.gov/10361130/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-007145;module22b_evidence_register:M22B-EVID-009260	M22B-E006972;M22B-E009087	M22B-EVID-007145;M22B-EVID-009260		medium-high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10362260	PMID	10362260	https://pubmed.ncbi.nlm.nih.gov/10362260/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-009391	M22B-E009218	M22B-EVID-009391		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10362515	PMID	10362515	https://pubmed.ncbi.nlm.nih.gov/10362515/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-007236	M22B-E007063	M22B-EVID-007236		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10363158	PMID	10363158	https://pubmed.ncbi.nlm.nih.gov/10363158/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	8	module22b_evidence_register:M22B-EVID-006249;module22b_evidence_register:M22B-EVID-006252;module22b_evidence_register:M22B-EVID-006253;module22b_evidence_register:M22B-EVID-006265;module22b_evidence_register:M22B-EVID-008385;module22b_evidence_register:M22B-EVID-008414;module22b_evidence_register:M22B-EVID-008416;module22b_evidence_register:M22B-EVID-008424	M22B-E006076;M22B-E006079;M22B-E006080;M22B-E006092;M22B-E008212;M22B-E008241;M22B-E008243;M22B-E008251	M22B-EVID-006249;M22B-EVID-006252;M22B-EVID-006253;M22B-EVID-006265;M22B-EVID-008385;M22B-EVID-008414;M22B-EVID-008416;M22B-EVID-008424		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10364174	PMID	10364174	https://pubmed.ncbi.nlm.nih.gov/10364174/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	4	module22b_evidence_register:M22B-EVID-003290;module22b_evidence_register:M22B-EVID-003294;module22b_evidence_register:M22B-EVID-003299;module22b_evidence_register:M22B-EVID-003300	M22B-E005214;M22B-E005218;M22B-E005223;M22B-E005224	M22B-EVID-003290;M22B-EVID-003294;M22B-EVID-003299;M22B-EVID-003300			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10364234	PMID	10364234	https://pubmed.ncbi.nlm.nih.gov/10364234/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004956	M22B-E003826	M22B-EVID-004956			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10364248	PMID	10364248	https://pubmed.ncbi.nlm.nih.gov/10364248/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-006007;module22b_evidence_register:M22B-EVID-008171	M22B-E005834;M22B-E007998	M22B-EVID-006007;M22B-EVID-008171		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10364303	PMID	10364303	https://pubmed.ncbi.nlm.nih.gov/10364303/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-008873	M22B-E008700	M22B-EVID-008873		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10364563	PMID	10364563	https://pubmed.ncbi.nlm.nih.gov/10364563/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-006101;module22b_evidence_register:M22B-EVID-008272	M22B-E005928;M22B-E008099	M22B-EVID-006101;M22B-EVID-008272		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10364831	PMID	10364831	https://pubmed.ncbi.nlm.nih.gov/10364831/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-007151;module22b_evidence_register:M22B-EVID-009265	M22B-E006978;M22B-E009092	M22B-EVID-007151;M22B-EVID-009265		medium-high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10365096	PMID	10365096	https://pubmed.ncbi.nlm.nih.gov/10365096/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-007991;module22b_evidence_register:M22B-EVID-009438	M22B-E007818;M22B-E009265	M22B-EVID-007991;M22B-EVID-009438		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10366004	PMID	10366004	https://pubmed.ncbi.nlm.nih.gov/10366004/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	4	module22b_evidence_register:M22B-EVID-005958;module22b_evidence_register:M22B-EVID-006734;module22b_evidence_register:M22B-EVID-008125;module22b_evidence_register:M22B-EVID-008889	M22B-E005785;M22B-E006561;M22B-E007952;M22B-E008716	M22B-EVID-005958;M22B-EVID-006734;M22B-EVID-008125;M22B-EVID-008889		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10366011	PMID	10366011	https://pubmed.ncbi.nlm.nih.gov/10366011/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-000607;module22b_evidence_register:M22B-EVID-000612	M22B-E001363;M22B-E001369	M22B-EVID-000607;M22B-EVID-000612			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10366422	PMID	10366422	https://pubmed.ncbi.nlm.nih.gov/10366422/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	3	module22b_evidence_register:M22B-EVID-003238;module22b_evidence_register:M22B-EVID-003239;module22b_evidence_register:M22B-EVID-003241	M22B-E005162;M22B-E005163;M22B-E005165	M22B-EVID-003238;M22B-EVID-003239;M22B-EVID-003241			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10366629	PMID	10366629	https://pubmed.ncbi.nlm.nih.gov/10366629/	matched_existing_local_metadata	Ephrin-A binding and EphA receptor expression delineate the matrix compartment of the striatum.	Janis LS; Cassidy RM; Kromer LF	1999	The Journal of neuroscience : the official journal of the Society for Neuroscience	module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	5	module22b_evidence_register:M22B-EVID-003409;module22b_evidence_register:M22B-EVID-005393;module22b_evidence_register:M22B-EVID-005396;module22b_evidence_register:M22B-EVID-005401;module22b_evidence_register:M22B-EVID-005404	M22B-E001399;M22B-E001401;M22B-E001404;M22B-E001407;M22B-E005324	M22B-EVID-003409;M22B-EVID-005393;M22B-EVID-005396;M22B-EVID-005401;M22B-EVID-005404			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10369069	PMID	10369069	https://pubmed.ncbi.nlm.nih.gov/10369069/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-006652;module22b_evidence_register:M22B-EVID-008811	M22B-E006479;M22B-E008638	M22B-EVID-006652;M22B-EVID-008811		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10369461	PMID	10369461	https://pubmed.ncbi.nlm.nih.gov/10369461/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-004444;module22b_evidence_register:M22B-EVID-004445	M22B-E003148;M22B-E003149	M22B-EVID-004444;M22B-EVID-004445			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10369932	PMID	10369932	https://pubmed.ncbi.nlm.nih.gov/10369932/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-001464;module22b_evidence_register:M22B-EVID-001465	M22B-E002238;M22B-E002239	M22B-EVID-001464;M22B-EVID-001465			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10370228	PMID	10370228	https://pubmed.ncbi.nlm.nih.gov/10370228/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-003452	M22B-E005367	M22B-EVID-003452			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10371354	PMID	10371354	https://pubmed.ncbi.nlm.nih.gov/10371354/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-008096;module22b_evidence_register:M22B-EVID-009521	M22B-E007923;M22B-E009348	M22B-EVID-008096;M22B-EVID-009521		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10373405	PMID	10373405	https://pubmed.ncbi.nlm.nih.gov/10373405/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-007151;module22b_evidence_register:M22B-EVID-009265	M22B-E006978;M22B-E009092	M22B-EVID-007151;M22B-EVID-009265		medium-high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10373478	PMID	10373478	https://pubmed.ncbi.nlm.nih.gov/10373478/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-006835;module22b_evidence_register:M22B-EVID-009004	M22B-E006662;M22B-E008831	M22B-EVID-006835;M22B-EVID-009004		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10373516	PMID	10373516	https://pubmed.ncbi.nlm.nih.gov/10373516/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	4	module22b_evidence_register:M22B-EVID-006837;module22b_evidence_register:M22B-EVID-006838;module22b_evidence_register:M22B-EVID-009006;module22b_evidence_register:M22B-EVID-009007	M22B-E006664;M22B-E006665;M22B-E008833;M22B-E008834	M22B-EVID-006837;M22B-EVID-006838;M22B-EVID-009006;M22B-EVID-009007		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10373535	PMID	10373535	https://pubmed.ncbi.nlm.nih.gov/10373535/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-009998	M22B-E009825	M22B-EVID-009998		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10374837	PMID	10374837	https://pubmed.ncbi.nlm.nih.gov/10374837/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-007419	M22B-E007246	M22B-EVID-007419		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10376970	PMID	10376970	https://pubmed.ncbi.nlm.nih.gov/10376970/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-008009;module22b_evidence_register:M22B-EVID-009454	M22B-E007836;M22B-E009281	M22B-EVID-008009;M22B-EVID-009454		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10377427	PMID	10377427	https://pubmed.ncbi.nlm.nih.gov/10377427/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-004420;module22b_evidence_register:M22B-EVID-004423	M22B-E003123;M22B-E003127	M22B-EVID-004420;M22B-EVID-004423			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10379900	PMID	10379900	https://pubmed.ncbi.nlm.nih.gov/10379900/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-003688;module22b_evidence_register:M22B-EVID-003689	M22B-E005591;M22B-E005592	M22B-EVID-003688;M22B-EVID-003689			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10380878	PMID	10380878	https://pubmed.ncbi.nlm.nih.gov/10380878/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	4	module22b_evidence_register:M22B-EVID-007006;module22b_evidence_register:M22B-EVID-007038;module22b_evidence_register:M22B-EVID-009140;module22b_evidence_register:M22B-EVID-009167	M22B-E006833;M22B-E006865;M22B-E008967;M22B-E008994	M22B-EVID-007006;M22B-EVID-007038;M22B-EVID-009140;M22B-EVID-009167		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10380885	PMID	10380885	https://pubmed.ncbi.nlm.nih.gov/10380885/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-006134;module22b_evidence_register:M22B-EVID-008297	M22B-E005961;M22B-E008124	M22B-EVID-006134;M22B-EVID-008297		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10380890	PMID	10380890	https://pubmed.ncbi.nlm.nih.gov/10380890/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-007857	M22B-E007684	M22B-EVID-007857		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10381566	PMID	10381566	https://pubmed.ncbi.nlm.nih.gov/10381566/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-006986;module22b_evidence_register:M22B-EVID-009123	M22B-E006813;M22B-E008950	M22B-EVID-006986;M22B-EVID-009123		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10381577	PMID	10381577	https://pubmed.ncbi.nlm.nih.gov/10381577/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-005432;module22b_evidence_register:M22B-EVID-005433	M22B-E005613;M22B-E005614	M22B-EVID-005432;M22B-EVID-005433		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10381625	PMID	10381625	https://pubmed.ncbi.nlm.nih.gov/10381625/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-007931;module22b_evidence_register:M22B-EVID-009380	M22B-E007758;M22B-E009207	M22B-EVID-007931;M22B-EVID-009380		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10381889	PMID	10381889	https://pubmed.ncbi.nlm.nih.gov/10381889/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-001653;module22b_evidence_register:M22B-EVID-001655	M22B-E003166;M22B-E003168	M22B-EVID-001653;M22B-EVID-001655			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10383163	PMID	10383163	https://pubmed.ncbi.nlm.nih.gov/10383163/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-005991;module22b_evidence_register:M22B-EVID-008157	M22B-E005818;M22B-E007984	M22B-EVID-005991;M22B-EVID-008157		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10383447	PMID	10383447	https://pubmed.ncbi.nlm.nih.gov/10383447/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-000443	M22B-E000483	M22B-EVID-000443			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10383449	PMID	10383449	https://pubmed.ncbi.nlm.nih.gov/10383449/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-007158;module22b_evidence_register:M22B-EVID-009271	M22B-E006985;M22B-E009098	M22B-EVID-007158;M22B-EVID-009271		medium-high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10383457	PMID	10383457	https://pubmed.ncbi.nlm.nih.gov/10383457/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-007283	M22B-E007110	M22B-EVID-007283		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10383940	PMID	10383940	https://pubmed.ncbi.nlm.nih.gov/10383940/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-007590;module22b_evidence_register:M22B-EVID-007615	M22B-E007417;M22B-E007442	M22B-EVID-007590;M22B-EVID-007615		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10384135	PMID	10384135	https://pubmed.ncbi.nlm.nih.gov/10384135/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	3	module22b_evidence_register:M22B-EVID-007149;module22b_evidence_register:M22B-EVID-007151;module22b_evidence_register:M22B-EVID-009265	M22B-E006976;M22B-E006978;M22B-E009092	M22B-EVID-007149;M22B-EVID-007151;M22B-EVID-009265		high;medium-high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10385613	PMID	10385613	https://pubmed.ncbi.nlm.nih.gov/10385613/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-006660;module22b_evidence_register:M22B-EVID-008820	M22B-E006487;M22B-E008647	M22B-EVID-006660;M22B-EVID-008820		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10385645	PMID	10385645	https://pubmed.ncbi.nlm.nih.gov/10385645/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-006621	M22B-E006448	M22B-EVID-006621		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10385690	PMID	10385690	https://pubmed.ncbi.nlm.nih.gov/10385690/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	3	module22b_evidence_register:M22B-EVID-000822;module22b_evidence_register:M22B-EVID-000849;module22b_evidence_register:M22B-EVID-000864	M22B-E001604;M22B-E001629;M22B-E001644	M22B-EVID-000822;M22B-EVID-000849;M22B-EVID-000864			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10385696	PMID	10385696	https://pubmed.ncbi.nlm.nih.gov/10385696/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	3	module22b_evidence_register:M22B-EVID-001614;module22b_evidence_register:M22B-EVID-001623;module22b_evidence_register:M22B-EVID-001632	M22B-E003025;M22B-E003034;M22B-E003043	M22B-EVID-001614;M22B-EVID-001623;M22B-EVID-001632			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
PMID:10385705	PMID	10385705	https://pubmed.ncbi.nlm.nih.gov/10385705/	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-003955;module22b_evidence_register:M22B-EVID-003956	M22B-E002352;M22B-E002353	M22B-EVID-003955;M22B-EVID-003956			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
