review_priority_rank	review_priority_score	ligand_label	receptor_label	route_record_count	unique_evidence_id_count	output_annotated_route_count	tf_annotated_route_count	intracellular_annotated_route_count	missing_intracellular_count	missing_tf_count	route_tiers	selection_note
1110	76	FCN2/L-ficolin	TLR4	5	7	2	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:2;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1111	76	FGF18	FGFR2c	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1112	76	FGF18	FGFR3c	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1113	76	FGF2	ITGB3-containing integrin complex	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1114	76	FSTL1/follistatin-like 1	DIP2A/disco-interacting protein 2 homolog A	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1115	76	Fgf18	Fgfr1	5	4	3	0	3	2	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1116	76	Fgf23	Fgfr1	5	4	3	0	3	2	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1117	76	Glutamate	GRIA4/GluA4 AMPA receptor	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1118	76	GnRH	GNRHR/GnRH receptor	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1119	76	HRH3/H3 histamine receptor	GRIN1/GluN1 NMDA receptor subunit	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1120	76	HRH3/H3 histamine receptor	GRIN2B/GluN2B NMDA receptor subunit	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1121	76	IGSF11/BT-IgSF	DLG4/PSD-95	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1122	76	IL11	IL11R-alpha/IL11RA	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1123	76	ISG15/extracellular ISG15	ITGAL:ITGB2/LFA-1 integrin	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1124	76	Kisspeptin/KISS1	KISS1R/GPR54	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1125	76	L1CAM	ALCAM	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1126	76	LSECtin/CLEC4G	LAG3/CD223	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1127	76	LTB4	LTB4R2/BLT2	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1128	76	Laminin-511	ITGA3:ITGB1 integrin	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1129	76	Lysophosphatidylcholine/LPC	GPR119	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1130	76	MUC1/underglycosylated MUC1	SELP/P-selectin	5	5	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1131	76	NEGR1/Kilon	OBCAM/OPCML	5	5	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1132	76	NID1/nidogen-1	ITGAV:ITGB3 integrin alphaVbeta3	5	5	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1133	76	NT3	NTRK3/TrkC receptor	5	5	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1134	76	NTM/neurotrimin	OBCAM/OPCML	5	5	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1135	76	Nrxn1	Nlgn2	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1136	76	Nrxn1	Nlgn3	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1137	76	P17 ant-venom peptide	MRGPRX2	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1138	76	P66/BB0603 Borrelia burgdorferi	ITGA5:ITGB1 integrin	5	5	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1139	76	PACAP/ADCYAP1	VPAC1/VIPR1	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1140	76	PAMP-12/proadrenomedullin N-terminal 9-20 peptide	MRGPRX2	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1141	76	PAMP-20/proadrenomedullin N-terminal 1-20 peptide	MRGPRX2	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1142	76	PTK7/protein tyrosine kinase 7	ADGRD1/GPR133	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1143	76	Penthalaris/Ixodes scapularis five-Kunitz TFPI-like protein	F10/factor X	5	5	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1144	76	RSPO1/R-spondin 1	LGR4/GPR48	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1145	76	RSPO1/R-spondin 1	LGR5/GPR49	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1146	76	Resolvin E1/RvE1	CMKLR1/ChemR23	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1147	76	S100A12/EN-RAGE	TLR4	5	7	2	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:2;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1148	76	SCT/secretin	SCTR/secretin receptor	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1149	76	SIRT1	FOXO3/FOXO3a	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1150	76	SIRT1	FOXO4	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1151	76	SNX27/sorting nexin 27	HTR4A/5-HT4a serotonin receptor splice variant	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1152	76	Substance P/SP	MRGPRX2	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1153	76	TGFB2	TGFBR3/betaglycan	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1154	76	TNC/tenascin-C	ITGAV:ITGB3 integrin	5	5	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1155	76	TRH	TRHR/TRH receptor 1	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1156	76	TcCRP/Gp160/Trypanosoma cruzi complement regulatory protein	C4b/complement C4 fragment	5	6	3	0	1	4	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1157	76	Tgfb2	Tgfbr3	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1158	76	Thrombin	F2RL2/PAR3	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1159	76	Tnc	Itga7	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1160	76	VEGF165/VEGFA isoform	ITGAV:ITGB3 integrin	5	5	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1161	76	WNT5B/Wnt5b	FZD2/Frizzled-2	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1162	76	WNT7A	FZD10	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1163	76	collagen IX family	alpha10beta1 integrin	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1164	76	collagen IX family	alpha11beta1 integrin	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1165	76	collagen IX family	alpha1beta1 integrin	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1166	76	collagen IX family	alpha2beta1 integrin	5	5	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
1167	76	eCIRP	TLR4:MD2	5	7	2	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:2;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1168	74	APP/amyloid precursor protein	LRP4	5	4	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1169	74	Activin B/INHBB	ACVR1C/ALK7:ACVR2A receptor complex	5	4	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1170	74	C1QTNF8/CTRP8	RXFP1/relaxin family peptide receptor 1	5	4	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1171	74	CD177	PECAM1/CD31	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1172	74	CD177/NB1	PECAM1/CD31	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1173	74	CD300B/LMIR5	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1174	74	CD300E	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1175	74	CD300H	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1176	74	CHL1/Close homolog of L1	NRP1/Neuropilin-1	5	3	3	0	3	2	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1177	74	CSPG4/NG2	FGFR1	5	4	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1178	74	CXCL17	NRP1/neuropilin-1	5	3	3	0	3	2	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1179	74	Capsaicin	TRPV1/VR1 capsaicin receptor	5	4	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1180	74	EDIL3/DEL-1	ITGAV:ITGB5	5	6	3	0	0	5	5	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1181	74	Efna5	Epha4	5	3	3	0	3	2	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1182	74	Efna5	Epha4 ectodomain	5	3	3	0	3	2	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1183	74	Efnb2	Ephb2 ectodomain	5	3	3	0	3	2	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1184	74	FCER2/CD23 soluble fragment (sCD23)	ITGAM:ITGB2 Mac-1	5	4	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1185	74	FCER2/CD23 soluble fragment (sCD23)	ITGAX:ITGB2 alphaXbeta2 integrin	5	4	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1186	74	Fetuin-A/AHSG	TLR4	5	6	2	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:2;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1187	74	Fibrinogen	TLR4	5	6	2	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:2;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1188	74	HIV-1 gp120	CFH/Complement Factor H	5	3	3	0	3	2	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1189	74	Hyaluronan fragments/LMW-HA	TLR4:MD2:CD44	5	6	2	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:2;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1190	74	ICAM5/telencephalin	ITGA5:ITGB1 (alpha5beta1)	5	4	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1191	74	INHBA/Activin A	ACVR1B:ACVR2B receptor complex	5	4	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1192	74	ITGAV:ITGB3 alphaVbeta3 integrin	PECAM1/CD31	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1193	74	KIR2DS2	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1194	74	Leukotriene E4/LTE4	OXGR1/GPR99	5	4	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1195	74	NECL2/TSLC1/SynCAM1	CRTAM	5	4	4	0	0	5	5	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1196	74	NKG2C/CD94	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1197	74	NKp44/NCR2	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1198	74	NSF/N-ethylmaleimide-sensitive factor	GABRB3/GABA-A receptor beta3 subunit	5	5	3	0	1	4	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1199	74	SEMA6A	PLXNA2	5	5	2	0	3	2	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:2;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1200	74	SIGLEC-H	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1201	74	SIGLEC14	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1202	74	SIGLEC15	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1203	74	SIGLEC16	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1204	74	SIRPB1/SIRPbeta1	DAP12/TYROBP	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
1205	74	SLIT1	ROBO1	5	4	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1206	74	Sema3g	NRP2_PLXNA2	5	5	2	0	3	2	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:2;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
1207	74	Slit1	Robo1	5	4	3	0	2	3	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:1;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
1208	74	TNC/tenascin-C	TGFB1/TGF-beta1	5	2	3	0	4	1	5	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
