module	b_edge_ids	b_evidence_id	source_kind	support_kind	source_scope	source_locator	species_support	evidence_layer	exportable	confidence_tier	citation_note	evidence_grade	context_level	grading_status	grading_basis	paper_keys	context_basis	limitations	pass_disposition
23B	M23B-E000200	M23B-EVID-000285	primary_research_paper	primary_experiment	contextual_support	PMID:11884516; PMID:22843693; PMID:17314405	human; mouse	contextual_or_unresolved	true	medium	primary matrix studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:11884516; PMID:17314405; PMID:22843693	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Do not collapse syndecan-1 and CD151-integrin mechanisms into a direct LAMC2-CD151 edge.	retain_for_adjudication
23B	M23B-E000201	M23B-EVID-000286	primary_research_paper	primary_experiment	contextual_support	PMID:14550305	human	contextual_or_unresolved	true	medium-high	primary binding study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:14550305	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Alpha partner and purified heterodimer affinity are unresolved.	retain_for_adjudication
23B	M23B-E000202	M23B-EVID-000287	primary_research_paper	primary_experiment	contextual_support	PMID:14550305	human	contextual_or_unresolved	true	medium-high	primary binding/signaling study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:14550305	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No terminal TF; alpha partner unresolved.	retain_for_adjudication
23B	M23B-E000203	M23B-EVID-000288	primary_research_paper	primary_experiment	contextual_support	PMID:31627033; DOI:10.1016/j.cyto.2019.154872	human; mouse; rat	contextual_or_unresolved	true	medium	primary cell study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/j.cyto.2019.154872; PMID:31627033	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Cell-type differences and ADAM23/Syntaxin1 context remain unresolved; no direct free-subunit substitution.	retain_for_adjudication
23B	M23B-E000204	M23B-EVID-000289	primary_research_paper	primary_experiment	contextual_support	PMID:23553626; PMID:17868448; DOI:10.1074/jbc.M113.462630	mouse; human	contextual_or_unresolved	true	medium-high	primary adhesion studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1074/jbc.M113.462630; PMID:17868448; PMID:23553626	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Complete heterodimer and activation state are required; cytokine induction of MAdCAM1 is source-cell context.	retain_for_adjudication
23B	M23B-E000205	M23B-EVID-000290	primary_research_paper	primary_experiment	contextual_support	PMID:23553626; PMID:17868448; DOI:10.1074/jbc.M113.462630	mouse; human	contextual_or_unresolved	true	medium	primary adhesion studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1074/jbc.M113.462630; PMID:17868448; PMID:23553626	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No terminal TF.	retain_for_adjudication
23B	M23B-E000206	M23B-EVID-000291	primary_research_paper	primary_experiment	contextual_support	PMID:18851943; DOI:10.1016/j.bbrc.2008.09.138	human	contextual_or_unresolved	true	high	primary receptor-complex study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/j.bbrc.2008.09.138; PMID:18851943	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Complex edge, not isolated TSPAN1 signaling; STAT1-alpha is pathway output, not direct ligand-TF evidence.	retain_for_adjudication
23B	M23B-E000207	M23B-EVID-000292	primary_research_paper	primary_experiment	contextual_support	PMID:21868707; PMCID:PMC6999705	human; mouse	contextual_or_unresolved	true	medium-high	primary receptor-complex studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC6999705; PMID:21868707	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Alpha partner and assembled complex are required; no free ITGAV edge.	retain_for_adjudication
23B	M23B-E000208	M23B-EVID-000293	primary_research_paper	primary_experiment	contextual_support	PMCID:PMC3707630	human; mouse	contextual_or_unresolved	true	high	primary receptor-complex study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC3707630	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	CD74 and CD44 are a complex; no isolated CD74-only functional claim.	retain_for_adjudication
23B	M23B-E000209	M23B-EVID-000294	primary_research_paper	primary_experiment	contextual_support	PMID:17045821; PMCID:PMC1892765	human; mouse	contextual_or_unresolved	true	medium-high	primary receptor-complex studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC1892765; PMID:17045821	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Cell context and CD44 isoform affect the branch; no terminal TF.	retain_for_adjudication
23B	M23B-E000210	M23B-EVID-000295	primary_research_paper	primary_experiment	contextual_support	PMID:18713744; PMCID:PMC2570862	human; mouse	contextual_or_unresolved	true	high	primary protease-receptor study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2570862; PMID:18713744	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Proteolytic relay is distinct from ligand binding; cleavage state and cell context matter.	retain_for_adjudication
23B	M23B-E000211	M23B-EVID-000296	primary_research_paper	primary_experiment	contextual_support	PMID:7939629; PMCID:PMC4815273	human; mouse	contextual_or_unresolved	true	high	primary receptor study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC4815273; PMID:7939629	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	MSP is processed alpha/beta ligand; do not generalize to uncleaved precursor.	retain_for_adjudication
23B	M23B-E000212	M23B-EVID-000297	primary_research_paper	primary_experiment	contextual_support	PMID:7939629; PMCID:PMC4815273	human; mouse	contextual_or_unresolved	true	medium-high	primary RTK studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC4815273; PMID:7939629	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No terminal TF and no SCI receiver state.	retain_for_adjudication
23B	M23B-E000213	M23B-EVID-000298	primary_research_paper	primary_experiment	direct_edge	DOI:10.1083/jcb.200903030; PMCID:PMC2806277; PMID:20038681	human; mouse	ligand_receptor_or_direct_molecular	true	high	primary neural receptor study	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1083/jcb.200903030; PMCID:PMC2806277; PMID:20038681	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	NCAM is a noncanonical FGFR1 ligand in this study; direct binding is at the complete ectodomain/complex level and no SCI model or terminal TF was tested.	retain_for_adjudication
23B	M23B-E000214	M23B-EVID-000299	primary_research_paper	primary_experiment	contextual_support	PMID:18353777	human; mouse	contextual_or_unresolved	true	medium-high	primary neural receptor study	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:18353777	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	Complex architecture and ligand presentation are context-dependent.	retain_for_adjudication
23B	M23B-E000215	M23B-EVID-000300	primary_research_paper	primary_experiment	contextual_support	PMID:7961669; PMID:10704499	human; mouse	contextual_or_unresolved	true	high	primary neural studies	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:10704499; PMID:7961669	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	Membrane presentation and polysialylation state affect adhesion.	retain_for_adjudication
23B	M23B-E000216	M23B-EVID-000301	primary_research_paper	primary_experiment	contextual_support	PMID:7961669; PMID:10704499	human; mouse	contextual_or_unresolved	true	medium-high	primary neural studies	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:10704499; PMID:7961669	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	No terminal TF.	retain_for_adjudication
23B	M23B-E000217	M23B-EVID-000302	primary_research_paper	primary_experiment	contextual_support	PMID:18809727; PMCID:PMC2542478	mouse; human	contextual_or_unresolved	true	high	isoform-specific primary study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2542478; PMID:18809727	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	NCAM isoform-specific; do not generalize to all NCAM1 forms.	retain_for_adjudication
23B	M23B-E000218	M23B-EVID-000303	primary_research_paper	primary_experiment	contextual_support	PMID:16319926; PMID:17324588; PMCID:PMC2699283	mouse	contextual_or_unresolved	true	high	primary neural studies	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2699283; PMID:16319926; PMID:17324588	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	TRPV1 is a downstream effector; initiating receptor is TrkA, not a direct NGF-TRPV1 interaction.	retain_for_adjudication
23B	M23B-E000219	M23B-EVID-000304	primary_research_paper	primary_experiment	direct_edge	PMCID:PMC2757411; PMID:19342381	mouse; human	ligand_receptor_or_direct_molecular	true	high	shared evidence for Q0534 and Q0535	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2757411; PMID:19342381	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	The retrieved primary record supports the complete alpha8beta1 complex but not a purified affinity constant; shared source and experiment support both queue aliases and must not be double-counted.	retain_for_adjudication
23B	M23B-E000220	M23B-EVID-000305	primary_research_paper	primary_experiment	pathway_membership	PMCID:PMC2757411; PMID:19342381	mouse; human	downstream_or_functional	true	medium-high	shared evidence for Q0534 and Q0535	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2757411; PMID:19342381	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No terminal TF or direct NPNT-to-Gdnf transcriptional edge; shared evidence across Q0534/Q0535.	retain_for_adjudication
23B	M23B-E000221	M23B-EVID-000306	primary_research_paper	primary_experiment	direct_edge	DOI:10.1126/science.1255149; PMCID:PMC4369087; PMID:24876346	mouse; recombinant mammalian proteins	ligand_receptor_or_direct_molecular	true	high	primary neural structural study	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1126/science.1255149; PMCID:PMC4369087; PMID:24876346	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	Direct binding is to receptor ectodomains and no terminal TF was tested; neogenin and DCC architectures must remain distinct.	retain_for_adjudication
23B	M23B-E000222	M23B-EVID-000307	primary_research_paper	primary_experiment	contextual_support	PMID:15520228; PMCID:PMC2172498	mouse; chicken ligand comparator	contextual_or_unresolved	true	medium	primary myogenic study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2172498; PMID:15520228	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Soluble stimulation included chicken netrin-2 comparator; no direct NTN3-CDON interface or terminal TF edge.	retain_for_adjudication
23B	M23B-E000244	M23B-EVID-000308	primary_research_paper	primary_experiment	contextual_support	PMID:15520228; PMCID:PMC2172498	mouse; chicken ligand comparator	contextual_or_unresolved	true	medium	primary myogenic study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2172498; PMID:15520228	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Related-ligand comparator and complex dependence prevent a free NTN3-CDON edge.	retain_for_adjudication
23B	M23B-E000223	M23B-EVID-000309	primary_research_paper	primary_experiment	direct_edge	DOI:10.1073/pnas.0804008105; PMCID:PMC2518829; PMID:18719102; PMCID:PMC2902137	human; mouse	ligand_receptor_or_direct_molecular	true	high	primary vascular studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1073/pnas.0804008105; PMCID:PMC2518829; PMCID:PMC2902137; PMID:18719102	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No isolated NTN4-UNC5B binding; the Unc5B recruitment and anti-migratory output are context-dependent, with conflicting receptor-independent lymphatic-endothelial results.	retain_for_adjudication
23B	M23B-E000224	M23B-EVID-000310	primary_research_paper	primary_experiment	contextual_support	PMID:18719102; PMCID:PMC2902137; PMCID:PMC3909532	human; mouse	contextual_or_unresolved	true	medium	primary vascular studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2902137; PMCID:PMC3909532; PMID:18719102	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Complex-dependent, non-SCI comparator; no terminal TF.	retain_for_adjudication
23B	M23B-E000225	M23B-EVID-000311	primary_research_paper	primary_experiment	contextual_support	PMID:12881526	human; rat/mouse comparator	contextual_or_unresolved	true	medium	primary glioblastoma study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:12881526	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No direct PDGFB-ITGAV binding; beta partner and PDGFRB are required.	retain_for_adjudication
23B	M23B-E000226	M23B-EVID-000312	primary_research_paper	primary_experiment	receptor_proximal_relay	DOI:10.1074/jbc.M109.046672; PMCID:PMC2863204; PMID:20220145	human; mouse	receptor_proximal_or_pathway	true	high	primary biochemical and cell studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1074/jbc.M109.046672; PMCID:PMC2863204; PMID:20220145	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No direct PDGF-BB-LRP1 ligand binding; LRP1 is an endocytic/signaling co-receptor and PDGFRB is the canonical kinase receptor.	retain_for_adjudication
23B	M23B-E000227	M23B-EVID-000313	primary_research_paper	primary_experiment	receptor_proximal_relay	DOI:10.1074/jbc.M109.046672; PMCID:PMC2863204; PMID:20220145	human; mouse	receptor_proximal_or_pathway	true	high	primary co-receptor studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1074/jbc.M109.046672; PMCID:PMC2863204; PMID:20220145	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Do not represent as LRP1-only PDGF signaling or as a direct PDGF-BB-LRP1 ligand edge; the relay depends on PDGFRB, LRP1, endocytosis, and tested fibroblast context, and no terminal TF endpoint was established.	retain_for_adjudication
23B	M23B-E000228	M23B-EVID-000314	primary_research_paper	primary_experiment	contextual_support	PMCID:PMC2749330; PMID:20154219; PMID:38561690	mouse; human	contextual_or_unresolved	true	medium-high	primary receptor studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2749330; PMID:20154219; PMID:38561690	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Ligand multimerization and platelet/megakaryocyte context are required.	retain_for_adjudication
23B	M23B-E000229	M23B-EVID-000315	primary_research_paper	primary_experiment	contextual_support	PMCID:PMC2749330; PMID:20154219; PMID:38561690	mouse; human	contextual_or_unresolved	true	medium-high	primary platelet studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2749330; PMID:20154219; PMID:38561690	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No terminal TF; tumor outputs do not establish a universal endpoint.	retain_for_adjudication
23B	M23B-E000230	M23B-EVID-000316	primary_research_paper	primary_experiment	contextual_support	PMID:7929268; PMID:12796773; DOI:10.1074/jbc.273.35.22272	human; mouse	contextual_or_unresolved	true	medium-high	primary vascular studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1074/jbc.273.35.22272; PMID:12796773; PMID:7929268	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Isoform, soluble versus membrane FLT1, and VEGF/PlGF heterodimer context matter.	retain_for_adjudication
23B	M23B-E000231	M23B-EVID-000317	primary_research_paper	primary_experiment	contextual_support	PMID:12796773; DOI:10.1074/jbc.273.35.22272	human; mouse	contextual_or_unresolved	true	medium	primary vascular studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1074/jbc.273.35.22272; PMID:12796773	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	KDR dominance and heterodimer context are branch-specific; no terminal TF.	retain_for_adjudication
23B	M23B-E000232	M23B-EVID-000318	primary_research_paper	primary_experiment	contextual_support	PMID:15126502; PMID:23645683; PMCID:PMC3689943	human; mouse; rat comparator	contextual_or_unresolved	true	high	primary receptor studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC3689943; PMID:15126502; PMID:23645683	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Evidence is strongest for PlGF-2, not all PlGF isoforms; NRP1 is noncatalytic.	retain_for_adjudication
23B	M23B-E000233	M23B-EVID-000319	primary_research_paper	primary_experiment	contextual_support	PMID:15126502; PMID:23645683; PMCID:PMC3689943	human; mouse; rat comparator	contextual_or_unresolved	true	medium-high	primary receptor-complex studies	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC3689943; PMID:15126502; PMID:23645683	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	Cell-specific partners are required; no terminal TF.	retain_for_adjudication
23B	M23B-E000234	M23B-EVID-000320	primary_research_paper	primary_experiment	contextual_support	PMCID:PMC3402285; PMID:22677557; PMID:25131752	mouse; human	contextual_or_unresolved	true	medium-high	primary macrophage studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC3402285; PMID:22677557; PMID:25131752	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No purified binary PLAT-ITGAM affinity; complete Mac-1 and annexin A2 are required.	retain_for_adjudication
23B	M23B-E000235	M23B-EVID-000321	primary_research_paper	primary_experiment	contextual_support	PMCID:PMC3402285; PMID:22677557; PMID:25131752	mouse; human	contextual_or_unresolved	true	medium-high	primary macrophage studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC3402285; PMID:22677557; PMID:25131752	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No terminal TF occupancy assay; not SCI-specific.	retain_for_adjudication
23B	M23B-E000236	M23B-EVID-000322	primary_research_paper	primary_experiment	contextual_support	PMID:11598185; PMCID:PMC60149; PMID:19411312	human; mouse	contextual_or_unresolved	true	medium	primary receptor-complex studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC60149; PMID:11598185; PMID:19411312	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Do not relabel as direct uPA-ITGA3 binding; alpha3beta1 and matrix context are required.	retain_for_adjudication
23B	M23B-E000236	M23B-EVID-000323	primary_research_paper	primary_experiment	contextual_support	PMID:11598185; PMCID:PMC60149; PMID:19411312	human; mouse	contextual_or_unresolved	true	medium	primary receptor-complex studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC60149; PMID:11598185; PMID:19411312	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No free ITGA3 edge and no terminal TF.	retain_for_adjudication
23B	M23B-E000237	M23B-EVID-000324	primary_research_paper	primary_experiment	contextual_support	PMID:19411312; PMCID:PMC2711805; PMID:15684035	human; mouse	contextual_or_unresolved	true	medium-low	primary receptor-complex studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC2711805; PMID:15684035; PMID:19411312	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Purified direct uPA-beta1 binding was not shown; beta1 partner and matrix context vary.	retain_for_adjudication
23B	M23B-E000238	M23B-EVID-000325	primary_research_paper	primary_experiment	contextual_support	PMID:12426305; PMID:16267271; PMID:23709605	mouse; human	contextual_or_unresolved	true	medium-high	primary receptor-complex studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:12426305; PMID:16267271; PMID:23709605	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Cleavage state, integrin composition, EGFR abundance, and uPA form alter the branch.	retain_for_adjudication
23B	M23B-E000239	M23B-EVID-000326	primary_research_paper	primary_experiment	contextual_support	PMID:19695571	mouse; human	contextual_or_unresolved	true	medium	primary vascular study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:19695571	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No purified binary interface; mainly alphaVbeta3 and not free ITGAV; not SCI-specific.	retain_for_adjudication
23B	M23B-E000240	M23B-EVID-000327	primary_research_paper	primary_experiment	contextual_support	PMID:18753297; PMID:19695571	human; mouse	contextual_or_unresolved	true	medium	primary comparator studies	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:18753297; PMID:19695571	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	AlphaVbeta3 is emphasized in the vascular study; no single stoichiometry applies to every model.	retain_for_adjudication
23B		M23B-EVID-000328	search_boundary	negative_evidence	negative_evidence	PMID:1334487; PMID:11700022; PMID:10727510	human; hamster	ligand_receptor_or_direct_molecular	false	medium	primary receptor pharmacology	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:10727510; PMID:11700022; PMID:1334487	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	No qualifying direct DBH/SLC18A1-to-ADRA1B sender edge; do not infer vesicular source from receptor assays.	boundary_or_nonpromotable
23B		M23B-EVID-000329	search_boundary	negative_evidence	negative_evidence	PMID:9174358; PMID:16809338; PMID:22405824	human; mouse	ligand_receptor_or_direct_molecular	false	medium	primary receptor pharmacology	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:16809338; PMID:22405824; PMID:9174358	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	No qualifying direct DBH/SLC18A1-to-ADRA2A sender edge.	boundary_or_nonpromotable
23B		M23B-EVID-000330	search_boundary	negative_evidence	negative_evidence	PMID:17032647; PMID:11369767; PMID:14551227	human; mouse; rat	ligand_receptor_or_direct_molecular	false	medium	primary receptor pharmacology	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:11369767; PMID:14551227; PMID:17032647	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	No qualifying direct DBH/SLC18A1-to-ADRB3 sender edge.	boundary_or_nonpromotable
23B		M23B-EVID-000331	search_boundary	negative_evidence	negative_evidence	PMID:1334487; PMID:11700022; PMID:10727510	human; hamster	ligand_receptor_or_direct_molecular	false	medium	primary receptor pharmacology	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:10727510; PMID:11700022; PMID:1334487	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	No qualifying direct SLC18A2-to-ADRA1B sender edge.	boundary_or_nonpromotable
23B		M23B-EVID-000332	search_boundary	negative_evidence	negative_evidence	PMID:9174358; PMID:16809338; PMID:22405824	human; mouse	ligand_receptor_or_direct_molecular	false	medium	primary receptor pharmacology	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:16809338; PMID:22405824; PMID:9174358	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	No qualifying direct SLC18A2-to-ADRA2A sender edge.	boundary_or_nonpromotable
23B		M23B-EVID-000333	search_boundary	negative_evidence	negative_evidence	PMID:17032647; PMID:11369767; PMID:14551227	human; mouse; rat	ligand_receptor_or_direct_molecular	false	medium	primary receptor pharmacology	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:11369767; PMID:14551227; PMID:17032647	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	No qualifying direct SLC18A2-to-ADRB3 sender edge.	boundary_or_nonpromotable
23B		M23B-EVID-000334	search_boundary	negative_evidence	negative_evidence	PMID:1334487; PMID:11700022; PMID:10727510	human; hamster	ligand_receptor_or_direct_molecular	false	medium	primary receptor pharmacology	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:10727510; PMID:11700022; PMID:1334487	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	No qualifying direct SLC6A2-to-ADRA1B sender edge.	boundary_or_nonpromotable
23B		M23B-EVID-000335	search_boundary	negative_evidence	negative_evidence	PMID:9174358; PMID:16809338; PMID:22405824	human; mouse	ligand_receptor_or_direct_molecular	false	medium	primary receptor pharmacology	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:16809338; PMID:22405824; PMID:9174358	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	No qualifying direct SLC6A2-to-ADRA2A sender edge.	boundary_or_nonpromotable
23B	M23B-E000245	M23B-EVID-000336	primary_research_paper	primary_experiment	pathway_membership	PMID:35320720; DOI:10.1016/j.celrep.2022.110548	mouse	receptor_proximal_or_pathway	true	medium-high	PMID:35320720; DOI:10.1016/j.celrep.2022.110548	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/j.celrep.2022.110548; PMID:35320720	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	HSP90AA1 is intracellular/cytoplasmic; not an extracellular ligand-binding receptor; no SCI receiver-state evidence.	retain_for_adjudication
23B	M23B-E000246	M23B-EVID-000337	primary_research_paper	primary_experiment	contextual_support	PMID:18339712; PMCID:PMC4382091	human comparator	contextual_or_unresolved	true	medium-high	PMID:18339712; PMCID:PMC4382091	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC4382091; PMID:18339712	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	PROKR1/PROKR2 context can overlap; exact SCI relevance unresolved.	retain_for_adjudication
23B	M23B-E000246	M23B-EVID-000338	primary_research_paper	primary_experiment	pathway_membership	PMID:18339712; PMCID:PMC4382091	human comparator	receptor_proximal_or_pathway	true	medium-high	PMID:18339712; PMCID:PMC4382091	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC4382091; PMID:18339712	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	EGFR is transactivation/crosstalk, not direct PROK1 binding.	retain_for_adjudication
23B	M23B-E000246	M23B-EVID-000339	primary_research_paper	primary_experiment	contextual_support	PMID:18339712; PMCID:PMC4382091	human comparator	downstream_or_functional	true	medium	PMID:18339712; PMCID:PMC4382091	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC4382091; PMID:18339712	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	COX-2 is an output, not a terminal TF.	retain_for_adjudication
