"module"	"canonical_paper_key"	"resolved_pmid"	"resolved_pmcid"	"resolved_doi"	"resolution_status"	"resolution_basis"	"authoritative_source"	"source_metadata_title"	"source_metadata_authors"	"source_metadata_year"	"source_metadata_journal"	"source_metadata_abstract"	"source_metadata_url"	"extraction_row_count"	"extraction_ids"
"23B"	"PMCID:PMC2116396; PMID:1980124; PMID:17164347; PMID:21454473"	"1980124"	"PMC2116396"	"10.1083/jcb.111.6.3129"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B147_PMID1980124_ICAM1_MAC1_pubmed.xml"	"ICAM-1 (CD54): a counter-receptor for Mac-1 (CD11b/CD18)."	"M S Diamond; D E Staunton; A R de Fougerolles; S A Stacker; J Garcia-Aguilar; M L Hibbs; T A Springer"	"1990"	"The Journal of cell biology"	"While the leukocyte integrin lymphocyte function-associated antigen (LFA)-1 has been demonstrated to bind intercellular adhesion molecule (ICAM)-1, results with the related Mac-1 molecule have been controversial. We have used multiple cell binding assays, purified Mac-1 and ICAM-1, and cell lines transfected with Mac-1 and ICAM-1 cDNAs to examine the interaction of ICAM-1 with Mac-1. Stimulated human umbilical vein endothelial cells (HUVECs), which express a high surface density of ICAM-1, bind to immunoaffinity-purified Mac-1 adsorbed to artificial substrates in a manner that is inhibited by mAbs to Mac-1 and ICAM-1. Transfected murine L cells or monkey COS cells expressing human ICAM-1 bind to purified Mac-1 in a specific and dose-dependent manner; the attachment to Mac-1 is more temperature sensitive, lower in avidity, and blocked by a different series of ICAM-1 mAbs when compared to LFA-1. In a reciprocal assay, COS cells cotransfected with the alpha and beta chain cDNAs of Mac-1 or LFA-1 attach to immunoaffinity-purified ICAM-1 substrates; this adhesion is blocked by mAbs to ICAM-1 and Mac-1 or LFA-1. Two color fluorescence cell conjugate experiments show that neutrophils stimulated with fMLP bind to HUVEC stimulated with lipopolysaccharide for 24 h in an ICAM-1-, Mac-1-, and LFA-1-dependent fashion. Because cellular and purified Mac-1 interact with cellular and purified ICAM-1, we conclude that ICAM-1 is a counter receptor for Mac-1 and that this receptor pair is responsible, in part, for the adhesion between stimulated neutrophils and stimulated endothelial cells."	"https://pubmed.ncbi.nlm.nih.gov/1980124/"	"3"	"M23B-P2-R-000716;M23B-P2-R-000717;M23B-P2-R-000718"
"23B"	"PMCID:PMC212714; PMID:12970173; PMID:7691819"	"12970173"	"PMC212714"	"10.1093/emboj/cdg445"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B033_pmc.xml"	"Structure of integrin α 5 β 1 in complex with fibronectin"	"Junichi Takagi; Konstantin Strokovich; Timothy A. Springer; Thomas Walz"	"2003"	""	"The membrane-distal headpiece of integrins has evolved to specifically bind large extracellular protein ligands, but the molecular architecture of the resulting complexes has not been determined. We used molecular electron microscopy to determine the three-dimensional structure of the ligand-binding headpiece of integrin α 5 β 1 complexed with fragments of its physiological ligand fibronectin. The density map for the unliganded α 5 β 1 headpiece shows a ‘closed’ conformation similar to that seen in the α V β 3 crystal structure. By contrast, binding to fibronectin induces an ‘open’ conformation with a dramatic, ∼80° change in the angle of the hybrid domain of the β subunit relative to its I-like domain. The fibronectin fragment binds to the interface between the β-propeller and I-like domains in the integrin headpiece through the RGD-containing module 10, but direct contact of the synergy-region-containing module 9 to integrin is not evident. This finding is corroborated by kinetic analysis of real-time binding data, which shows that the synergy site greatly enhances k on but has little effect on the stability or k off of the complex."	"https://pubmed.ncbi.nlm.nih.gov/12970173/"	"1"	"M23B-P2-R-000179"
"23B"	"PMCID:PMC276084; PMID:9190212; DOI:10.1091/mbc.8.2.341; PMID:10198043; PMCID:PMC25207; DOI:10.1091/mbc.10.4.861"	"9190212"	"PMC276084"	"10.1091/mbc.8.2.341"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B146_PMID9190212_ICAM1_LFA1_pubmed.xml"	"Dual role of the actin cytoskeleton in regulating cell adhesion mediated by the integrin lymphocyte function-associated molecule-1."	"M Lub; Y van Kooyk; S J van Vliet; C G Figdor"	"1997"	"Molecular biology of the cell"	"Intracellular signals are required to activate the leukocyte-specific adhesion receptor lymphocyte function-associated molecule-1 (LFA-1; CD11a/CD18) to bind its ligand, intracellular adhesion molecule-1 (ICAM-1). In this study, we investigated the role of the cytoskeleton in LFA-1 activation and demonstrate that filamentous actin (F-actin) can both enhance and inhibit LFA-1-mediated adhesion, depending on the distribution of LFA-1 on the cell surface. We observed that LFA-1 is already clustered on the cell surface of interleukin-2/phytohemagglutinin-activated lymphocytes. These cells bind strongly ICAM-1 and disruption of the actin cytoskeleton inhibits adhesion. In contrast to interleukin-2/phytohemagglutinin-activated peripheral blood lymphocytes, resting lymphocytes, which display a homogenous cell surface distribution of LFA-1, respond poorly to intracellular signals to bind ICAM-1, unless the actin cytoskeleton is disrupted. On resting peripheral blood lymphocytes, uncoupling of LFA-1 from the actin cytoskeleton induces clustering of LFA-1 and this, along with induction of a high-affinity form of LFA-1, via ""inside-out"" signaling, results in enhanced binding to ICAM-1, which is dependent on intact intermediate filaments, microtubules, and metabolic energy. We hypothesize that linkage of LFA-1 to cytoskeletal elements prevents movement of LFA-1 over the cell surface, thus inhibiting clustering and strong ligand binding. Release from these cytoskeletal elements allows lateral movement and activation of LFA-1, resulting in ligand binding and ""outside-in"" signaling, that subsequently stimulates actin polymerization and stabilizes cell adhesion."	"https://pubmed.ncbi.nlm.nih.gov/9190212/"	"1"	"M23B-P2-R-000714"
"23B"	"PMCID:PMC276084; PMID:9190212; DOI:10.1091/mbc.8.2.341; PMID:9539703; DOI:10.1073/pnas.95.8.4140; PMID:3315233; DOI:10.1016/0092-8674(87)90104-8"	"3315233"	""	"10.1016/0092-8674(87)90104-8"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B146_PMID3315233_ICAM1_LFA1_pubmed.xml"	"Purified intercellular adhesion molecule-1 (ICAM-1) is a ligand for lymphocyte function-associated antigen 1 (LFA-1)."	"S D Marlin; T A Springer"	"1987"	"Cell"	"Lymphocyte function-associated antigen 1 (LFA-1) is a leukocyte cell surface glycoprotein that promotes intercellular adhesion in immunological and inflammatory reactions. It is an alpha beta complex that is structurally related to receptors for extracellular matrix components, and thus belongs to the integrin family. ICAM-1 (intercellular adhesion molecule-1) is a distinct cell surface glycoprotein. Its broad distribution, regulated expression in inflammation, and involvement in LFA-1-dependent cell-cell adhesion have suggested that ICAM-1 may be a ligand for LFA-1. We have purified ICAM-1 and incorporated it into artificial supported lipid membranes. LFA-1+ but not LFA-1- cells bound to ICAM-1 in the artificial membranes, and the binding could be specifically inhibited by anti-ICAM-1 treatment of the membranes or by anti-LFA-1 treatment of the cells. The cell binding to ICAM-1 required metabolic energy production, an intact cytoskeleton, and the presence of Mg2+ and was temperature dependent, characteristics of LFA-1- and ICAM-1-dependent cell-cell adhesion."	"https://pubmed.ncbi.nlm.nih.gov/3315233/"	"1"	"M23B-P2-R-000713"
"23B"	"PMCID:PMC3001003; PMID:19398782; PMID:20929862; PMID:22442151"	"20929862"	"PMC3001003"	"10.1074/jbc.m110.123703"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B064_pmc3001003_tg2_sdc4_full.xml"	"RGD-independent Cell Adhesion via a Tissue Transglutaminase-Fibronectin Matrix Promotes Fibronectin Fibril Deposition and Requires Syndecan-4/2 and α5β1 Integrin Co-signaling *"	"Zhuo Wang; Russell J. Collighan; Stephane R. Gross; Erik H. J. Danen; Gertraud Orend; Dilek Telci; Martin Griffin"	"2010"	""	"Fibronectin (FN) deposition mediated by fibroblasts is an important process in matrix remodeling and wound healing. By monitoring the deposition of soluble biotinylated FN, we show that the stress-induced TG-FN matrix, a matrix complex of tissue transglutaminase (TG2) with its high affinity binding partner FN, can increase both exogenous and cellular FN deposition and also restore it when cell adhesion is interrupted via the presence of RGD-containing peptides. This mechanism does not require the transamidase activity of TG2 but is activated through an RGD-independent adhesion process requiring a heterocomplex of TG2 and FN and is mediated by a syndecan-4 and β1 integrin co-signaling pathway. By using α5 null cells, β1 integrin functional blocking antibody, and a α5β1 integrin targeting peptide A5-1, we demonstrate that the α5 and β1 integrins are essential for TG-FN to compensate RGD-induced loss of cell adhesion and FN deposition. The importance of syndecan-2 in this process was shown using targeting siRNAs, which abolished the compensation effect of TG-FN on the RGD-induced loss of cell adhesion, resulting in disruption of actin skeleton formation and FN deposition. Unlike syndecan-4, syndecan-2 does not interact directly with TG2 but acts as a downstream effector in regulating actin cytoskeleton organization through the ROCK pathway. We demonstrate that PKCα is likely to be the important link between syndecan-4 and syndecan-2 signaling and that TG2 is the functional component of the TG-FN heterocomplex in mediating cell adhesion via its direct interaction with heparan sulfate chains."	"https://pubmed.ncbi.nlm.nih.gov/20929862/"	"1"	"M23B-P2-R-000321"
"23B"	"PMCID:PMC3028634; PMID:21149578; PMID:17708745; PMCID:PMC2267358"	"17708745"	"PMC2267358"	"10.1042/bj20070881"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B031_pmc.xml"	"Determination of protein regions responsible for interactions of amelogenin with CD63 and LAMP1"	"YanMing Zou; HongJun Wang; Jason L. Shapiro; Curtis T. Okamoto; Steven J. Brookes; S. Petter Lyngstadaas; Malcolm L. Snead; Michael L. Paine"	"2007"	""	"The enamel matrix protein amelogenin is secreted by ameloblasts into the extracellular space to guide the formation of highly ordered hydroxyapatite mineral crystallites, and, subsequently, is almost completely removed during mineral maturation. Amelogenin interacts with the transmembrane proteins CD63 and LAMP (lysosome-associated membrane protein) 1, which are involved in endocytosis. Exogenously added amelogenin has been observed to move rapidly into CD63/LAMP1-positive vesicles in cultured cells. In the present study, we demonstrate the protein region defined by amino acid residues 103–205 for CD63 interacts not only with amelogenin, but also with other enamel matrix proteins (ameloblastin and enamelin). A detailed characterization of binding regions in amelogenin, CD63 and LAMP1 reveals that the amelogenin region defined by residues PLSPILPELPLEAW is responsible for the interaction with CD63 through residues 165–205, with LAMP1 through residues 226–251, and with the related LAMP2 protein through residues 227–259. We predict that the amelogenin binding region is: (i) hydrophobic; (ii) largely disordered; and (iii) accessible to the external environment. In contrast, the binding region of CD63 is likely to be organized in a ‘7’ shape within the mushroom-like structure of CD63 EC2 (extracellular domain 2). In vivo , the protein interactions between the secreted enamel matrix proteins with the membrane-bound proteins are likely to occur at the specialized secretory surfaces of ameloblast cells called Tomes' processes. Such protein–protein interactions may be required to establish short-term order of the forming matrix and/or to mediate feedback signals to the transcriptional machinery of ameloblasts and/or to remove matrix protein debris during enamel biomineralization."	"https://pubmed.ncbi.nlm.nih.gov/17708745/"	"1"	"M23B-P2-R-000168"
"23B"	"PMCID:PMC3499309; PMID:11053419; PMID:22568954; DOI:10.4161/cam.19620; DOI:10.1074/jbc.M008127200"	"22568954"	""	"10.4161/cam.19620"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B117_PMC3499309_ephrin.html"	"Profiling Eph receptor expression in cells and tissues: A targeted mass spectrometry approach"	"Roberta Noberini; Elena Rubio de la Torre; Elena B Pasquale"	"2012"	"Cell Adhesion & Migration"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC3499309/"	"1"	"M23B-P2-R-000567"
"23B"	"PMCID:PMC7485306; PMID:10828007; PMID:15872091; PMID:29301984; DOI:10.1042/BCJ20170867"	"29301984"	""	"10.1042/bcj20170867"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B113_PMC7485306_CXCL12_integrins.html"	"Stromal cell-derived factor-1 (CXCL12) activates integrins by direct binding to an allosteric ligand-binding site (site 2) of integrins without CXCR4"	"Masaaki Fujita; Parastoo Davari; Yoko K Takada; Yoshikazu Takada"	"2018"	"The Biochemical journal"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC7485306/"	"3"	"M23B-P2-R-000555;M23B-P2-R-000556;M23B-P2-R-000557"
"23B"	"PMCID:PMC7485306; PMID:10828007; PMID:29301984; DOI:10.1042/BCJ20170867"	"29301984"	""	"10.1042/bcj20170867"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B113_PMC7485306_CXCL12_integrins.html"	"Stromal cell-derived factor-1 (CXCL12) activates integrins by direct binding to an allosteric ligand-binding site (site 2) of integrins without CXCR4"	"Masaaki Fujita; Parastoo Davari; Yoko K Takada; Yoshikazu Takada"	"2018"	"The Biochemical journal"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC7485306/"	"1"	"M23B-P2-R-000551"
"23B"	"PMID:10571240; PMID:14578885; PMID:14729980; DOI:10.1128/MCB.24.3.1378-1386.2004; PMCID:PMC321426"	"14729980"	"PMC321426"	"10.1128/mcb.24.3.1378-1386.2004"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B056_pmc321426_reln_full.xml"	"Receptor Clustering Is Involved in Reelin Signaling"	"Vera Strasser; Daniela Fasching; Christoph Hauser; Harald Mayer; Hans H. Bock; Thomas Hiesberger; Joachim Herz; Edwin J. Weeber; J. David Sweatt; Albéna Pramatarova; Brian Howell; Wolfgang J. Schneider; Johannes Nimpf"	"2004"	""	"The Reelin signaling cascade plays a crucial role in the correct positioning of neurons during embryonic brain development. Reelin binding to apolipoprotein E receptor 2 (ApoER2) and very-low-density-lipoprotein receptor (VLDLR) leads to phosphorylation of disabled 1 (Dab1), an adaptor protein which associates with the intracellular domains of both receptors. Coreceptors for Reelin have been postulated to be necessary for Dab1 phosphorylation. We show that bivalent agents specifically binding to ApoER2 or VLDLR are sufficient to mimic the Reelin signal. These agents induce Dab1 phosphorylation, activate members of the Src family of nonreceptor tyrosine kinases, modulate protein kinase B/Akt phosphorylation, and increase long-term potentiation in hippocampal slices. Induced dimerization of Dab1 in HEK293 cells leads to its phosphorylation even in the absence of Reelin receptors. The mechanism for and the sites of these phosphorylations are identical to those effected by Reelin in primary neurons. These results suggest that binding of Reelin, which exists as a homodimer in vivo, to ApoER2 and VLDLR induces clustering of ApoER2 and VLDLR. As a consequence, Dab1 becomes dimerized or oligomerized on the cytosolic side of the plasma membrane, constituting the active substrate for the kinase; this process seems to be sufficient to transmit the signal and does not appear to require any coreceptor."	"https://pubmed.ncbi.nlm.nih.gov/14729980/"	"2"	"M23B-P2-R-000287;M23B-P2-R-000290"
"23B"	"PMID:10781587; PMID:31557129; PMCID:PMC6781990; PMID:32124475; PMCID:PMC7136142"	"31557129"	"PMC6781990"	"10.18632/aging.102239"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B035_pmc_full.xml"	"CCL28 promotes locomotor recovery after spinal cord injury via recruiting regulatory T cells"	"Pengfei Wang; Xiangbei Qi; Guohui Xu; Jianning Liu; Jichao Guo; Xu Li; Xinzhe Ma; Hui Sun"	"2019"	""	"Background: Chemokines play a key role in post-traumatic inflammation and secondary injury after spinal cord injury (SCI). CCL28, the chemokine CC-chemokine ligand 28, is involved in the epithelial and mucosal immunity. However, whether CCL28 participates in the physiopathologic processes after SCI remains unclear. Results: CCL28 is upregulated in the spinal cord after SCI. In addition, neutralizing antibodies against IL-1β or TNF-α, or treatment of ML120B, a selective inhibitor of IKK-β, remarkably decrease CCL28 upregulation, suggesting that CCL28 upregulation relies on NF-κB pathway activated by IL-1β and TNF-α after SCI. Moreover, CD4 + CD25 + FOXP3 + regulatory T (Treg) cells that express CCR10, a receptor of CCL28, are enriched in the spinal cord after SCI. We further demonstrate that the spinal cord recruits Treg cells through CCL28-CCR10 axis, which in turn function to suppress immune response and promote locomotor recovery after SCI. In contrast, neutralizing CCL28 or CCR10 reduces Treg cell recruitment and delays locomotor recovery. Methods: The neutralizing antibodies and recombinant CCL28 were injected intraspinally into the mice prior to SCI, which was established via hemitransection. RT-qPCR analysis was performed to determine transcript level, and Western blot analysis and ELISA assay were used to detect protein expression. Immune cells were analyzed by flow cytometry and visualized by immunofluorescence. The chemotaxis was assessed by in vitro transwell migration assay. The mouse locomotor activity was assessed via the Basso Mouse Scale (BMS) system. Conclusions: These results indicate that NF-κB pathway-regulated CCL28 production plays a protective role after SCI through recruiting CCR10-expressing and immunosuppressive Treg cells, and suggest that interfering CCL28-CCR10 axis might be of potential clinical benefit in improving SCI recovery."	"https://pubmed.ncbi.nlm.nih.gov/31557129/"	"1"	"M23B-P2-R-000187"
"23B"	"PMID:10880054; PMCID:PMC314363; PMID:16857342"	"10880054"	"PMC314363"	"10.1172/jci9516"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B034_v2_pmc.xml"	"Vasopressin-induced von Willebrand factor secretion from endothelial cells involves V2 receptors and cAMP"	"Jocelyne E. Kaufmann; Alexander Oksche; Claes B. Wollheim; Gabriele Günther; Walter Rosenthal; Ulrich M. Vischer"	"2000"	""	"Vasopressin and its analogue 1-deamino-8- D -arginine vasopressin (DDAVP) are known to raise plasma von Willebrand factor (vWF) levels. DDAVP is used as a hemostatic agent for the treatment of von Willebrand’s disease. However, its cellular mechanisms of action have not been elucidated. DDAVP, a specific agonist for the vasopressin V2 receptor (V2R), exerts its antidiuretic effect via a rise in cAMP in kidney collecting ducts. We tested the hypothesis that DDAVP induces vWF secretion by binding to V2R and activating cAMP-mediated signaling in endothelial cells. vWF secretion from human umbilical vein endothelial cells (HUVECs) can be mediated by cAMP, but DDAVP is ineffective, presumably due to the absence of V2R. We report that DDAVP stimulates vWF secretion in a cAMP-dependent manner in HUVECs after transfection of the V2R. In addition, vasopressin and DDAVP induce vWF secretion in human lung microvascular endothelial cells (HMVEC-L). These cells (but not HUVECs) express endogenous V2R, as shown by RT-PCR. Vasopressin-induced vWF secretion is mimicked by DDAVP and inhibited by the selective V2R antagonist SR121463B. It is mediated by cAMP, since it is inhibited by the protein kinase A inhibitor Rp-8CPT-cAMPS. These results indicate that vasopressin induces cAMP-mediated vWF secretion by a direct effect on endothelial cells. They also demonstrate functional expression of V2R in endothelial cells, and provide a cellular mechanism for the hemostatic effects of DDAVP."	"https://pubmed.ncbi.nlm.nih.gov/10880054/"	"1"	"M23B-P2-R-000186"
"23B"	"PMID:11017100; PMID:17363916; PMID:20181724; PMCID:PMC3210559; DOI:10.1038/79738; DOI:10.1189/jlb.0709482"	"20181724"	""	"10.1189/jlb.0709482"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B116_PMC3210559_CXCL16.html"	"An alternatively spliced CXCL16 isoform expressed by dendritic cells is a secreted chemoattractant for CXCR6+ cells"	"Robbert van der Voort; Viviènne Verweij; Theo M de Witte; Edwin Lasonder; Gosse J Adema; Harry Dolstra"	"2010"	"Journal of Leukocyte Biology"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC3210559/"	"3"	"M23B-P2-R-000561;M23B-P2-R-000562;M23B-P2-R-000563"
"23B"	"PMID:11346644; PMID:16157706; PMCID:PMC2171441"	"16157706"	"PMC2171441"	"10.1083/jcb.200507082"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B031_pmc2171441.xml"	"Stable interaction between α5β1 integrin and Tie2 tyrosine kinase receptor regulates endothelial cell response to Ang-1"	"Ilaria Cascone; Lucia Napione; Fabrizio Maniero; Guido Serini; Federico Bussolino"	"2005"	""	"During angiogenic remodeling, Ang-1, the ligand of Tie2 tyrosine kinase, is involved in vessel sprouting and stabilization through unclear effects on nascent capillaries and mural cells. In our study, we hypothesized that the Ang-1/Tie2 system could cross-talk with integrins, and be influenced by the dynamic interactions between extracellular matrix and endothelial cells (ECs). Here, we show that α5β1 specifically sensitizes and modulates Tie2 receptor activation and signaling, allowing EC survival at low concentrations of Ang-1 and inducing persistent EC motility. Tie2 and α5β1 interact constitutively; α5β1 binding to fibronectin increases this association, whereas Ang-1 stimulation recruits p85 and FAK to this complex. Furthermore, we demonstrate that Ang-1 is able to mediate selectively α5β1 outside-in FAK phosphorylation. Thus, Ang-1 triggers signaling pathways through Tie2 and α5β1 receptors that could cross-talk when Tie2/α5β1 interaction occurs in ECs plated on fibronectin. By using blocking antibodies, we consistently found that α5β1, but not αvβ3 activation, is essential to Ang-1–dependent angiogenesis in vivo."	"https://pubmed.ncbi.nlm.nih.gov/16157706/"	"1"	"M23B-P2-R-000169"
"23B"	"PMID:15935995; PMID:24039785; PMCID:PMC3767812"	"24039785"	"PMC3767812"	"10.1371/journal.pone.0072607"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B030_pmc3767812.xml"	"Pituitary Adenylate Cyclase Activating Peptide (PACAP) Participates in Adipogenesis by Activating ERK Signaling Pathway"	"Tatjana Arsenijevic; Françoise Gregoire; Jeanne Chiadak; Elodie Courtequisse; Nargis Bolaky; Jason Perret; Christine Delporte"	"2013"	""	"Pituitary adenylate cyclase activating peptide (PACAP) belongs to the secretin/glucagon/vasoactive intestinal peptide (VIP) family. Its action can be mediated by three different receptor subtypes: PAC1, which has exclusive affinity for PACAP, and VPAC1 and VPAC2 which have equal affinity for PACAP and VIP. We showed that all three receptors are expressed in 3T3-L1 cells throughout their differentiation into adipocytes. We established the activity of these receptors by cAMP accumulation upon induction by PACAP. Together with insulin and dexamethasone, PACAP induced adipogenesis in 3T3-L1 cell line. PACAP increased cAMP production within 15 min upon stimulation and targeted the expression and phosphorylation of MAPK (ERK1/2), strengthened by the ERK1/2 phosphorylation being partially or completely abolished by different combinations of PACAP receptors antagonists. We therefore speculate that ERK1/2 activation is crucial for the activation of CCAAT/enhancer- binding protein β (C/EBPβ)."	"https://pubmed.ncbi.nlm.nih.gov/24039785/"	"1"	"M23B-P2-R-000164"
"23B"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:9151677"	"16413178"	""	"10.1016/j.matbio.2005.12.001"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMID16413178.xml"	"Ligand-binding specificities of laminin-binding integrins: a comprehensive survey of laminin-integrin interactions using recombinant alpha3beta1, alpha6beta1, alpha7beta1 and alpha6beta4 integrins."	"Ryoko Nishiuchi; Junichi Takagi; Maria Hayashi; Hiroyuki Ido; Yoshiko Yagi; Noriko Sanzen; Tsutomu Tsuji; Masashi Yamada; Kiyotoshi Sekiguchi"	"2006"	"Matrix biology : journal of the International Society for Matrix Biology"	"The interactions of cells with basement membranes are primarily mediated via the engagement of laminins by a group of integrin family proteins, including integrins alpha3beta1, alpha6beta1, alpha7beta1 and alpha6beta4. To explore the ligand-binding specificities of these laminin-binding integrins, we produced these integrins, including two alpha7beta1 splice variants (alpha7X1beta1 and alpha7X2beta1), as soluble recombinant proteins and determined their binding specificities and affinities toward a panel of purified laminin isoforms containing distinct alpha chains. Among the five laminin-binding integrins investigated, alpha3beta1 and alpha6beta4 exhibited a clear specificity for laminin-332 (alpha3beta3gamma2) and laminin-511 (alpha5beta1gamma1)/521 (alpha5beta2gamma1), while integrin alpha6beta1 showed a broad specificity, binding to all laminin isoforms with a preference for laminin-111 (alpha1beta1gamma1), laminin-332 and laminin-511/521. The two alpha7beta1 variants were distinct from alpha3beta1, alpha6beta1 and alpha6beta4 in that they did not bind to laminin-332. alpha7X1beta1 bound to all laminins, except laminin-332, with a preference for laminin-211 (alpha2beta1gamma1)/221 (alpha2beta2gamma1) and laminin-511/521, while alpha7X2beta1 bound preferentially to laminin-111 and laminin-211/221. Laminin-511/521 was the most preferred ligand for all the laminin-binding integrins, except for alpha7X2beta1, whereas laminin-411 was the poorest ligand, capable of binding to alpha6beta1 and alpha7X1beta1 with only modest binding affinities. These comprehensive analyses of the interactions between laminin-binding integrins and a panel of laminins clearly demonstrate that the isoforms of both integrins and laminins differ in their binding specificities and affinities, and provide a molecular basis for better understanding of the adhesive interactions of cells with basement membranes of defined laminin compositions."	"https://pubmed.ncbi.nlm.nih.gov/16413178/"	"2"	"M23B-P2-R-000100;M23B-P2-R-000108"
"23B"	"PMID:16622416; PMID:17287464; PMID:18842004; PMCID:PMC2665882"	"18842004"	"PMC2665882"	"10.1021/bi801451f"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B030_pmc2665882.xml"	"The adiponectin receptors AdipoR1 and AdipoR2 activate ERK1/2 through a Src/Ras-dependent pathway and stimulate cell growth †"	"Mi-Hye Lee; Richard L. Klein; Hesham M. El-Shewy; Deirdre K. Luttrell; Louis M. Luttrell"	"2008"	""	"Adiponectin is an adipocyte-derived cytokine that has attracted much attention because of its insulin-sensitizing effects in liver and skeletal muscle. Two adiponectin receptors, AdipoR1 and AdipoR2, have been cloned, but relatively little is known about their intracellular signaling mechanisms. We found that full-length adiponectin rapidly and robustly activates the ERK1/2 mitogen-activated protein kinase pathway in primary vascular smooth muscle, vascular endothelial cells, and hepatocytes. In a HEK293 cell model, we found that downregulating AdipoR1 and AdipoR2 simultaneously, but not individually, by RNA interference attenuated adiponectin-induced ERK1/2 activation, suggesting that either receptor was sufficient to mediate the response. Downregulation of T-cadherin, another adiponectin binding protein, enhanced the response. Downregulation of APPL1, an adapter protein and putative mediator of AdipoR1/R2 signaling, impaired adiponectin-stimulated ERK1/2 activation. Inhibiting PKA modestly attenutated ERK1/2 activation, while inhibition of Src family tyrosine kinases with PP2 abolished the response. The small GTPase inhibitor Clostridium difficile toxin B also produced complete inhibition. Adiponectin caused rapid, PP2-sensitive activation of Ras, but not the cAMP-regulated small GTPase, Rap1, suggesting that Src-dependent Ras activation is the dominant mechanism of adiponectin-stimulated ERK1/2 activation. To test whether Ras-ERK1/2 signaling by adiponectin was physiologically-relevant, we determined the effects of overexpressing AdipoR1, adiponectin, or both, on the rate of HEK293 cell growth. Overexpression of adiponectin alone, but not AdipoR1 alone, supported growth under serum-free conditions, while simultaneous expression of both led to further enhancement. Additional results suggest that adiponectin can exert proliferative effects by activating Ras signaling pathways."	"https://pubmed.ncbi.nlm.nih.gov/18842004/"	"1"	"M23B-P2-R-000165"
