"identifier_type"	"identifier_value"	"canonical_identifier"	"resolved_pmid"	"resolved_pmcid"	"resolved_doi"	"resolution_status"	"resolution_basis"	"authoritative_source"	"source_metadata_title"	"source_metadata_authors"	"source_metadata_year"	"source_metadata_journal"	"source_metadata_url"	"resolution_reason"
"DOI"	"10.1038/srep29666"	"DOI:10.1038/srep29666"	"27430624"	"PMC4949421"	"10.1038/srep29666"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The Dentin Sialoprotein (DSP) Domain Regulates Dental Mesenchymal Cell Differentiation through a Novel Surface Receptor."	"Wan C; Yuan G; Luo D; Zhang L; Lin H; Liu H; Chen L; Yang G; Chen S; Chen Z"	"2016"	"Scientific reports"	"https://pubmed.ncbi.nlm.nih.gov/27430624/"	""
"DOI"	"10.1042/bcj20170867"	"DOI:10.1042/bcj20170867"	"29301984"	"PMC7485306"	"10.1042/BCJ20170867"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Stromal cell-derived factor-1 (CXCL12) activates integrins by direct binding to an allosteric ligand-binding site (site 2) of integrins without CXCR4."	"Fujita M; Davari P; Takada YK; Takada Y"	"2018"	"The Biochemical journal"	"https://pubmed.ncbi.nlm.nih.gov/29301984/"	""
"DOI"	"10.1042/bj20061406"	"DOI:10.1042/bj20061406"	"17034364"	"PMC1783981"	"10.1042/BJ20061406"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The lipidation status of acute-phase protein serum amyloid A determines cholesterol mobilization via scavenger receptor class B, type I."	"Marsche G; Frank S; Raynes JG; Kozarsky KF; Sattler W; Malle E"	"2007"	"The Biochemical journal"	"https://pubmed.ncbi.nlm.nih.gov/17034364/"	""
"DOI"	"10.1046/j.1432-1327.1999.00563.x"	"DOI:10.1046/j.1432-1327.1999.00563.x"	"10469149"	""	"10.1046/j.1432-1327.1999.00563.x"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Cell adhesion to tenascin-X mapping of cell adhesion sites and identification of integrin receptors."	"Elefteriou F; Exposito JY; Garrone R; Lethias C"	"1999"	"European journal of biochemistry"	"https://pubmed.ncbi.nlm.nih.gov/10469149/"	""
"DOI"	"10.1073/pnas.1104821108"	"DOI:10.1073/pnas.1104821108"	"21768377"	"PMC3150909"	"10.1073/pnas.1104821108"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"G protein-coupled receptor 56 and collagen III, a receptor-ligand pair, regulates cortical development and lamination."	"Luo R; Jeong SJ; Jin Z; Strokes N; Li S; Piao X"	"2011"	"Proceedings of the National Academy of Sciences of the United States of America"	"https://pubmed.ncbi.nlm.nih.gov/21768377/"	""
"DOI"	"10.1073/pnas.2032886100"	"DOI:10.1073/pnas.2032886100"	"14519852"	"PMC218764"	"10.1073/pnas.2032886100"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Soluble CD40 ligand induces beta3 integrin tyrosine phosphorylation and triggers platelet activation by outside-in signaling."	"Prasad KS; Andre P; He M; Bao M; Manganello J; Phillips DR"	"2003"	"Proceedings of the National Academy of Sciences of the United States of America"	"https://pubmed.ncbi.nlm.nih.gov/14519852/"	""
"DOI"	"10.1074/jbc.272.46.29330"	"DOI:10.1074/jbc.272.46.29330"	"9361014"	""	"10.1074/jbc.272.46.29330"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The laminin alpha2-chain short arm mediates cell adhesion through both the alpha1beta1 and alpha2beta1 integrins."	"Colognato H; MacCarrick M; O'Rear JJ; Yurchenco PD"	"1997"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/9361014/"	""
"DOI"	"10.1074/jbc.273.35.22272"	"DOI:10.1074/jbc.273.35.22272"	"9712843"	""	"10.1074/jbc.273.35.22272"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Neuropilin-1 is a placenta growth factor-2 receptor."	"Migdal M; Huppertz B; Tessler S; Comforti A; Shibuya M; Reich R; Baumann H; Neufeld G"	"1998"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/9712843/"	""
"DOI"	"10.1074/jbc.274.16.11417"	"DOI:10.1074/jbc.274.16.11417"	"10196235"	""	"10.1074/jbc.274.16.11417"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Enhancement of cell adhesion and spreading by a cartilage-specific noncollagenous protein, cartilage matrix protein (CMP/Matrilin-1), via integrin alpha1beta1."	"Makihira S; Yan W; Ohno S; Kawamoto T; Fujimoto K; Okimura A; Yoshida E; Noshiro M; Hamada T; Kato Y"	"1999"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/10196235/"	""
"DOI"	"10.1074/jbc.c300430200"	"DOI:10.1074/jbc.c300430200"	"14976204"	""	"10.1074/jbc.C300430200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Syndecan-2 regulates transforming growth factor-beta signaling."	"Chen L; Klass C; Woods A"	"2004"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/14976204/"	""
"DOI"	"10.1074/jbc.m005235200"	"DOI:10.1074/jbc.m005235200"	"10934203"	""	"10.1074/jbc.M005235200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The alpha 3(IV)185-206 peptide from noncollagenous domain 1 of type IV collagen interacts with a novel binding site on the beta 3 subunit of integrin alpha Vbeta 3 and stimulates focal adhesion kinase and phosphatidylinositol 3-kinase phosphorylation."	"Pasco S; Monboisse JC; Kieffer N"	"2000"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/10934203/"	""
"DOI"	"10.1074/jbc.m010155200"	"DOI:10.1074/jbc.m010155200"	"11278628"	""	"10.1074/jbc.M010155200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Purification and characterization of human laminin-8. Laminin-8 stimulates cell adhesion and migration through alpha3beta1 and alpha6beta1 integrins."	"Fujiwara H; Kikkawa Y; Sanzen N; Sekiguchi K"	"2001"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/11278628/"	""
"DOI"	"10.1074/jbc.m100798200"	"DOI:10.1074/jbc.m100798200"	"11395486"	""	"10.1074/jbc.M100798200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The LG3 module of laminin-5 harbors a binding site for integrin alpha3beta1 that promotes cell adhesion, spreading, and migration."	"Shang M; Koshikawa N; Schenk S; Quaranta V"	"2001"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/11395486/"	""
"DOI"	"10.1074/jbc.m109.013201"	"DOI:10.1074/jbc.m109.013201"	"19578119"	"PMC2782004"	"10.1074/jbc.M109.013201"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The direct binding of insulin-like growth factor-1 (IGF-1) to integrin alphavbeta3 is involved in IGF-1 signaling."	"Saegusa J; Yamaji S; Ieguchi K; Wu CY; Lam KS; Liu FT; Takada YK; Takada Y"	"2009"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/19578119/"	""
"DOI"	"10.1074/jbc.m110.143693"	"DOI:10.1074/jbc.m110.143693"	"21335558"	"PMC3075638"	"10.1074/jbc.M110.143693"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Collagen I induces discoidin domain receptor (DDR) 1 expression through DDR2 and a JAK2-ERK1/2-mediated mechanism in primary human lung fibroblasts."	"Ruiz PA; Jarai G"	"2011"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/21335558/"	""
"DOI"	"10.1074/jbc.m110.144634"	"DOI:10.1074/jbc.m110.144634"	"20472562"	"PMC2906298"	"10.1074/jbc.M110.144634"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Low density lipoprotein receptor-related protein-1 (LRP1) regulates thrombospondin-2 (TSP2) enhancement of Notch3 signaling."	"Meng H; Zhang X; Lee SJ; Strickland DK; Lawrence DA; Wang MM"	"2010"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/20472562/"	""
"DOI"	"10.1074/jbc.m110748200"	"DOI:10.1074/jbc.m110748200"	"11805102"	""	"10.1074/jbc.M110748200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"beta 1-Integrin-mediated glioma cell adhesion and free radical-induced apoptosis are regulated by binding to a C-terminal domain of PG-M/versican."	"Wu Y; Chen L; Zheng PS; Yang BB"	"2002"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/11805102/"	""
"DOI"	"10.1074/jbc.m111.304170"	"DOI:10.1074/jbc.m111.304170"	"22351760"	"PMC3320998"	"10.1074/jbc.M111.304170"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Cross-talk between integrin α6β4 and insulin-like growth factor-1 receptor (IGF1R) through direct α6β4 binding to IGF1 and subsequent α6β4-IGF1-IGF1R ternary complex formation in anchorage-independent conditions."	"Fujita M; Ieguchi K; Davari P; Yamaji S; Taniguchi Y; Sekiguchi K; Takada YK; Takada Y"	"2012"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/22351760/"	""
"DOI"	"10.1074/jbc.m111.318659"	"DOI:10.1074/jbc.m111.318659"	"22262843"	"PMC3308797"	"10.1074/jbc.M111.318659"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"High affinity neurexin binding to cell adhesion G-protein-coupled receptor CIRL1/latrophilin-1 produces an intercellular adhesion complex."	"Boucard AA; Ko J; Südhof TC"	"2012"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/22262843/"	""
"DOI"	"10.1074/jbc.m111311200"	"DOI:10.1074/jbc.m111311200"	"11751872"	""	"10.1074/jbc.M111311200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Schwann cell adhesion to a novel heparan sulfate binding site in the N-terminal domain of alpha 4 type V collagen is mediated by syndecan-3."	"Erdman R; Stahl RC; Rothblum K; Chernousov MA; Carey DJ"	"2002"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/11751872/"	""
"DOI"	"10.1074/jbc.m112.442731"	"DOI:10.1074/jbc.m112.442731"	"23744080"	"PMC3724651"	"10.1074/jbc.M112.442731"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Receptor-type protein-tyrosine phosphatase ζ is a functional receptor for interleukin-34."	"Nandi S; Cioce M; Yeung YG; Nieves E; Tesfa L; Lin H; Hsu AW; Halenbeck R; Cheng HY; Gokhan S; Mehler MF; Stanley ER"	"2013"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/23744080/"	""
"DOI"	"10.1074/jbc.m113.462630"	"DOI:10.1074/jbc.m113.462630"	"23553626"	"PMC3656279"	"10.1074/jbc.M113.462630"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The unique disulfide bond-stabilized W1 β4-β1 loop in the α4 β-propeller domain regulates integrin α4β7 affinity and signaling."	"Yue J; Pan Y; Sun L; Zhang K; Liu J; Lu L; Chen J"	"2013"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/23553626/"	""
"DOI"	"10.1074/jbc.m205749200"	"DOI:10.1074/jbc.m205749200"	"12122009"	""	"10.1074/jbc.M205749200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Midkine binds to anaplastic lymphoma kinase (ALK) and acts as a growth factor for different cell types."	"Stoica GE; Kuo A; Powers C; Bowden ET; Sale EB; Riegel AT; Wellstein A"	"2002"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/12122009/"	""
"DOI"	"10.1074/jbc.m211282200"	"DOI:10.1074/jbc.m211282200"	"12477717"	""	"10.1074/jbc.M211282200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Red cell ICAM-4 is a novel ligand for platelet-activated alpha IIbbeta 3 integrin."	"Hermand P; Gane P; Huet M; Jallu V; Kaplan C; Sonneborn HH; Cartron JP; Bailly P"	"2003"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/12477717/"	""
"DOI"	"10.1074/jbc.m412816200"	"DOI:10.1074/jbc.m412816200"	"15590642"	"PMC1368959"	"10.1074/jbc.M412816200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The lymphangiogenic vascular endothelial growth factors VEGF-C and -D are ligands for the integrin alpha9beta1."	"Vlahakis NE; Young BA; Atakilit A; Sheppard D"	"2005"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/15590642/"	""
"DOI"	"10.1074/jbc.m511367200"	"DOI:10.1074/jbc.m511367200"	"16517605"	""	"10.1074/jbc.M511367200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Regulation of integrin activity by MIA."	"Bauer R; Humphries M; Fässler R; Winklmeier A; Craig SE; Bosserhoff AK"	"2006"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/16517605/"	""
"DOI"	"10.1074/jbc.m605766200"	"DOI:10.1074/jbc.m605766200"	"16867992"	""	"10.1074/jbc.M605766200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Structural and biophysical characterization of the EphB4*ephrinB2 protein-protein interaction and receptor specificity."	"Chrencik JE; Brooun A; Kraus ML; Recht MI; Kolatkar AR; Han GW; Seifert JM; Widmer H; Auer M; Kuhn P"	"2006"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/16867992/"	""
"DOI"	"10.1074/jbc.m608342200"	"DOI:10.1074/jbc.m608342200"	"17182621"	""	"10.1074/jbc.M608342200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"CD40 ligand binds to alpha5beta1 integrin and triggers cell signaling."	"Léveillé C; Bouillon M; Guo W; Bolduc J; Sharif-Askari E; El-Fakhry Y; Reyes-Moreno C; Lapointe R; Merhi Y; Wilkins JA; Mourad W"	"2007"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/17182621/"	""
"DOI"	"10.1074/jbc.m609323200"	"DOI:10.1074/jbc.m609323200"	"17363377"	""	"10.1074/jbc.M609323200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Integrin alpha9beta1 directly binds to vascular endothelial growth factor (VEGF)-A and contributes to VEGF-A-induced angiogenesis."	"Vlahakis NE; Young BA; Atakilit A; Hawkridge AE; Issaka RB; Boudreau N; Sheppard D"	"2007"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/17363377/"	""
"DOI"	"10.1074/jbc.m800184200"	"DOI:10.1074/jbc.m800184200"	"18334485"	"PMC2442325"	"10.1074/jbc.M800184200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Culturing of human mesenchymal stem cells as three-dimensional aggregates induces functional expression of CXCR4 that regulates adhesion to endothelial cells."	"Potapova IA; Brink PR; Cohen IS; Doronin SV"	"2008"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/18334485/"	""
"DOI"	"10.1074/jbc.m809332200"	"DOI:10.1074/jbc.m809332200"	"19147489"	"PMC2658076"	"10.1074/jbc.M809332200"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The C-terminal region of laminin beta chains modulates the integrin binding affinities of laminins."	"Taniguchi Y; Ido H; Sanzen N; Hayashi M; Sato-Nishiuchi R; Futaki S; Sekiguchi K"	"2009"	"The Journal of biological chemistry"	"https://pubmed.ncbi.nlm.nih.gov/19147489/"	""
"DOI"	"10.1083/jcb.122.4.809"	"DOI:10.1083/jcb.122.4.809"	"8349731"	"PMC2119587"	"10.1083/jcb.122.4.809"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"A role for the dystrophin-glycoprotein complex as a transmembrane linker between laminin and actin."	"Ervasti JM; Campbell KP"	"1993"	"The Journal of cell biology"	"https://pubmed.ncbi.nlm.nih.gov/8349731/"	""
"DOI"	"10.1083/jcb.141.1.287"	"DOI:10.1083/jcb.141.1.287"	"9531566"	"PMC2132733"	"10.1083/jcb.141.1.287"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Dynamic interaction of PTPmu with multiple cadherins in vivo."	"Brady-Kalnay SM; Mourton T; Nixon JP; Pietz GE; Kinch M; Chen H; Brackenbury R; Rimm DL; Del Vecchio RL; Tonks NK"	"1998"	"The Journal of cell biology"	"https://pubmed.ncbi.nlm.nih.gov/9531566/"	""
"DOI"	"10.1083/jcb.200208081"	"DOI:10.1083/jcb.200208081"	""	""	""	"unresolved_ncbi_nonunique_doi_match"	""	""	""	""	""	""	""	"exact PubMed DOI-field search returned 0 PMIDs"
"DOI"	"10.1083/jcb.200302069"	"DOI:10.1083/jcb.200302069"	"12821648"	"PMC2172996"	"10.1083/jcb.200302069"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Low density lipoprotein receptor-related protein is a calreticulin coreceptor that signals focal adhesion disassembly."	"Orr AW; Pedraza CE; Pallero MA; Elzie CA; Goicoechea S; Strickland DK; Murphy-Ullrich JE"	"2003"	"The Journal of cell biology"	"https://pubmed.ncbi.nlm.nih.gov/12821648/"	""
"DOI"	"10.1083/jcb.200404112"	"DOI:10.1083/jcb.200404112"	"15684035"	"PMC2171741"	"10.1083/jcb.200404112"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Regulation of alpha5beta1 integrin conformation and function by urokinase receptor binding."	"Wei Y; Czekay RP; Robillard L; Kugler MC; Zhang F; Kim KK; Xiong JP; Humphries MJ; Chapman HA"	"2005"	"The Journal of cell biology"	"https://pubmed.ncbi.nlm.nih.gov/15684035/"	""
"DOI"	"10.1083/jcb.200508010"	"DOI:10.1083/jcb.200508010"	"16286510"	"PMC2171561"	"10.1083/jcb.200508010"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Growth factor-induced shedding of syndecan-1 confers glypican-1 dependence on mitogenic responses of cancer cells."	"Ding K; Lopez-Burks M; Sánchez-Duran JA; Korc M; Lander AD"	"2005"	"The Journal of cell biology"	"https://pubmed.ncbi.nlm.nih.gov/16286510/"	""
"DOI"	"10.1083/jcb.200801146"	"DOI:10.1083/jcb.200801146"	"18710925"	"PMC2518716"	"10.1083/jcb.200801146"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Structural basis for distinctive recognition of fibrinogen gammaC peptide by the platelet integrin alphaIIbbeta3."	"Springer TA; Zhu J; Xiao T"	"2008"	"The Journal of cell biology"	"https://pubmed.ncbi.nlm.nih.gov/18710925/"	""
"DOI"	"10.1083/jcb.201807178"	"DOI:10.1083/jcb.201807178"	"31541017"	"PMC6781430"	"10.1083/jcb.201807178"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Perlecan regulates pericyte dynamics in the maintenance and repair of the blood-brain barrier."	"Nakamura K; Ikeuchi T; Nara K; Rhodes CS; Zhang P; Chiba Y; Kazuno S; Miura Y; Ago T; Arikawa-Hirasawa E; Mukouyama YS; Yamada Y"	"2019"	"The Journal of cell biology"	"https://pubmed.ncbi.nlm.nih.gov/31541017/"	""
"DOI"	"10.1084/jem.173.6.1493"	"DOI:10.1084/jem.173.6.1493"	"1709677"	"PMC2190843"	"10.1084/jem.173.6.1493"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Endothelial-leukocyte adhesion molecule 1 stimulates the adhesive activity of leukocyte integrin CR3 (CD11b/CD18, Mac-1, alpha m beta 2) on human neutrophils."	"Lo SK; Lee S; Ramos RA; Lobb R; Rosa M; Chi-Rosso G; Wright SD"	"1991"	"The Journal of experimental medicine"	"https://pubmed.ncbi.nlm.nih.gov/1709677/"	""
"DOI"	"10.1084/jem.20020267"	"DOI:10.1084/jem.20020267"	"12208882"	"PMC2194005"	"10.1084/jem.20020267"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The junctional adhesion molecule 3 (JAM-3) on human platelets is a counterreceptor for the leukocyte integrin Mac-1."	"Santoso S; Sachs UJ; Kroll H; Linder M; Ruf A; Preissner KT; Chavakis T"	"2002"	"The Journal of experimental medicine"	"https://pubmed.ncbi.nlm.nih.gov/12208882/"	""
"DOI"	"10.1091/mbc.e04-03-0236"	"DOI:10.1091/mbc.e04-03-0236"	"15181153"	"PMC491820"	"10.1091/mbc.e04-03-0236"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"NG2 proteoglycan promotes endothelial cell motility and angiogenesis via engagement of galectin-3 and alpha3beta1 integrin."	"Fukushi J; Makagiansar IT; Stallcup WB"	"2004"	"Molecular biology of the cell"	"https://pubmed.ncbi.nlm.nih.gov/15181153/"	""
"DOI"	"10.1091/mbc.e11-02-0099"	"DOI:10.1091/mbc.e11-02-0099"	"21813734"	"PMC3183016"	"10.1091/mbc.E11-02-0099"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Syndecan-2 is a novel ligand for the protein tyrosine phosphatase receptor CD148."	"Whiteford JR; Xian X; Chaussade C; Vanhaesebroeck B; Nourshargh S; Couchman JR"	"2011"	"Molecular biology of the cell"	"https://pubmed.ncbi.nlm.nih.gov/21813734/"	""
"DOI"	"10.1093/jb/mvg185"	"DOI:10.1093/jb/mvg185"	"14607975"	""	"10.1093/jb/mvg185"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Characterization of the ligand-binding specificities of integrin alpha3beta1 and alpha6beta1 using a panel of purified laminin isoforms containing distinct alpha chains."	"Nishiuchi R; Murayama O; Fujiwara H; Gu J; Kawakami T; Aimoto S; Wada Y; Sekiguchi K"	"2003"	"Journal of biochemistry"	"https://pubmed.ncbi.nlm.nih.gov/14607975/"	""
"DOI"	"10.1093/oxfordjournals.jbchem.a003142"	"DOI:10.1093/oxfordjournals.jbchem.a003142"	"11927001"	""	"10.1093/oxfordjournals.jbchem.a003142"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Endostatin inhibits adhesion of endothelial cells to collagen I via alpha(2)beta(1) integrin, a possible cause of prevention of chondrosarcoma growth."	"Furumatsu T; Yamaguchi N; Nishida K; Kawai A; Kunisada T; Namba M; Inoue H; Ninomiya Y"	"2002"	"Journal of biochemistry"	"https://pubmed.ncbi.nlm.nih.gov/11927001/"	""
"DOI"	"10.1096/fj.08-117564"	"DOI:10.1096/fj.08-117564"	"19141530"	""	"10.1096/fj.08-117564"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Integrin alpha(v)beta(3) is a pleiotrophin receptor required for pleiotrophin-induced endothelial cell migration through receptor protein tyrosine phosphatase beta/zeta."	"Mikelis C; Sfaelou E; Koutsioumpa M; Kieffer N; Papadimitriou E"	"2009"	"FASEB journal : official publication of the Federation of American Societies for Experimental Biology"	"https://pubmed.ncbi.nlm.nih.gov/19141530/"	""
