outcome_id	queue_key	regulator_symbol	target_symbol	species_scope	search_query	source_citations	evidence_type	outcome_summary	disposition	search_status
search_outcome_096	carm1|adora1|human	CARM1	ADORA1	human	"CARM1 ADORA1 direct target human"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC11443453/	modifier_chromatin_coactivator_profile_only	The TFLink interaction export contains CARM1-ADORA1, but primary CARM1 ChIP-seq and perturbation studies support chromatin coactivator/methyltransferase functions at other loci and do not establish an exact ADORA1 edge.	route_chromatin_modifier_profile_to_22B_without_canonical_promotion	completed
search_outcome_097	carm1|carm1|human	CARM1	CARM1	human	"CARM1 self target direct regulation human"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC11443453/	modifier_chromatin_coactivator_profile_only	The TFLink interaction export contains the CARM1-CARM1 pair, but the retrieved CARM1 literature concerns methyltransferase/coactivator activity at other loci and does not establish autoregulation of CARM1.	route_chromatin_modifier_profile_to_22B_without_canonical_promotion	completed
search_outcome_098	carm1|col13a1|mouse	CARM1	Col13a1	mouse	"CARM1 Col13a1 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC11443453/	species_mismatch_profile_near_match	The TFLink interaction export contains the mouse CARM1-Col13a1 pair, but the retrieved primary CARM1 evidence is human-focused and reports other chromatin targets; no mouse Col13a1 edge was established.	retain_profile_species_limited_without_promotion	completed
search_outcome_099	carm1|col16a1|mouse	CARM1	Col16a1	mouse	"CARM1 Col16a1 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC11443453/	species_mismatch_profile_near_match	The TFLink interaction export contains the mouse CARM1-Col16a1 pair, but the retrieved primary CARM1 evidence is human-focused and reports other chromatin targets; no mouse Col16a1 edge was established.	retain_profile_species_limited_without_promotion	completed
search_outcome_100	carm1|cyp19a1|mouse	CARM1	Cyp19a1	mouse	"CARM1 Cyp19a1 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC11443453/	species_mismatch_profile_near_match	The TFLink interaction export contains the mouse CARM1-Cyp19a1 pair, but the retrieved primary CARM1 evidence is human-focused and reports other chromatin targets; no mouse Cyp19a1 edge was established.	retain_profile_species_limited_without_promotion	completed
search_outcome_101	carm1|reln|mouse	CARM1	Reln	mouse	"CARM1 Reln direct target mouse"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC11443453/	species_mismatch_profile_near_match	The TFLink interaction export contains the mouse CARM1-Reln pair, but the retrieved primary CARM1 evidence is human-focused and reports other chromatin targets; no mouse Reln edge was established.	retain_profile_species_limited_without_promotion	completed
search_outcome_102	chaf1a/caf-1|acox2|human	CHAF1A/CAF-1	ACOX2	human	"CHAF1A CAF-1 ACOX2 direct target human"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC4866648/;https://www.nature.com/articles/s41467-022-29730-6	noncanonical_chromatin_assembly_profile_only	The TFLink interaction export contains CHAF1A-ACOX2, but primary CAF-1 studies support histone deposition, chromatin accessibility, and lineage-fidelity effects rather than an exact ACOX2 locus call or direction.	route_chromatin_assembly_profile_to_22B_without_canonical_promotion	completed
search_outcome_103	chaf1a/caf-1|adgrl1|human	CHAF1A/CAF-1	ADGRL1	human	"CHAF1A CAF-1 ADGRL1 direct target human"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC4866648/;https://www.nature.com/articles/s41467-022-29730-6	noncanonical_chromatin_assembly_profile_only	The TFLink interaction export contains CHAF1A-ADGRL1, but primary CAF-1 studies support histone deposition, chromatin accessibility, and lineage-fidelity effects rather than an exact ADGRL1 locus call or direction.	route_chromatin_assembly_profile_to_22B_without_canonical_promotion	completed
search_outcome_104	chaf1a/caf-1|igf1r|human	CHAF1A/CAF-1	IGF1R	human	"CHAF1A CAF-1 IGF1R direct target human"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC4866648/;https://www.nature.com/articles/s41467-022-29730-6	noncanonical_chromatin_assembly_profile_only	The TFLink interaction export contains CHAF1A-IGF1R, but primary CAF-1 studies support histone deposition, chromatin accessibility, and lineage-fidelity effects rather than an exact IGF1R locus call or direction.	route_chromatin_assembly_profile_to_22B_without_canonical_promotion	completed
search_outcome_105	chaf1a/caf-1|insr|human	CHAF1A/CAF-1	INSR	human	"CHAF1A CAF-1 INSR direct target human"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC4866648/;https://www.nature.com/articles/s41467-022-29730-6	noncanonical_chromatin_assembly_profile_only	The TFLink interaction export contains CHAF1A-INSR, but primary CAF-1 studies support histone deposition, chromatin accessibility, and lineage-fidelity effects rather than an exact INSR locus call or direction.	route_chromatin_assembly_profile_to_22B_without_canonical_promotion	completed
search_outcome_106	cul4a|ackr1|human	CUL4A	ACKR1	human	"CUL4A ACKR1 direct target human"	https://tflink.net/download/#interaction-gmt;https://www.ncbi.nlm.nih.gov/gene/8451	modifier_E3_ligase_profile_only	The TFLink interaction export contains CUL4A-ACKR1, but CUL4A is an E3 ubiquitin-ligase scaffold and the retrieved authoritative record does not establish an exact ACKR1 transcriptional or ubiquitination edge.	retain_E3_ligase_profile_without_promotion	completed
search_outcome_107	cul4a|ackr2|human	CUL4A	ACKR2	human	"CUL4A ACKR2 direct target human"	https://tflink.net/download/#interaction-gmt;https://www.ncbi.nlm.nih.gov/gene/8451	modifier_E3_ligase_profile_only	The TFLink interaction export contains CUL4A-ACKR2, but CUL4A is an E3 ubiquitin-ligase scaffold and the retrieved authoritative record does not establish an exact ACKR2 transcriptional or ubiquitination edge.	retain_E3_ligase_profile_without_promotion	completed
search_outcome_108	cul4a|acvrl1|human	CUL4A	ACVRL1	human	"CUL4A ACVRL1 direct target human"	https://tflink.net/download/#interaction-gmt;https://www.ncbi.nlm.nih.gov/gene/8451	modifier_E3_ligase_profile_only	The TFLink interaction export contains CUL4A-ACVRL1, but CUL4A is an E3 ubiquitin-ligase scaffold and the retrieved authoritative record does not establish an exact ACVRL1 transcriptional or ubiquitination edge.	retain_E3_ligase_profile_without_promotion	completed
search_outcome_109	dux|acvr1|mouse	DUX	Acvr1	mouse	"DUX Acvr1 direct target mouse"	https://tflink.net/download/#interaction-gmt	database_membership_only	The TFLink interaction export contains DUX-Acvr1, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_110	dux|adam22|mouse	DUX	Adam22	mouse	"DUX Adam22 direct target mouse"	https://tflink.net/download/#interaction-gmt	database_membership_only	The TFLink interaction export contains DUX-Adam22, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_111	dux|adgrl1|mouse	DUX	Adgrl1	mouse	"DUX Adgrl1 direct target mouse"	https://tflink.net/download/#interaction-gmt	database_membership_only	The TFLink interaction export contains DUX-Adgrl1, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_112	dux|adgrl2|mouse	DUX	Adgrl2	mouse	"DUX Adgrl2 direct target mouse"	https://tflink.net/download/#interaction-gmt	database_membership_only	The TFLink interaction export contains DUX-Adgrl2, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_113	fbxl19|acvr1c|mouse	FBXL19	Acvr1c	mouse	"FBXL19 Acvr1c direct target mouse"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC5997449/	noncanonical_chromatin_regulator_profile_only	The TFLink interaction export contains FBXL19-Acvr1c, while the primary mouse study shows FBXL19 binding CpG islands and recruiting CDK-Mediator to developmental promoters, not an exact Acvr1c edge.	route_chromatin_regulator_profile_to_22B_without_canonical_promotion	completed
search_outcome_114	fbxl19|adam22|mouse	FBXL19	Adam22	mouse	"FBXL19 Adam22 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC5997449/	noncanonical_chromatin_regulator_profile_only	The TFLink interaction export contains FBXL19-Adam22, while the primary mouse study shows FBXL19 binding CpG islands and recruiting CDK-Mediator to developmental promoters, not an exact Adam22 edge.	route_chromatin_regulator_profile_to_22B_without_canonical_promotion	completed
search_outcome_115	fbxl19|adam23|mouse	FBXL19	Adam23	mouse	"FBXL19 Adam23 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC5997449/	noncanonical_chromatin_regulator_profile_only	The TFLink interaction export contains FBXL19-Adam23, while the primary mouse study shows FBXL19 binding CpG islands and recruiting CDK-Mediator to developmental promoters, not an exact Adam23 edge.	route_chromatin_regulator_profile_to_22B_without_canonical_promotion	completed
search_outcome_116	fbxl19|adam9|mouse	FBXL19	Adam9	mouse	"FBXL19 Adam9 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC5997449/	noncanonical_chromatin_regulator_profile_only	The TFLink interaction export contains FBXL19-Adam9, while the primary mouse study shows FBXL19 binding CpG islands and recruiting CDK-Mediator to developmental promoters, not an exact Adam9 edge.	route_chromatin_regulator_profile_to_22B_without_canonical_promotion	completed
search_outcome_117	gtf3c5/tfiiic subunit|ackr2|human	GTF3C5/TFIIIC subunit	ACKR2	human	"GTF3C5 TFIIIC ACKR2 direct target human"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC3744447/	species_mismatch_noncanonical_TFIIIC_profile	The TFLink interaction export contains GTF3C5-ACKR2, but primary TFIIIC evidence is from mouse neurons and supports TFIIIC/SINE architectural control of activity-dependent transcription, not an exact ACKR2 edge.	route_TFIIIC_architecture_profile_without_canonical_promotion	completed
search_outcome_118	gtf3c5/tfiiic subunit|acvr1|human	GTF3C5/TFIIIC subunit	ACVR1	human	"GTF3C5 TFIIIC ACVR1 direct target human"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC3744447/	species_mismatch_noncanonical_TFIIIC_profile	The TFLink interaction export contains GTF3C5-ACVR1, but primary TFIIIC evidence is from mouse neurons and supports TFIIIC/SINE architectural control of activity-dependent transcription, not an exact ACVR1 edge.	route_TFIIIC_architecture_profile_without_canonical_promotion	completed
search_outcome_119	gtf3c5/tfiiic subunit|acvrl1|human	GTF3C5/TFIIIC subunit	ACVRL1	human	"GTF3C5 TFIIIC ACVRL1 direct target human"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC3744447/	species_mismatch_noncanonical_TFIIIC_profile	The TFLink interaction export contains GTF3C5-ACVRL1, but primary TFIIIC evidence is from mouse neurons and supports TFIIIC/SINE architectural control of activity-dependent transcription, not an exact ACVRL1 edge.	route_TFIIIC_architecture_profile_without_canonical_promotion	completed
search_outcome_120	gtf3c5/tfiiic subunit|adam17|human	GTF3C5/TFIIIC subunit	ADAM17	human	"GTF3C5 TFIIIC ADAM17 direct target human"	https://tflink.net/download/#interaction-gmt;https://pmc.ncbi.nlm.nih.gov/articles/PMC3744447/	species_mismatch_noncanonical_TFIIIC_profile	The TFLink interaction export contains GTF3C5-ADAM17, but primary TFIIIC evidence is from mouse neurons and supports TFIIIC/SINE architectural control of activity-dependent transcription, not an exact ADAM17 edge.	route_TFIIIC_architecture_profile_without_canonical_promotion	completed
search_outcome_121	htatsf1|actr2|mouse	HTATSF1	Actr2	mouse	"HTATSF1 Actr2 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://doi.org/10.1016/j.stem.2018.03.002	noncanonical_RNA_processing_profile_only	The TFLink interaction export contains HTATSF1-Actr2, but the primary embryonic-stem-cell study supports HTATSF1/SF3B1 control of splicing and rRNA processing rather than an exact Actr2 edge.	route_RNA_processing_profile_without_canonical_promotion	completed
search_outcome_122	htatsf1|adam10|mouse	HTATSF1	Adam10	mouse	"HTATSF1 Adam10 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://doi.org/10.1016/j.stem.2018.03.002	noncanonical_RNA_processing_profile_only	The TFLink interaction export contains HTATSF1-Adam10, but the primary embryonic-stem-cell study supports HTATSF1/SF3B1 control of splicing and rRNA processing rather than an exact Adam10 edge.	route_RNA_processing_profile_without_canonical_promotion	completed
search_outcome_123	htatsf1|ada|mouse	HTATSF1	Ada	mouse	"HTATSF1 Ada direct target mouse"	https://tflink.net/download/#interaction-gmt;https://doi.org/10.1016/j.stem.2018.03.002	noncanonical_RNA_processing_profile_only	The TFLink interaction export contains HTATSF1-Ada, but the primary embryonic-stem-cell study supports HTATSF1/SF3B1 control of splicing and rRNA processing rather than an exact Ada edge.	route_RNA_processing_profile_without_canonical_promotion	completed
search_outcome_124	htatsf1|adgrb1|mouse	HTATSF1	Adgrb1	mouse	"HTATSF1 Adgrb1 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://doi.org/10.1016/j.stem.2018.03.002	noncanonical_RNA_processing_profile_only	The TFLink interaction export contains HTATSF1-Adgrb1, but the primary embryonic-stem-cell study supports HTATSF1/SF3B1 control of splicing and rRNA processing rather than an exact Adgrb1 edge.	route_RNA_processing_profile_without_canonical_promotion	completed
search_outcome_125	msl2|adam17|mouse	MSL2	Adam17	mouse	"MSL2 Adam17 direct target mouse"	https://tflink.net/download/	database_membership_only	The TFLink interaction export contains MSL2-Adam17, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_126	msl2|adam22|mouse	MSL2	Adam22	mouse	"MSL2 Adam22 direct target mouse"	https://tflink.net/download/	database_membership_only	The TFLink interaction export contains MSL2-Adam22, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_127	msl2|ang|mouse	MSL2	Ang	mouse	"MSL2 Ang direct target mouse"	https://tflink.net/download/	database_membership_only	The TFLink interaction export contains MSL2-Ang, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_128	msl2|ctnnb1|mouse	MSL2	Ctnnb1	mouse	"MSL2 Ctnnb1 direct target mouse"	https://tflink.net/download/	database_membership_only	The TFLink interaction export contains MSL2-Ctnnb1, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_129	paf1|abca7|human	PAF1	ABCA7	human	"PAF1 ABCA7 direct target human"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PAF1_TARGET_GENES.html;https://www.ncbi.nlm.nih.gov/gene/6131	noncanonical_transcription_complex_profile_only	The PAF1 target-set record contains ABCA7, but PAF1 is a transcription-elongation complex component and the retrieved authoritative record does not establish an exact ABCA7 locus call or perturbation direction.	route_transcription_elongation_profile_without_canonical_promotion	completed
search_outcome_130	paf1|acin1|human	PAF1	ACIN1	human	"PAF1 ACIN1 direct target human"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PAF1_TARGET_GENES.html;https://www.ncbi.nlm.nih.gov/gene/6131	noncanonical_transcription_complex_profile_only	The PAF1 target-set record contains ACIN1, but PAF1 is a transcription-elongation complex component and the retrieved authoritative record does not establish an exact ACIN1 locus call or perturbation direction.	route_transcription_elongation_profile_without_canonical_promotion	completed
search_outcome_131	paf1|cyp19a1|human	PAF1	CYP19A1	human	"PAF1 CYP19A1 direct target human"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PAF1_TARGET_GENES.html;https://www.ncbi.nlm.nih.gov/gene/6131	noncanonical_transcription_complex_profile_only	The PAF1 target-set record contains CYP19A1, but PAF1 is a transcription-elongation complex component and the retrieved authoritative record does not establish an exact CYP19A1 locus call or perturbation direction.	route_transcription_elongation_profile_without_canonical_promotion	completed
search_outcome_132	paf1|efna1|human	PAF1	EFNA1	human	"PAF1 EFNA1 direct target human"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PAF1_TARGET_GENES.html;https://www.ncbi.nlm.nih.gov/gene/6131	noncanonical_transcription_complex_profile_only	The PAF1 target-set record contains EFNA1, but PAF1 is a transcription-elongation complex component and the retrieved authoritative record does not establish an exact EFNA1 locus call or perturbation direction.	route_transcription_elongation_profile_without_canonical_promotion	completed
search_outcome_133	pcgf6|ablim3|human	PCGF6	ABLIM3	human	"PCGF6 ABLIM3 direct target human"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PCGF6_TARGET_GENES.html;https://www.ncbi.nlm.nih.gov/gene/51532	noncanonical_polycomb_complex_profile_only	The PCGF6 target-set record contains ABLIM3, but PCGF6 is a Polycomb-group complex component and no exact ABLIM3 locus call, binding assay, or perturbation direction was retrieved.	route_polycomb_chromatin_profile_to_22B_without_canonical_promotion	completed
search_outcome_134	pcgf6|aldoa|human	PCGF6	ALDOA	human	"PCGF6 ALDOA direct target human"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PCGF6_TARGET_GENES.html;https://www.ncbi.nlm.nih.gov/gene/51532	noncanonical_polycomb_complex_profile_only	The PCGF6 target-set record contains ALDOA, but PCGF6 is a Polycomb-group complex component and no exact ALDOA locus call, binding assay, or perturbation direction was retrieved.	route_polycomb_chromatin_profile_to_22B_without_canonical_promotion	completed
search_outcome_135	pcgf6|amn1|human	PCGF6	AMN1	human	"PCGF6 AMN1 direct target human"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PCGF6_TARGET_GENES.html;https://www.ncbi.nlm.nih.gov/gene/51532	noncanonical_polycomb_complex_profile_only	The PCGF6 target-set record contains AMN1, but PCGF6 is a Polycomb-group complex component and no exact AMN1 locus call, binding assay, or perturbation direction was retrieved.	route_polycomb_chromatin_profile_to_22B_without_canonical_promotion	completed
search_outcome_136	pcgf6|cklf|human	PCGF6	CKLF	human	"PCGF6 CKLF direct target human"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PCGF6_TARGET_GENES.html;https://www.ncbi.nlm.nih.gov/gene/51532	noncanonical_polycomb_complex_profile_only	The PCGF6 target-set record contains CKLF, but PCGF6 is a Polycomb-group complex component and no exact CKLF locus call, binding assay, or perturbation direction was retrieved.	route_polycomb_chromatin_profile_to_22B_without_canonical_promotion	completed
search_outcome_137	phf19|abca1|mouse	PHF19	Abca1	mouse	"PHF19 Abca1 direct target mouse"	https://tflink.net/download/	database_membership_only	The TFLink interaction export contains PHF19-Abca1, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_138	phf19|adam12|mouse	PHF19	Adam12	mouse	"PHF19 Adam12 direct target mouse"	https://tflink.net/download/	database_membership_only	The TFLink interaction export contains PHF19-Adam12, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_139	phf19|adgrb1|mouse	PHF19	Adgrb1	mouse	"PHF19 Adgrb1 direct target mouse"	https://tflink.net/download/	database_membership_only	The TFLink interaction export contains PHF19-Adgrb1, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_140	phf19|adgrb3|mouse	PHF19	Adgrb3	mouse	"PHF19 Adgrb3 direct target mouse"	https://tflink.net/download/	database_membership_only	The TFLink interaction export contains PHF19-Adgrb3, but no traceable primary target-locus, binding, perturbation, or downstream-expression evidence for this exact mouse pair was retrieved.	retain_database_membership_without_promotion	completed
search_outcome_141	ptbp1|acvr1|human	PTBP1	ACVR1	human	"PTBP1 ACVR1 direct target human"	https://tflink.net/download/	noncanonical_RNA_binding_profile_only	The TFLink interaction export contains PTBP1-ACVR1, but PTBP1 is an RNA-binding/splicing regulator and no exact ACVR1 transcript-binding, splice, or expression experiment was retrieved.	route_RNA_processing_profile_without_canonical_promotion	completed
search_outcome_142	ptbp1|acvrl1|human	PTBP1	ACVRL1	human	"PTBP1 ACVRL1 direct target human"	https://tflink.net/download/	noncanonical_RNA_binding_profile_only	The TFLink interaction export contains PTBP1-ACVRL1, but PTBP1 is an RNA-binding/splicing regulator and no exact ACVRL1 transcript-binding, splice, or expression experiment was retrieved.	route_RNA_processing_profile_without_canonical_promotion	completed
search_outcome_143	ptbp1|adam17|human	PTBP1	ADAM17	human	"PTBP1 ADAM17 direct target human"	https://tflink.net/download/	noncanonical_RNA_binding_profile_only	The TFLink interaction export contains PTBP1-ADAM17, but PTBP1 is an RNA-binding/splicing regulator and no exact ADAM17 transcript-binding, splice, or expression experiment was retrieved.	route_RNA_processing_profile_without_canonical_promotion	completed
search_outcome_144	ptbp1|adcyap1|human	PTBP1	ADCYAP1	human	"PTBP1 ADCYAP1 direct target human"	https://tflink.net/download/	noncanonical_RNA_binding_profile_only	The TFLink interaction export contains PTBP1-ADCYAP1, but PTBP1 is an RNA-binding/splicing regulator and no exact ADCYAP1 transcript-binding, splice, or expression experiment was retrieved.	route_RNA_processing_profile_without_canonical_promotion	completed
search_outcome_145	smyd2|btg1b|mouse	SMYD2	Btg1b	mouse	"SMYD2 Btg1b direct target mouse"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/SMYD2_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/30445619/	modifier_chromatin_profile_only	The mouse SMYD2 target-set record contains Btg1b, but SMYD2 is a lysine methyltransferase and no exact Btg1b locus call, methylation experiment, or perturbation direction was retrieved.	route_chromatin_modifier_profile_to_22B_without_canonical_promotion	completed
search_outcome_146	smyd2|ccdc7b|mouse	SMYD2	Ccdc7b	mouse	"SMYD2 Ccdc7b direct target mouse"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/SMYD2_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/30445619/	modifier_chromatin_profile_only	The mouse SMYD2 target-set record contains Ccdc7b, but SMYD2 is a lysine methyltransferase and no exact Ccdc7b locus call, methylation experiment, or perturbation direction was retrieved.	route_chromatin_modifier_profile_to_22B_without_canonical_promotion	completed
search_outcome_147	smyd2|gata6|mouse	SMYD2	Gata6	mouse	"SMYD2 Gata6 direct target mouse"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/SMYD2_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC5341809/	modifier_chromatin_profile_only	The mouse SMYD2 target-set record contains Gata6, but the retrieved primary study establishes Smyd2 as a Myc-regulated methyltransferase rather than an exact SMYD2-to-Gata6 locus or methylation edge.	route_chromatin_modifier_profile_to_22B_without_canonical_promotion	completed
search_outcome_148	smyd2|lamb1|mouse	SMYD2	Lamb1	mouse	"SMYD2 Lamb1 direct target mouse"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/SMYD2_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC5341809/	modifier_chromatin_profile_only	The mouse SMYD2 target-set record contains Lamb1, but the retrieved primary study establishes Smyd2 as a Myc-regulated methyltransferase rather than an exact SMYD2-to-Lamb1 locus or methylation edge.	route_chromatin_modifier_profile_to_22B_without_canonical_promotion	completed
search_outcome_149	stra8|adam10|mouse	STRA8	Adam10	mouse	"STRA8 Adam10 direct target mouse"	https://www.informatics.jax.org/marker/MGI%3A107917;https://www.ncbi.nlm.nih.gov/gene/20899	database_membership_only	The source export contains STRA8-Adam10, but the retrieved authoritative STRA8 records describe meiotic-initiation biology and do not provide an exact Adam10 locus, binding, perturbation, or downstream-expression result.	retain_database_membership_without_promotion	completed
search_outcome_150	supt16h/spt16|actr2|mouse	SUPT16H/SPT16	Actr2	mouse	"SUPT16H SPT16 Actr2 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://www.ncbi.nlm.nih.gov/gene/114741;https://www.uniprot.org/uniprotkb/Q920B9/entry	noncanonical_FACT_chromatin_profile_only	The source export contains SUPT16H-Actr2, but authoritative mouse records define SPT16 as a FACT histone chaperone for elongation, replication, and repair and do not establish an exact Actr2 target edge.	route_FACT_chromatin_profile_without_canonical_promotion	completed
search_outcome_151	supt16h/spt16|acvr1c|mouse	SUPT16H/SPT16	Acvr1c	mouse	"SUPT16H SPT16 Acvr1c direct target mouse"	https://tflink.net/download/#interaction-gmt;https://www.ncbi.nlm.nih.gov/gene/114741;https://www.uniprot.org/uniprotkb/Q920B9/entry	noncanonical_FACT_chromatin_profile_only	The source export contains SUPT16H-Acvr1c, but authoritative mouse records define SPT16 as a FACT histone chaperone for elongation, replication, and repair and do not establish an exact Acvr1c target edge.	route_FACT_chromatin_profile_without_canonical_promotion	completed
search_outcome_152	supt16h/spt16|acvr1|mouse	SUPT16H/SPT16	Acvr1	mouse	"SUPT16H SPT16 Acvr1 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://www.ncbi.nlm.nih.gov/gene/114741;https://www.uniprot.org/uniprotkb/Q920B9/entry	noncanonical_FACT_chromatin_profile_only	The source export contains SUPT16H-Acvr1, but authoritative mouse records define SPT16 as a FACT histone chaperone for elongation, replication, and repair and do not establish an exact Acvr1 target edge.	route_FACT_chromatin_profile_without_canonical_promotion	completed
search_outcome_153	supt16h/spt16|adam22|mouse	SUPT16H/SPT16	Adam22	mouse	"SUPT16H SPT16 Adam22 direct target mouse"	https://tflink.net/download/#interaction-gmt;https://www.ncbi.nlm.nih.gov/gene/114741;https://www.uniprot.org/uniprotkb/Q920B9/entry	noncanonical_FACT_chromatin_profile_only	The source export contains SUPT16H-Adam22, but authoritative mouse records define SPT16 as a FACT histone chaperone for elongation, replication, and repair and do not establish an exact Adam22 target edge.	route_FACT_chromatin_profile_without_canonical_promotion	completed
search_outcome_154	suv39h1|aw822073|mouse	SUV39H1	AW822073	mouse	"SUV39H1 AW822073 direct target mouse"	https://tflink.net/protein/o54864/	gtrd_chipseq_target_set_without_pair_function	The mouse TFLink record lists AW822073 as an SUV39H1 GTRD ChIP target, but no source-level locus context, perturbation direction, or functional validation for this exact transcript was retrieved.	retain_profile_only_without_promotion	completed
search_outcome_155	suv39h1|itln1|mouse	SUV39H1	Itln1	mouse	"SUV39H1 Itln1 direct target mouse"	https://tflink.net/protein/o54864/	gtrd_chipseq_target_set_without_pair_function	The mouse TFLink record lists Itln1 as an SUV39H1 GTRD ChIP target, but no source-level locus context, perturbation direction, or functional validation for this exact gene was retrieved.	retain_profile_only_without_promotion	completed
search_outcome_156	tbxt/brachyury|actr2|human	TBXT/Brachyury	ACTR2	human	"TBXT Brachyury ACTR2 direct target human"	https://tflink.net/download/;https://www.biorxiv.org/content/10.1101/2023.11.06.565933v1.full	binding_profile_without_pair_function	Human and mouse TBXT gastruloid ChIP-seq/perturbation work identified validated candidate targets such as FGF17, LHX1, MAML3, and SEMA6A, not ACTR2; the source export alone is insufficient for this exact edge.	retain_profile_only_without_promotion	completed
search_outcome_157	tbxt/brachyury|acvr1|human	TBXT/Brachyury	ACVR1	human	"TBXT Brachyury ACVR1 direct target human"	https://tflink.net/download/;https://www.biorxiv.org/content/10.1101/2023.11.06.565933v1.full	binding_profile_without_pair_function	Human and mouse TBXT gastruloid ChIP-seq/perturbation work identified validated candidate targets such as FGF17, LHX1, MAML3, and SEMA6A, not ACVR1; the source export alone is insufficient for this exact edge.	retain_profile_only_without_promotion	completed
