priority_rank	priority_score	priority_tier	search_lane	active_search_eligible	queue_state	queue_key	regulator_symbol	target_symbol	species_scope	target_graph_modules	provenance_row_count	source_registries	source_record_ids	review_ids	exact_pair_statuses	primary_and_corroborating_citations	dispositions	review_status	evidence_confidence_tier	evidence_tier_basis	search_outcome_status	next_action
1108	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpep3|acvr1|mouse	DPEP3	Acvr1	mouse	20B	1	TFLink	tflink:mouse:000464:75c54b78241d	public_tf_evidence_batch027_pair_01_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1109	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpep3|adam12|mouse	DPEP3	Adam12	mouse	20B;23B	1	TFLink	tflink:mouse:000464:75c54b78241d	public_tf_evidence_batch027_pair_01_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1110	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpf2|abca1|human	DPF2	ABCA1	human	20B	1	TFLink	tflink:human:001046:a52b1b1f7646	public_tf_evidence_batch017_pair_07_1	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1111	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpf2|ackr1|human	DPF2	ACKR1	human	20B	1	TFLink	tflink:human:001046:a52b1b1f7646	public_tf_evidence_batch017_pair_07_2	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1112	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpf2|ackr2|human	DPF2	ACKR2	human	20B	1	TFLink	tflink:human:001046:a52b1b1f7646	public_tf_evidence_batch017_pair_07_3	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1113	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpf2|ackr3|human	DPF2	ACKR3	human	20B	1	TFLink	tflink:human:001046:a52b1b1f7646	public_tf_evidence_batch017_pair_07_4	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1114	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpf2|ackr4|mouse	DPF2	Ackr4	mouse	20B	1	TFLink	tflink:mouse:001059:c060e7c2ed15	public_tf_evidence_batch023_pair_10_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1115	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpf2|acvr1c|mouse	DPF2	Acvr1c	mouse	20B	1	TFLink	tflink:mouse:001059:c060e7c2ed15	public_tf_evidence_batch023_pair_10_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1116	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpf2|acvr1|mouse	DPF2	Acvr1	mouse	20B	1	TFLink	tflink:mouse:001059:c060e7c2ed15	public_tf_evidence_batch023_pair_10_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1117	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpf2|adam9|mouse	DPF2	Adam9	mouse	20B	1	TFLink	tflink:mouse:001059:c060e7c2ed15	public_tf_evidence_batch023_pair_10_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1118	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa2|ackr2|mouse	DPPA2	Ackr2	mouse	20B	1	TFLink	tflink:mouse:000943:a6a65d290750	public_tf_evidence_batch018_pair_02_1	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1119	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa2|ackr3|mouse	DPPA2	Ackr3	mouse	20B	1	TFLink	tflink:mouse:000943:a6a65d290750	public_tf_evidence_batch018_pair_02_2	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1120	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa2|actr2|mouse	DPPA2	Actr2	mouse	20B	1	TFLink	tflink:mouse:000943:a6a65d290750	public_tf_evidence_batch018_pair_02_3	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1121	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa2|acvr1|mouse	DPPA2	Acvr1	mouse	20B	1	TFLink	tflink:mouse:000943:a6a65d290750	public_tf_evidence_batch018_pair_02_4	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1122	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa3/stella|cdc42se2|human	DPPA3/STELLA	CDC42SE2	human		1	TFLink	tflink:human:001492:3ebb180524d3	public_tf_evidence_batch025_pair_25_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1123	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa3/stella|cep89|human	DPPA3/STELLA	CEP89	human		1	TFLink	tflink:human:001492:3ebb180524d3	public_tf_evidence_batch025_pair_25_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1124	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa3/stella|cops8|human	DPPA3/STELLA	COPS8	human		1	TFLink	tflink:human:001492:3ebb180524d3	public_tf_evidence_batch025_pair_25_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1125	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa3/stella|ctdsp2|human	DPPA3/STELLA	CTDSP2	human		1	TFLink	tflink:human:001492:3ebb180524d3	public_tf_evidence_batch025_pair_25_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1126	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa4|abca1|mouse	DPPA4	Abca1	mouse	20B	1	TFLink	tflink:mouse:000867:6199bf97fef5	public_tf_evidence_batch017_pair_16_1	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1127	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa4|ackr2|mouse	DPPA4	Ackr2	mouse	20B	1	TFLink	tflink:mouse:000867:6199bf97fef5	public_tf_evidence_batch017_pair_16_2	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1128	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa4|ackr3|mouse	DPPA4	Ackr3	mouse	20B	1	TFLink	tflink:mouse:000867:6199bf97fef5	public_tf_evidence_batch017_pair_16_3	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1129	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dppa4|actr2|mouse	DPPA4	Actr2	mouse	20B	1	TFLink	tflink:mouse:000867:6199bf97fef5	public_tf_evidence_batch017_pair_16_4	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1130	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpy30|abca1|mouse	DPY30	Abca1	mouse	20B	1	TFLink	tflink:mouse:000852:8c3c7d36d8bb	public_tf_evidence_batch019_pair_08_1	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1131	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpy30|ackr3|mouse	DPY30	Ackr3	mouse	20B	1	TFLink	tflink:mouse:000852:8c3c7d36d8bb	public_tf_evidence_batch019_pair_08_2	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1132	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpy30|ackr4|mouse	DPY30	Ackr4	mouse	20B	1	TFLink	tflink:mouse:000852:8c3c7d36d8bb	public_tf_evidence_batch019_pair_08_3	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1133	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dpy30|actr2|mouse	DPY30	Actr2	mouse	20B	1	TFLink	tflink:mouse:000852:8c3c7d36d8bb	public_tf_evidence_batch019_pair_08_4	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1134	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dtl/cdt2|a2m|human	DTL/CDT2	A2M	human	20B	1	TFLink	tflink:human:001233:9856603ff7c4	public_tf_evidence_batch026_pair_11_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1135	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dtl/cdt2|ackr1|human	DTL/CDT2	ACKR1	human	20B	1	TFLink	tflink:human:001233:9856603ff7c4	public_tf_evidence_batch026_pair_11_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1136	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dtl/cdt2|ackr2|human	DTL/CDT2	ACKR2	human	20B	1	TFLink	tflink:human:001233:9856603ff7c4	public_tf_evidence_batch026_pair_11_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1137	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dtl/cdt2|acvr1|human	DTL/CDT2	ACVR1	human	20B	1	TFLink	tflink:human:001233:9856603ff7c4	public_tf_evidence_batch026_pair_11_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1138	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	duxbl2|col4a3|mouse	DUXBL2	Col4a3	mouse	20B	1	TFLink	tflink:mouse:001078:afb3c55c030b	public_tf_evidence_batch030_pair_23_1	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1139	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	duxbl2|h2-m3|mouse	DUXBL2	H2-M3	mouse	20B	1	TFLink	tflink:mouse:001078:afb3c55c030b	public_tf_evidence_batch030_pair_23_2	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1140	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	duxbl2|lamc2|mouse	DUXBL2	Lamc2	mouse	20B	1	TFLink	tflink:mouse:001078:afb3c55c030b	public_tf_evidence_batch030_pair_23_3	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1141	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	duxbl2|mmp2|mouse	DUXBL2	Mmp2	mouse	20B	1	TFLink	tflink:mouse:001078:afb3c55c030b	public_tf_evidence_batch030_pair_23_4	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1142	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dyrk1a|ang|human	DYRK1A	ANG	human	20B	1	TFLink	tflink:human:001217:3235dd27986a	public_tf_evidence_batch030_pair_10_1	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1143	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dyrk1a|ccnd1|human	DYRK1A	CCND1	human	22B	1	TFLink	tflink:human:001217:3235dd27986a	public_tf_evidence_batch030_pair_10_2	target_protein_regulation_not_transcriptional	https://pubmed.ncbi.nlm.nih.gov/24119401/;https://pubmed.ncbi.nlm.nih.gov/24806449/	retain_target_protein_regulation_in_noncanonical_evidence_category	reviewed	A_independent_literature_corroborated	promoted overlay evidence tier	completed_or_adjudicated	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1144	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dyrk1a|efna3|human	DYRK1A	EFNA3	human	20B;23B	1	TFLink	tflink:human:001217:3235dd27986a	public_tf_evidence_batch030_pair_10_4	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1145	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dzip3|ccz1|mouse	Dzip3	Ccz1	mouse		1	TFLink	tflink:mouse:001106:7ac67bf95edb	public_tf_evidence_batch034_pair_13_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1146	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dzip3|meaf6|mouse	Dzip3	Meaf6	mouse		1	TFLink	tflink:mouse:001106:7ac67bf95edb	public_tf_evidence_batch034_pair_13_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1147	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dzip3|mt-cyb|mouse	Dzip3	Mt-Cyb	mouse		1	TFLink	tflink:mouse:001106:7ac67bf95edb	public_tf_evidence_batch034_pair_13_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1148	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	dzip3|mtnd6|mouse	Dzip3	Mtnd6	mouse		1	TFLink	tflink:mouse:001106:7ac67bf95edb	public_tf_evidence_batch034_pair_13_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1149	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	ebf2|a2m|mouse	Ebf2	A2m	mouse	20B	1	TFLink	tflink:mouse:000920:b3f362af9f8d	public_tf_evidence_batch001_pair_001	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1150	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	ebf2|abca1|mouse	Ebf2	Abca1	mouse	20B	1	TFLink	tflink:mouse:000920:b3f362af9f8d	public_tf_evidence_batch001_pair_002	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1151	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	ebf2|ackr3|mouse	Ebf2	Ackr3	mouse	20B	1	TFLink	tflink:mouse:000920:b3f362af9f8d	public_tf_evidence_batch001_pair_003	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1152	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	ebf2|actr2|mouse	Ebf2	Actr2	mouse	20B	1	TFLink	tflink:mouse:000920:b3f362af9f8d	public_tf_evidence_batch001_pair_004	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1153	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	ebna1bp2/ebp2|col2a1|human	EBNA1BP2/EBP2	COL2A1	human	20B	1	TFLink	tflink:human:001349:6cc9107e7619	public_tf_evidence_batch030_pair_01_1	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1154	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	ebna1bp2/ebp2|dag1|human	EBNA1BP2/EBP2	DAG1	human	20B	1	TFLink	tflink:human:001349:6cc9107e7619	public_tf_evidence_batch030_pair_01_2	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1155	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	ebna1bp2/ebp2|dip2a|human	EBNA1BP2/EBP2	DIP2A	human	20B	1	TFLink	tflink:human:001349:6cc9107e7619	public_tf_evidence_batch030_pair_01_3	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1156	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	ebna1bp2/ebp2|efna5|human	EBNA1BP2/EBP2	EFNA5	human	20B;23B	1	TFLink	tflink:human:001349:6cc9107e7619	public_tf_evidence_batch030_pair_01_4	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1157	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	ebp|adam9|human	EBP	ADAM9	human	20B	1	TFLink	tflink:human:001134:3063badd497c	public_tf_evidence_batch028_pair_17_1	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1158	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	ebp|c5ar1|human	EBP	C5AR1	human	20B;24B	1	TFLink	tflink:human:001134:3063badd497c	public_tf_evidence_batch028_pair_17_4	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1159	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	eef1a1|gh1|mouse	Eef1a1	Gh1	mouse		1	TFLink	tflink:mouse:001143:5709d31ed043	public_tf_evidence_batch035_pair_10_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1160	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	eef1a1|myh6|mouse	Eef1a1	Myh6	mouse		1	TFLink	tflink:mouse:001143:5709d31ed043	public_tf_evidence_batch035_pair_10_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1161	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	efna2/efna2|cd1d1|mouse	EFNA2/Efna2	Cd1d1	mouse		1	TFLink	tflink:mouse:000124:f2ffa5e53526	public_tf_evidence_batch032_pair_15_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1162	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	efna2/efna2|csf1r|mouse	EFNA2/Efna2	Csf1r	mouse	20B	1	TFLink	tflink:mouse:000124:f2ffa5e53526	public_tf_evidence_batch032_pair_15_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1163	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	efna2/efna2|dntt|mouse	EFNA2/Efna2	Dntt	mouse		1	TFLink	tflink:mouse:000124:f2ffa5e53526	public_tf_evidence_batch032_pair_15_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1164	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	efna2/efna2|epha7|mouse	EFNA2/Efna2	Epha7	mouse	20B;23B	1	TFLink	tflink:mouse:000124:f2ffa5e53526	public_tf_evidence_batch032_pair_15_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1165	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	efnb2|cd3d|mouse	Efnb2	Cd3d	mouse		1	TFLink	tflink:mouse:000625:0f1d2c649c71	public_tf_evidence_batch035_pair_19_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
