evidence_id	pathway_reuse_key	source_locators	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence_tier	evidence_summary	limitations
M21A-PAIR-EVID-1841	M21A-REUSE-1240	PMID:1334487; PMID:11700022; PMID:10727510	human; hamster	COS-7/HEK293 expression systems and hamster smooth-muscle cells	alpha1B receptor expression with agonist stimulation; inositol-phosphate, ERK, JNK, Gq, MKK4, Src and Rho perturbation assays	source-context label only; exact alpha1B receptor activation supports Gq/PLC signaling and a Gq-Src/Rho-MKK4-JNK relay	receptor_proximal_relay;downstream_pathway_function	ADRA1B-Gq/PLC-inositol-phosphate; Gq-Src-Rho-MKK4-JNK; ERK branch	medium	ADRA1B-Gq/PLC-inositol-phosphate; Gq-Src-Rho-MKK4-JNK; ERK branch	DBH/SLC6A2 does not establish a direct NE-receptor binding event in the submitted source cell; studies use recombinant or native alpha1B systems and pharmacologic agonists, not the exact mSCITdb context; no terminal TF occupancy was shown
M21A-PAIR-EVID-1842	M21A-REUSE-1241	PMID:10727510	human	alpha1D-adrenergic receptor expression model	alpha1D receptor expression; phenylephrine stimulation and prazosin inverse-agonist treatment; inositol-phosphate and ERK assays	source-context label only; exact alpha1D receptor signaling supports constitutive inositol-phosphate/ERK activity with agonist- and inverse-agonist-sensitive receptor regulation	receptor_proximal_relay;downstream_pathway_function	ADRA1D-Gq/PLC-inositol-phosphate; ERK regulation and receptor trafficking	medium	ADRA1D-Gq/PLC-inositol-phosphate; ERK regulation and receptor trafficking	The study reports strong basal alpha1D activity and subtype-specific localization in an expression system; it does not test DBH/SLC6A2-positive sender cells or prove direct NE binding for the submitted source label; phenylephrine increased inositol phosphate but not ERK in that model; no terminal TF occupancy was shown
M21A-PAIR-EVID-1843	M21A-REUSE-1242	PMID:9174358; PMID:16809338; PMID:22405824; PMID:10385696	human; mouse	CHO, COS-7 and mouse embryonic fibroblast models	alpha2A receptor agonist stimulation; pertussis-toxin and Gbeta-gamma inhibition; arrestin deletion; NE stimulation with alpha1/beta blockade; receptor knockout and neurotransmitter-release assays	source-context label only; exact alpha2A receptor activation supports Gi/o-dependent PLC/calcium and Src-dependent or Src-independent Ras-Raf-MEK-ERK relays, with presynaptic inhibition as a cellular output	receptor_proximal_relay;downstream_pathway_function	ADRA2A-Gi/o-Gbeta-gamma-PLC-calcium; arrestin/Src-Ras-Raf-MEK-ERK; presynaptic inhibition	medium-high	ADRA2A-Gi/o-Gbeta-gamma-PLC-calcium; arrestin/Src-Ras-Raf-MEK-ERK; presynaptic inhibition	The studies validate alpha2A receptor signaling and function but do not directly test the submitted DBH/SLC6A2 sender annotation; agonist and knockout experiments do not establish a direct molecular edge from the source-context token; no direct TF occupancy was shown
M21A-PAIR-EVID-1844	M21A-REUSE-1243	PMID:22025613; PMID:26244553; PMID:1349606	human; mouse	and mouse embryonic fibroblast expression models	alpha2B receptor agonist stimulation; receptor intracellular-loop mutation; ARF1 depletion/constitutive activation; spinophilin/arrestin perturbation; Gi-sensitive adenylyl-cyclase coupling	source-context label only; exact alpha2B receptor activation supports Gi/o coupling and an ARF1-Raf1-MEK1/2-ERK1/2 relay, with arrestin/spinophilin-dependent signal regulation	receptor_proximal_relay;downstream_pathway_function	ADRA2B-Gi/o-adenylyl-cyclase inhibition; ARF1-Raf1-MEK-ERK; arrestin/spinophilin regulation	medium-high	ADRA2B-Gi/o-adenylyl-cyclase inhibition; ARF1-Raf1-MEK-ERK; arrestin/spinophilin regulation	The evidence is from recombinant receptor and fibroblast systems and pharmacologic agonists, not the exact DBH/SLC6A2-positive source context; alpha2-family coupling evidence is not transferred to an untested molecular interaction; no terminal TF occupancy was shown
M21A-PAIR-EVID-1845	M21A-REUSE-1244	PMID:1349606; PMID:36101495; PMID:10999953	human; mouse	CHO and HepG2 expression models	alpha2C receptor expression with agonist and forskolin/cAMP stimulation; pertussis-toxin-sensitive adenylyl-cyclase assays; subtype-resolved cAMP and ERK profiling	source-context label only; exact alpha2C receptor studies support Gi/o-linked inhibition of adenylyl cyclase and subtype-resolved cAMP/ERK signaling, with cAMP/PKA-dependent receptor transcriptional regulation	receptor_proximal_relay;downstream_pathway_function	ADRA2C-Gi/o-adenylyl-cyclase-cAMP; ERK branch; cAMP/PKA regulation of ADRA2C transcription	medium	ADRA2C-Gi/o-adenylyl-cyclase-cAMP; ERK branch; cAMP/PKA regulation of ADRA2C transcription	The oldest coupling study uses heterologous subtype expression and the newer profiling uses CHO cells; the cAMP transcriptional study is receptor regulation rather than a downstream output of NE; no DBH/SLC6A2 sender-cell experiment or direct source-context ligand edge was shown; no terminal TF occupancy was shown
M21A-PAIR-EVID-1846	M21A-REUSE-1245	PMID:24713698; PMCID:PMC4031532; PMID:19509284	human; mouse	neurons and human-heart/cell culture models	NE/catecholamine stimulation; FRET cAMP imaging, PKA and contraction assays; beta1AR-EGFR co-complex, phosphorylation, internalization and ERK assays	source-context label only; exact beta1 receptor activation supports sustained cAMP-PKA signaling and beta-arrestin-dependent EGFR transactivation with cytosolic ERK output	receptor_proximal_relay;downstream_pathway_function	ADRB1-Gs-adenylyl-cyclase-cAMP-PKA; beta1AR-beta-arrestin-EGFR-ERK	medium-high	ADRB1-Gs-adenylyl-cyclase-cAMP-PKA; beta1AR-beta-arrestin-EGFR-ERK	The receptor studies use cardiac/neuronal models and do not test the exact DBH/SLC6A2 source annotation or an SCI receiver; EGFR transactivation is a receptor-complex/pathway edge, not a direct beta1AR-EGFR ligand interaction; no terminal TF occupancy was shown
M21A-PAIR-EVID-1847	M21A-REUSE-1246	PMID:16280323; PMID:12552097; PMID:12975249	human; rat	and primary cardiac-myocyte models	beta2AR agonist stimulation; beta-arrestin depletion; pertussis-toxin and PKA inhibition; PDE4 recruitment and inhibition; subtype-selective cardiac contractility assays	source-context label only; exact beta2 receptor activation supports Gs/Gi-PKA and beta-arrestin-dependent ERK relays with PDE4-mediated signal shaping and subtype-specific contractile output	receptor_proximal_relay;downstream_pathway_function	ADRB2-Gs-adenylyl-cyclase-cAMP-PKA; beta-arrestin-PDE4-Gi-ERK; cardiac contractility	medium-high	ADRB2-Gs-adenylyl-cyclase-cAMP-PKA; beta-arrestin-PDE4-Gi-ERK; cardiac contractility	Most mechanistic studies use recombinant beta2AR or cardiac models with exogenous agonists; they do not test the exact DBH/SLC6A2 source label; beta1/beta2 comparative physiology was not used to infer beta2-specific molecular edges beyond the cited beta2 assays; no terminal TF occupancy was shown
M21A-PAIR-EVID-1848	M21A-REUSE-1247	PMID:14551227; PMID:20164362	mouse; human	cultured mouse brown adipocytes; adult mouse hippocampal neural precursors	NE and selective beta3 agonists; propranolol/adenylyl cyclase/PKA/PI3K/PKC inhibition; proliferation and glucose-uptake assays	NE activation of ADRB3 GPCR with cAMP-dependent relay	receptor_proximal_relay	ADRB3 → Gs/adenylyl cyclase/cAMP/PKA ± PI3K/PKC → glucose uptake or precursor activation	high	ADRB3 → Gs/adenylyl cyclase/cAMP/PKA ± PI3K/PKC → glucose uptake or precursor activation	The queued NE-DBH_SLC6A2 label is a source/handling composite; DBH and SLC6A2 were not manipulated as receptor subunits. The exact mature ligand is norepinephrine, and no terminal TF was directly established in these ADRB3 assays.
M21A-PAIR-EVID-1849		PMID:17823505; https://pubmed.ncbi.nlm.nih.gov/?term=NECTIN1+CADM3	human	no exact matched cell/model assay located in the bounded primary search	Exact NECTIN1–CADM3 interaction search across PubMed/PMC/publisher and nectin/Necl adhesion literature; no validated pair-specific binding or perturbation assay identified	exact direct adhesion edge unresolved	ligand_receptor_binding_or_activation	nectin/Necl cell-cell adhesion network; exact NECTIN1–CADM3 branch unresolved	low	nectin/Necl cell-cell adhesion network; exact NECTIN1–CADM3 branch unresolved	CADM3/NECL1 is a nectin-like adhesion molecule, but family homology, interaction databases, and generic adhesion annotations do not establish direct NECTIN1 binding. No exact primary molecular assay was found; do not infer the edge from NECTIN1–NECTIN3/4 biology.
M21A-PAIR-EVID-1850		PMID:30759143	human	recombinant human NECTIN1 and CD96 ectodomains; K562-NECTIN1-GFP target cells with NK-92 effectors	in-vitro direct interaction/affinity assays; NECTIN1 expression and NK-92 cytotoxicity comparison	direct NECTIN1–CD96 cell-surface binding	ligand_receptor_binding_or_activation	CD96 immune-synapse adhesion/checkpoint branch	high	CD96 immune-synapse adhesion/checkpoint branch	The primary study demonstrates direct human NECTIN1–CD96 interaction and altered susceptibility of NECTIN1-expressing K562 cells, but does not resolve a general CD96 intracellular relay or a terminal TF for this exact pair. Affinity is lower than canonical CD96 ligands.
M21A-PAIR-EVID-1851		PMID:12011057; PMCID:PMC3443293	human	recombinant human nectin ectodomains and engineered nectin-expressing cells	ELISA/SPR and domain-mutant/chimeric receptor binding assays	direct NECTIN1–NECTIN3 trans-heterophilic adhesion	ligand_receptor_binding_or_activation	nectin V-domain trans-adhesion → afadin/adherens-junction organization	high	nectin V-domain trans-adhesion → afadin/adherens-junction organization	Direct ectodomain binding is established, but the assays do not establish a receptor-proximal kinase relay or terminal TF for this exact pair. Afadin/junction effects are cellular adhesion context, not a direct TF assignment.
M21A-PAIR-EVID-1852		PMID:12011057; PMCID:PMC4249131; https://reactome.org/content/detail/R-HSA-420598	human	recombinant human nectin ectodomains; CHO cells expressing NECTIN1 or NECTIN4; epithelial/neuronal co-culture models	SPR/ELISA, reciprocal Fc-binding, domain-mutant and cell-adhesion/trans-endocytosis assays	direct NECTIN1–NECTIN4 trans-heterophilic adhesion	ligand_receptor_binding_or_activation	nectin V-domain adhesion → afadin/junction organization and contact-dependent endocytosis	high	nectin V-domain adhesion → afadin/junction organization and contact-dependent endocytosis	The direct trans interaction is strong and reproducible, but downstream endocytosis/adhesion is not a receptor-proximal signaling relay and no terminal TF is assigned. Reactome is retained only as a pathway cross-check; primary molecular evidence is from the cited studies.
M21A-PAIR-EVID-1853		PMID:15607800; DOI:10.4049/jimmunol.1200324; PMID:19404979	human; mouse	recombinant NECTIN2/DNAM-1 ectodomains; human NK and Vgamma9Vdelta2 T-cell/tumor-cell models	cell binding, SPR/structural interaction assays, antibody masking and cytotoxicity assays	direct NECTIN2–CD226/DNAM-1 binding	ligand_receptor_binding_or_activation	CD226 immune-synapse adhesion/costimulation	high	CD226 immune-synapse adhesion/costimulation	Direct binding is supported, but functional dependence is context-sensitive: one tumor-cell study found Nectin-like-5 rather than NECTIN2 accounted for DNAM-1-dependent killing. No exact CD226 phosphorylation or terminal TF endpoint was established for this pair.
M21A-PAIR-EVID-1854		PMID:23677581; PMID:22421438	human; mouse	recombinant TIGIT/NECTIN2 and PVR fusion proteins; 721.221 transfectants and primary NK-cell contexts	fusion-protein binding, cell-surface recognition and TIGIT/PVR structural-function assays	direct human NECTIN2–TIGIT binding	ligand_receptor_binding_or_activation	TIGIT immune-checkpoint synapse; inhibitory branch not promoted beyond exact binding	high	TIGIT immune-checkpoint synapse; inhibitory branch not promoted beyond exact binding	Human TIGIT recognition of NECTIN2 is supported, whereas the mouse TIGIT functional experiments in the cited study were restricted largely to PVR. Do not transfer PVR-mediated NK inhibition to this exact NECTIN2 pair or assign a terminal TF.
M21A-PAIR-EVID-1855		PMID:24116228; PMCID:PMC3792040	human	recombinant nectin Fc proteins; primary HUVEC endothelial monolayers; primary lymphocytes	ELISA/Fc binding, antibody blockade, siRNA depletion and transendothelial migration assays	direct NECTIN3–NECTIN2 trans-heterophilic adhesion	ligand_receptor_binding_or_activation	nectin adhesion → endothelial junction interaction and lymphocyte transendothelial migration	high	nectin adhesion → endothelial junction interaction and lymphocyte transendothelial migration	The exact direct interaction is established and contributes to adhesion-dependent migration, but the functional study identifies NECTIN2 as the dominant endothelial counter-receptor without defining an intracellular relay or terminal TF.
M21A-PAIR-EVID-1856		PMID:24116228; PMCID:PMC3792040	human	recombinant NECTIN3/PVR ectodomains; HUVEC endothelial monolayers	ELISA/Fc binding and comparison of antibody blockade/siRNA effects during transendothelial migration	direct NECTIN3–PVR trans-heterophilic adhesion	ligand_receptor_binding_or_activation	nectin/PVR adhesion network; endothelial junction and lymphocyte migration context	high	nectin/PVR adhesion network; endothelial junction and lymphocyte migration context	Direct binding is reported, but NECTIN2 is the dominant counter-receptor in the matched endothelial assay and PVR blockade had limited effect. Do not promote generic PVR checkpoint signaling or a terminal TF to this exact NECTIN3–PVR edge.
M21A-PAIR-EVID-1857		PMID:23677581; https://pubmed.ncbi.nlm.nih.gov/?term=NECTIN3+TIGIT	human; mouse	no exact matched pair-specific functional model located	Exact NECTIN3–TIGIT binding search; recombinant TIGIT recognition studies and PVR/NECTIN2 comparator literature reviewed	exact NECTIN3–TIGIT binding unresolved	ligand_receptor_binding_or_activation	TIGIT/nectin checkpoint family boundary; exact NECTIN3 branch unresolved	low	TIGIT/nectin checkpoint family boundary; exact NECTIN3 branch unresolved	A primary TIGIT recognition study explicitly reports human TIGIT binding PVR and NECTIN2 but not NECTIN3. Transcript co-expression or family-level checkpoint annotations are insufficient to infer direct binding or downstream inhibition.
M21A-PAIR-EVID-1858		PMID:25057311	human	CHO-NEGR1 cells; SKOV-3-NEGR1 cells; SH-SY5Y neuronal cells	soluble NEGR1-Fc binding, chemical cross-linking/co-immunoprecipitation, hanging-drop aggregation and neurite-outgrowth assays	direct NEGR1 homophilic binding/adhesion	ligand_receptor_binding_or_activation	NEGR1 homophilic adhesion → cell aggregation and neurite-outgrowth context	high	NEGR1 homophilic adhesion → cell aggregation and neurite-outgrowth context	Homophilic binding is supported, with associated cellular aggregation and neurite outgrowth, but no receptor-proximal intracellular relay or terminal TF was directly assigned to the exact self-pair.
M21A-PAIR-EVID-1859	M21A-REUSE-1248	PMID:12052855; PMID:18089557; PMCID:PMC312747; PMID:11358868; PMID:25359723	human; mouse; frog/mammalian developmental models	mammalian Nodal/Cripto reporter cells; recombinant receptor/coreceptor assays; mouse embryos and vertebrate mesendoderm models	Nodal–Cripto/CFC1 association with ACVR1C/ALK7 and ACVR2B; receptor inhibition, reporter, phospho-SMAD and FoxH1/SMAD2-3 chromatin assays	receptor-complex/pathway edge	receptor_proximal_relay	NODAL + CFC1/Cripto + ACVR2B/ACVR1C → SMAD2/3-SMAD4/FoxH1 transcriptional complex → mesendoderm, axis and patterning programs	high	NODAL + CFC1/Cripto + ACVR2B/ACVR1C → SMAD2/3-SMAD4/FoxH1 transcriptional complex → mesendoderm, axis and patterning programs	The evidence supports a Nodal receptor-complex branch rather than a binary NODAL–ACVR1C edge. ACVR1B can substitute for ACVR1C in some systems, and developmental outputs are species/context dependent. FOXH1 is retained as a directly studied Nodal pathway TF mediator, not as an inferred generic TGF-beta endpoint.
M21A-PAIR-EVID-1860	M21A-REUSE-1249	PMID:31292265; PMCID:PMC7218920; https://pubmed.ncbi.nlm.nih.gov/31292265/	mouse; human	mouse DRG/spinal dorsal-horn circuits; human and mouse DRG; NPR1-expressing spinal neurons	Nppb/NPR1 expression and knockout/ablation studies; NPR1 antagonist testing; NPR1-dependent cGMP biosensor assays	NPPB activation of membrane guanylyl-cyclase NPR1	receptor_proximal_relay	NPR1 → cGMP → spinal pruriceptive interneuron/itch output	high	NPR1 → cGMP → spinal pruriceptive interneuron/itch output	The exact ligand-receptor functional route is strong in mouse and supported by conserved human DRG/spinal expression, but the cellular output is a sensory circuit phenotype rather than evidence for a terminal TF.
M21A-PAIR-EVID-1861	M21A-REUSE-1250	DOI:10.1074/jbc.270.45.26762; https://www.sciencedirect.com/science/article/pii/S0021925818880632	human receptor; mouse LMTK model	LMTK cells stably expressing human Y4/NPY4R; human tissue expression	NPY/PP/PYY displacement binding; forskolin-stimulated cAMP inhibition and intracellular Ca2+ response in NPY4R-transfected cells	NPY activation of NPY4R Gi/o-coupled GPCR	receptor_proximal_relay	NPY4R → Gi/o → adenylyl cyclase/cAMP inhibition with Ca2+ mobilization	high	NPY4R → Gi/o → adenylyl cyclase/cAMP inhibition with Ca2+ mobilization	The original expression study found strongest potency for PP and PYY, with NPY active at lower affinity; the queued NPY–NPY4R edge is therefore supported but ligand-rank and physiological context are subtype dependent. No terminal TF was directly measured.
M21A-PAIR-EVID-1862		DOI:10.1016/j.cmet.2013.11.019; https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?familyId=46&objectId=683	human; mouse	mouse Npy6r knockout and suprachiasmatic-nucleus VIP-neuron models; human NPY6R annotation	NPY/NPY6R exact-pair search; comparison with PP binding and Npy6r knockout physiology	exact NPY–NPY6R ligand assignment unresolved	ligand_receptor_binding_or_activation	NPY-family Y6 branch; available primary physiology supports PP→Npy6r more strongly than NPY→Npy6r	low	NPY-family Y6 branch; available primary physiology supports PP→Npy6r more strongly than NPY→Npy6r	The matched primary study identifies PP as the major physiological Npy6r ligand and uses PP-dependent responses; human NPY6R is a pseudogene. NPY binding/activation was not validated for this exact queued pair, so no relay or TF is promoted.
M21A-PAIR-EVID-1863		PMID:24316073; https://pubmed.ncbi.nlm.nih.gov/?term=PGR15L+NPY	mouse; rat	RPE cells and primary hypothalamic neurons used for ciliary GPCR localization; no exact PGR15L ligand assay	PGR15L localization screen and NPY-family receptor comparator search; PYY3-36 assays were specific to NPY2R, not PGR15L	exact NPY–PGR15L ligand assignment unresolved	ligand_receptor_binding_or_activation	orphan/ciliary GPCR boundary; NPY2R/PYY3-36 signaling must not be transferred to PGR15L	low	orphan/ciliary GPCR boundary; NPY2R/PYY3-36 signaling must not be transferred to PGR15L	PGR15L was identified as a ciliary orphan GPCR candidate, while the matched ligand-response experiments in the cited primary study used NPY2R and PYY3-36. No direct NPY binding, activation, downstream pathway, or terminal TF evidence was found for PGR15L.
M21A-PAIR-EVID-1864	M21A-REUSE-1251	PMID:16978839; PMID:34759323; PMID:9742126	human; engineered mammalian receptor-cell systems	co-expressed ERBB2/ERBB3 cells; purified HER2-HER3-NRG1beta structural system; engineered ErbB ligand-receptor cell panels	NRG1-induced ERBB2/ERBB3 heterodimerization and reciprocal trans-phosphorylation; structural complex analysis	receptor-complex/pathway edge	receptor_proximal_relay	NRG1 → ERBB2/ERBB3 heterodimer → trans-phosphorylation → PI3K/AKT and MAPK/ERK branches	high	NRG1 → ERBB2/ERBB3 heterodimer → trans-phosphorylation → PI3K/AKT and MAPK/ERK branches	ERBB3 is kinase impaired and depends on a partner; ERBB2 is a heterodimer kinase partner rather than the primary NRG1-binding receptor. Isoform and ligand-processing context affect potency. No terminal TF is assigned from generic NRG/ErbB pathway biology.
M21A-PAIR-EVID-1865	M21A-REUSE-1252	PMID:16978839; PMID:9742126; PMID:10381889	human; rat; engineered mammalian receptor-cell systems	co-expressed ERBB2/ERBB4 cells; engineered ErbB ligand panels; rat ventricular myocytes	NRG1-induced ERBB2/ERBB4 heterodimerization and trans-phosphorylation; receptor redistribution and signaling assays	receptor-complex/pathway edge	receptor_proximal_relay	NRG1 → ERBB2/ERBB4 heterodimer → trans-phosphorylation → MAPK/ERK and PI3K/AKT/survival branches	high	NRG1 → ERBB2/ERBB4 heterodimer → trans-phosphorylation → MAPK/ERK and PI3K/AKT/survival branches	The exact heterodimer relay is supported, but NRG1 isoform, receptor abundance, and cell context determine signaling strength. No terminal TF is assigned from generic NRG/ErbB pathway biology.
M21A-PAIR-EVID-1866		PMID:9742126; PMID:16978839	human; engineered mammalian receptor-cell systems	NRG isoform/receptor specificity panels; ERBB3-containing heterodimer phosphorylation assays	 direct NRG1 binding to ERBB3; signaling requires a kinase-competent heterodimer partner	ligand_receptor_binding_or_activation	ERBB3 ligand-binding node → partner-dependent ERBB heterodimer signaling	high	NRG1 binding to ERBB3 is supported, but isolated ERBB3 cannot provide a complete kinase relay and the cited phosphorylation studies use ERBB2/ERBB3 or other heterodimers. Do not infer a standalone ERBB3 pathway or terminal TF.	high	—
M21A-PAIR-EVID-1867	M21A-REUSE-1253	PMID:16203964; PMID:16978839; PMID:10381889	human; rat; engineered mammalian receptor-cell systems	NRG1beta binding to recombinant ErbB4 ectodomain; ERBB2/ERBB4 co-expression; rat ventricular myocytes	NRG1 activation of ERBB4 and ERBB2/ERBB4 trans-phosphorylation/redistribution	receptor_proximal_relay	NRG1 → ERBB4 or ERBB2/ERBB4 complex → tyrosine phosphorylation → ERK/PI3K/survival branches	high	ERBB4 can signal as a homodimer or heterodimer depending on isoform and cell context; the exact queued receptor token does not specify receptor partner or NRG1 isoform. No terminal TF is assigned from generic NRG/ErbB pathway biology.	high	—
M21A-PAIR-EVID-1868	M21A-REUSE-1254	PMID:20682778	 human	MCF-7 and T47D human breast-cancer cells; recombinant integrin and NRG1 proteins; beta4/avbeta3-expressing CHO cells	ELISA/SPR, cell adhesion, pulldown/co-immunoprecipitation, NRG1 3KE integrin-binding mutant, ErbB3 phosphorylation and AKT/ERK assays	direct NRG1–integrin alpha6beta4 binding with integrin–NRG1–ERBB3 cross-talk	receptor_proximal_relay	NRG1–ITGA6/ITGB4 → ternary integrin/NRG1/ERBB3 complex → AKT and ERK1/2	high	NRG1–ITGA6/ITGB4 → ternary integrin/NRG1/ERBB3 complex → AKT and ERK1/2	The primary study directly supports alpha6beta4 binding and cross-talk in breast-cancer models, but alpha6beta4 is a co-receptor/cross-talk component rather than a canonical ErbB subunit. No terminal TF is assigned.
M21A-PAIR-EVID-1869	M21A-REUSE-1255	PMID:20682778	 human	MCF-7 and T47D human breast-cancer cells; recombinant alphaVbeta3 and NRG1; beta3-expressing CHO cells	ELISA/SPR and cell adhesion for direct binding; NRG1 mutant and co-immunoprecipitation/ErbB3 phosphorylation assays	direct NRG1–integrin alphaVbeta3 binding with weaker integrin–NRG1–ERBB3 cross-talk	receptor_proximal_relay	NRG1–ITGAV/ITGB3 → integrin/NRG1/ERBB3 cross-talk → AKT and ERK1/2	high	NRG1–ITGAV/ITGB3 → integrin/NRG1/ERBB3 cross-talk → AKT and ERK1/2	Direct alphaVbeta3 binding is established, but the matched study found weaker alphaVbeta3 ternary-complex/co-precipitation effects than alpha6beta4. The edge is not a generic integrin or ErbB activation claim, and no terminal TF is assigned.
M21A-PAIR-EVID-1870	M21A-REUSE-1256	PMID:9742126; PMID:16338790; PMID:17945187	human; engineered mammalian receptor-cell systems	engineered ErbB receptor panels and NRG2 isoform assays	NRG2 isoform-specific binding/receptor activation and ERBB3-containing heterodimer signaling	receptor-complex/pathway edge	receptor_proximal_relay	NRG2 → ERBB3-containing ErbB heterodimer → MAPK/ERK and context-dependent growth/differentiation	high	NRG2 → ERBB3-containing ErbB heterodimer → MAPK/ERK and context-dependent growth/differentiation	NRG2alpha/beta have different receptor specificity and potency; ERBB3 signaling requires a kinase-competent partner. The evidence supports an ERBB3-containing pathway, not an isolated ERBB3 kinase relay or terminal TF.
M21A-PAIR-EVID-1871	M21A-REUSE-1257	PMID:16338790; PMID:17945187; PMID:9742126	human; engineered mammalian receptor-cell systems	NRG2beta/alpha ErbB4 binding, phosphorylation and IL-3-independence assays; receptor-panel specificity experiments	NRG2 activation of ERBB4	receptor_proximal_relay	NRG2 → ERBB4 tyrosine phosphorylation/activation → MAPK/ERK and context-dependent survival/growth	high	NRG2alpha and NRG2beta differ in affinity and efficacy; the strongest matched assays are for ERBB4 and specific isoforms. No terminal TF is assigned from generic NRG/ErbB pathway biology.	high	—
M21A-PAIR-EVID-1872	M21A-REUSE-1258	PMID:9275162; PMID:28432142	human; chicken; rat neuronal models	recombinant NRG3 binding/activation assays; rat hippocampal neuron juxtacrine interaction and ErbB4-expressing interneuron model	NRG3 binding and activation of ERBB4; membrane-tethered NRG3/ERBB4 neuronal contact signaling	receptor_proximal_relay	NRG3 → ERBB4 → neuronal PI3K/AKT and contact-dependent developmental signaling	high	NRG3 evidence is strongest for ERBB4, including juxtacrine neuronal contexts; the exact downstream branch varies by isoform and cell type. No terminal TF is assigned from generic NRG/ErbB biology.	high	—
M21A-PAIR-EVID-1873	M21A-REUSE-1259	DOI:10.1038/1202631; PMCID:PMC3501086; PMID:31225596	human; mouse; rat	ErbB4-transfected IL-3-dependent cells; mouse colon epithelium; mouse striatal medium spiny neurons; cultured MSNs	NRG4 EGF-like peptide competition/displacement and growth assay; ErbB4 phosphorylation and PI3K/Akt perturbation; Nrg4-null/rescue and receptor coexpression in MSNs	NRG4 directly binds and activates ERBB4; mature NRG4/ERBB4 signaling supports PI3K-AKT survival and neuronal dendrite/spine growth	ligand_receptor_binding_or_activation;receptor_proximal_relay;downstream_pathway_function	ERBB4 tyrosine-kinase autophosphorylation; PI3K-AKT survival; neuronal dendrite and spine elaboration	medium-high	ERBB4 tyrosine-kinase autophosphorylation; PI3K-AKT survival; neuronal dendrite and spine elaboration	The direct receptor work uses recombinant or heterologous systems and epithelial comparator models; the neuronal study supports NRG4/ERBB4 coexpression and rescue but does not isolate every ERBB4 intracellular branch in MSNs. No terminal TF occupancy was demonstrated.
M21A-PAIR-EVID-1874		https://pubmed.ncbi.nlm.nih.gov/?term=NRXN1+CLSTN1; PMCID:PMC4101519	human; mouse; rat	No exact NRXN1-CLSTN1 pair-specific receptor model identified	Bounded PubMed/PMC/publisher search for direct CLSTN1-neurexin binding; calsyntenin-family synaptogenic and transport studies reviewed	No qualifying exact direct NRXN1-CLSTN1 molecular edge; CLSTN3 findings and calsyntenin-family annotations were not transferred to CLSTN1	ligand_receptor_binding_or_activation	NRXN1-CLSTN1 synaptic adhesion branch unresolved; family-level calsyntenin evidence is non-specific	low	NRXN1-CLSTN1 synaptic adhesion branch unresolved; family-level calsyntenin evidence is non-specific	CLSTN1 is a postsynaptic membrane protein with independent kinesin-cargo functions, but the reviewed primary evidence did not establish the submitted exact NRXN1 pair or an intracellular relay. Alternative neurexin promoters and splice states were not resolved. No downstream pathway or TF assigned.
M21A-PAIR-EVID-1875		https://pubmed.ncbi.nlm.nih.gov/?term=NRXN1+CLSTN2; PMID:12498782; PMCID:PMC4101519	human; mouse; rat	No exact NRXN1-CLSTN2 pair-specific receptor model identified	Bounded PubMed/PMC/publisher search for direct CLSTN2-neurexin binding and synaptogenic assays	No qualifying exact direct NRXN1-CLSTN2 molecular edge; calsyntenin-family similarity and CLSTN3 results were not treated as proof of CLSTN2 binding	ligand_receptor_binding_or_activation	NRXN1-CLSTN2 synaptic adhesion branch unresolved	low	NRXN1-CLSTN2 synaptic adhesion branch unresolved	CLSTN2 was characterized as a calsyntenin-family member, but the reviewed evidence did not isolate its extracellular interaction with NRXN1. No receptor-proximal relay, cellular output, or terminal TF was assigned.
M21A-PAIR-EVID-1876		PMCID:PMC3821696; PMID:25352602; PMCID:PMC7335786	human; mouse; rat; cow	COS-cell surface expression; purified ectodomains; cow brain synaptosomes; primary hippocampal neurons and Schaffer-collateral cultures	Fc binding, Scatchard analysis, calcium/EGTA dependence, pull-down, splice-site mutagenesis, co-culture recruitment, conditional Clstn3 deletion and rescue	Direct transsynaptic CLSTN3-neurexin adhesion is supported for NRXN1 alpha isoforms and, in later work, beta-neurexin/LNS interactions; the associated output is presynaptic differentiation and excitatory synapse organization, not kinase signaling	ligand_receptor_binding_or_activation;downstream_pathway_function	NRXN1 alpha/beta LNS-cadherin transsynaptic adhesion; presynaptic differentiation and excitatory synapse organization	medium-high	NRXN1 alpha/beta LNS-cadherin transsynaptic adhesion; presynaptic differentiation and excitatory synapse organization	The exact NRXN1 promoter and SS4 state in the queue row are unspecified and the literature contains discrepant CLSTN3 binding results. Results are synaptic organization/adhesion assays; no intracellular kinase relay or terminal TF occupancy was shown.
