edge_id	source_entity	relation_type	target_entity	pathway_name	effect_polarity	directionality	ligand_context	cell_type_context	compartment_context	species_context	injury_context	evidence_status	context_scope	confidence_tier	export_priority	curator_decision
M21A-E076	TNFR2-specific agonism	promotes	locomotor recovery after contusive SCI	TNFR2-SCI-repair	activating	directed	TNFR2-specific agonist	Adult rat spinal cord contusion model	spinal cord lesion to organismal functional output	rat	SCI	primary agonist infusion and behavioral outcome	A TNFR2-specific agonist improved recovery after contusive SCI; this is functional evidence and does not identify the responsible cell type or intracellular branch.	medium	medium	RETAIN_AS_TNFR2_SCI_FUNCTION_EDGE_WITH_CELLTYPE_LIMITATION
M21A-E077	TNFR2 in activated astrocytes	induces	CXCL12 expression	TNFR2-astrocyte-CXCL12-CXCR4	activating	directed	TNF	Mouse activated astrocytes in demyelinated corpus callosum	astrocyte membrane to secreted chemokine output	mouse	CNS demyelination comparator	primary receptor knockout and CXCL12 rescue	TNFR2 deficiency reduced astrocyte CXCL12 during demyelination, and CXCL12 delivery rescued OPC proliferation/myelin expression; this is CNS glial evidence, not contusion-SCI astrocyte-specific evidence.	high	medium	RETAIN_AS_TNFR2_ASTROCYTE_CXCL12_FUNCTION_EDGE
M21A-E078	IL1R2-IL1RAP decoy complex	inhibits	IL1R1-IL1RAP signaling complex assembly	IL1R2-decoy	inhibitory	directed	IL-1-alpha or IL-1-beta	Human B cells and murine EL-4-derived receptor systems	plasma membrane receptor complex	human; mouse	inflammatory comparator	primary crosslinking and chimeric receptor support	IL1R2 lacks a signaling TIR domain and competes for ligand/IL1RAP, preventing assembly of the signaling IL1R1-IL1RAP complex; this is a decoy-complex edge, not a signaling receptor edge.	high	medium	RETAIN_AS_IL1R2_DECOY_COMPLEX_EDGE
M21A-E079	IL1R2 membrane or soluble decoy	inhibits	IL-1-induced NF-kappaB/JNK signaling	IL1R2-decoy	inhibitory	directed	IL-1-alpha or IL-1-beta	Human HEK293, COS, and OVCAR-3 cells	cell surface or extracellular decoy to pathway output	human	inflammatory comparator	primary receptor shedding and decoy assays	IL1R2 is selectively shed and sequesters IL-1; the register keeps the inhibitory function separate from the IL1R1-MyD88 relay.	high	medium	RETAIN_AS_IL1R2_DECOY_FUNCTION_EDGE
M21A-E080	IL1R1-IL1RAP receptor complex	activates	astrocyte ROS and oligodendrocyte loss after SCI	IL1-SCI-astrocyte	activating	directed	IL-1-alpha	Mouse primary astrocytes and conditional SCI models	astrocyte receptor complex to paracrine injury output	mouse	SCI	primary conditional receptor deletion, ROS, oligodendrocyte-loss, and locomotor assays	Astrocyte IL1R1 signaling is sufficient for an acute SCI-associated ROS/oligodendrocyte-loss branch; this supports the SCI astrocyte branch but does not establish IL1R2 expression or function in those astrocytes.	high	medium	RETAIN_AS_IL1_SCI_ASTROCYTE_FUNCTION_EDGE_WITH_IL1R2_BOUNDARY
M21A-E081	CCR4 receptor	activates	beta-arrestin1/2 recruitment	Chemokine-CCR-biased-signaling	activating	directed	CCL17 or CCL22	Human CCR4 receptor assays	plasma membrane GPCR to arrestin complex	human	immune comparator	primary BRET recruitment and ligand comparison	CCL17 and CCL22 recruited beta-arrestin without measurable G-protein signaling in the tested background; this is a receptor-proximal biased branch, not a universal CCR4 output.	high	low	RETAIN_AS_CCR4_ARRESTIN_BIASED_BRANCH
M21A-E082	CCR7 receptor	activates	GNAI and beta-arrestin recruitment	Chemokine-CCR-biased-signaling	activating	directed	CCL19 or CCL21	Human CCR7 receptor assays	plasma membrane GPCR to G protein/arrestin complex	human	immune comparator	primary BRET and G-protein signaling comparison	Both CCL19 and CCL21 activated G-protein and beta-arrestin responses at CCR7, with ligand potency differences retained as context rather than a fixed bias weight.	high	low	RETAIN_AS_CCR7_GPROTEIN_ARRESTIN_BRANCH
M21A-E083	CXCR3A receptor	activates	GNAI	Chemokine-CXCR3-biased-signaling	activating	directed	CXCL9, CXCL10, or CXCL11	Human CXCR3A receptor assays	plasma membrane GPCR to G protein	human	immune comparator	primary receptor splice-variant and ligand signaling assays	CXCR3A coupled to GNAI for the tested ligands; the receptor splice variant is kept distinct from CXCR3B.	high	low	RETAIN_AS_CXCR3A_GPROTEIN_BRANCH
M21A-E084	CXCR3B receptor	activates	beta-arrestin2 and ERK1/2 branch	Chemokine-CXCR3-biased-signaling	context_dependent	directed	CXCL9, CXCL10, or CXCL11	Human CXCR3B receptor assays	plasma membrane GPCR to arrestin and MAPK output	human	immune comparator	primary splice-variant, beta-arrestin, and ERK assays	CXCR3B showed reduced or absent G-protein coupling with altered beta-arrestin and ERK behavior; no ligand/receptor bias is exported to SCI receiver states.	medium	low	RETAIN_AS_CXCR3B_SPLICE_VARIANT_BRANCH
M21A-E085	TGFBR1/TbetaRI receptor complex	recruits	TRAF6	TGF-beta-TRAF6-TAK1-noncanonical	activating	directed	TGF-beta	Mink lung epithelial and mouse hepatocyte signaling systems	plasma membrane receptor complex to cytoplasmic adaptor	mammal	fibrosis/repair comparator	primary receptor binding, ubiquitination, and RNAi support	Ligand-occupied TGF-beta receptor signaling supports a TGFBR1/TbetaRI-TRAF6 branch with K63-linked ubiquitination; the cited evidence does not establish that the entire TGFBR1-TGFBR2 complex is the direct TRAF6-binding unit.	high	medium	RETAIN_AS_TGFBR1_TRAF6_NONCANONICAL_EDGE
M21A-E086	TRAF6-TAK1 signaling complex	activates	MAPK8/JNK and MAPK14/p38	TGF-beta-TRAF6-TAK1-noncanonical	activating	directed	TGF-beta	Mink lung epithelial and mouse hepatocyte signaling systems	cytoplasmic kinase complex to MAPK output	mammal	fibrosis/repair comparator	primary dominant-negative, RNAi, and kinase activation support	TRAF6-TAK1 is required for TGF-beta-induced JNK/p38 activation; this is pathway-complex evidence and is not collapsed into the SMAD relay.	medium	medium	RETAIN_AS_TGFBR_TAK1_JNK_P38_EDGE
M21A-E087	BMPR2 receptor complex	activates	LIMK1	BMP-noncanonical-LIMK1	activating	directed	BMP-family ligand (BMP7-specific assignment unresolved)	Developing Xenopus laevis retinal ganglion cells and neural cultures	plasma membrane receptor to cytoskeletal kinase	Xenopus laevis	neural/development comparator	primary receptor-tail mutant and axon-growth assay	BMPR2 receptor-tail interaction with LIMK1 supports a noncanonical actin/axon branch in Xenopus retinal ganglion cells; SCI relevance and BMP7-specific assignment remain unresolved.	medium	low	RETAIN_AS_BMPR2_LIMK1_NONCANONICAL_COMPARATOR_WITH_SPECIES_LIMITATION
M21A-E088	BMP4/BMP7-BMPR signaling (paralog unresolved)	activates	SMAD1/SMAD5/SMAD8 in spinal astrocytes	BMP-SMAD-glial	activating	directed	BMP4 or BMP7	Adult rat spinal cord astrocytes and demyelinating lesions	plasma membrane receptor to nucleus	rat	CNS demyelination comparator	primary lesion immunohistochemistry, astrocyte culture, and noggin blockade	BMP4/BMP7-associated pSMAD1/5/8 and nuclear SMAD1 occurred in spinal astrocytes; the glial canonical branch is supported, but the BMPR paralog and contusion-SCI receiver weighting are not resolved.	high	medium	RETAIN_AS_BMP_ASTROCYTE_SMAD_EDGE_WITH_PARALOG_LIMITATION
M21A-E089	BMP4/BMP7-SMAD1/5/8 signaling	induces	astrocyte CSPG expression	BMP-glial-scar-function	activating	directed	BMP4 or BMP7	Adult rat spinal cord astrocyte cultures and dorsal-column lesions	astrocyte nucleus to extracellular matrix output	rat	CNS demyelination comparator	primary BMP treatment, lesion injection, and noggin inhibition	BMP signaling increased aggrecan/neurocan and other CSPG outputs in spinal astrocytes; this is a functional glial-scar edge, not a direct receptor-protein interaction.	medium	medium	RETAIN_AS_BMP_ASTROCYTE_CSPG_FUNCTION_EDGE
M21A-E090	TGF-beta-TGFBR signaling	induces	astrocyte neurocan deposition and glial-scar formation	TGF-beta-CNS-scar-function	activating	directed	TGF-beta	Mouse cortical injury and primary astrocyte systems	astrocyte receptor pathway to extracellular matrix output	mouse	CNS injury comparator	primary fibrinogen/TGF-beta activation, receptor inhibition, and astrocyte Smad2 assays	TGF-beta receptor blockade reduced astrocyte Smad2 phosphorylation and neurocan/scar outputs after CNS vascular injury; no direct contusion-SCI noncanonical branch is inferred.	medium	medium	RETAIN_AS_TGF_ASTROCYTE_SCAR_FUNCTION_EDGE
M21A-E091	PDGFR-beta receptor complex	recruits / activates	SRC	PDGF-RTK-SRC-ERK	activating	directed	PDGF-BB	NIH3T3 fibroblasts and mouse vascular smooth-muscle cells	plasma membrane receptor to cytoplasmic kinase	mouse	growth-factor comparator	primary receptor mutant, redox, and kinase assays	PDGF receptor signaling supports Src activation through receptor-associated PI3K/PKC/redox circuitry; the edge is not treated as an obligate PDGFR-to-Src-only chain.	high	medium	RETAIN_AS_PDGF_SRC_EDGE_WITH_REDox_CONTEXT
M21A-E092	PDGFR-beta receptor complex	activates	MAPK1/MAPK3	PDGF-RTK-ERK	activating	directed	PDGF-BB	NIH3T3 fibroblasts and mouse vascular smooth-muscle cells	plasma membrane receptor to cytoplasmic MAPK	mouse	growth-factor comparator	primary receptor mutant and ERK activation assays	PDGF receptor activation produces ERK1/2 signaling; adaptor and Src dependence are retained as context rather than collapsed into one direct edge.	high	medium	RETAIN_AS_PDGF_ERK_EDGE
M21A-E093	PDGF-A signaling	promotes	ERK-dependent oligodendrocyte progenitor migration	PDGF-OPC-ERK-function	activating	directed	PDGF-A	CNS oligodendrocyte progenitor cultures and developing CNS	OPC signaling to migration output	mammal	neural/repair comparator	primary migration assay, ERK inhibitor, and time-course support	PDGF-A-induced OPC migration was sustained by ERK signaling after the initial stimulus; this is a functional neural relay, not direct PDGFR adaptor evidence.	high	medium	RETAIN_AS_PDGF_OPC_ERK_FUNCTION_EDGE
M21A-E094	FGF2 signaling	activates	RHOA-YAP astrocyte proliferation program	FGF-RHOA-YAP-SCI	activating	directed	FGF2/bFGF	Mouse spinal cord astrocytes after contusive SCI	astrocyte growth-factor response to nuclear proliferation program	mouse	SCI	primary astrocyte YAP deletion, RhoA mechanism, growth-factor injection, and locomotor assays	FGF2 was linked to RhoA-YAP-dependent astrocyte proliferation and glial-scar formation after SCI; the study does not isolate an FGFR paralog or FRS2 adaptor step.	high	medium	RETAIN_AS_FGF_SCI_ASTROCYTE_FUNCTION_EDGE_WITH_FGFR_LIMITATION
M21A-E095	WNT5A-ROR2 signaling	activates	MAPK8/JNK	WNT5A-ROR2-noncanonical	activating	directed	WNT5A	Mouse spinal neurons and microglia-neuron cocultures	cell-surface noncanonical receptor complex to MAPK	mouse	CNS demyelination comparator	primary ROR2 inhibition and coculture injury assays	WNT5A-ROR2-associated noncanonical signaling increased JNK-linked responses in spinal neurons; the register does not infer a direct WNT5A-ROR2 binding edge from pathway inhibition alone.	high	low	RETAIN_AS_WNT5A_ROR2_JNK_PATHWAY_EDGE
M21A-E096	WNT5A-ROR2 signaling	promotes	spinal-neuron death in demyelinating CNS	WNT5A-ROR2-neurodegeneration	activating	directed	WNT5A or microglia-derived WNT signals	Mouse spinal neurons and EAE spinal cord	neuronal pathway to cell-death output	mouse	CNS demyelination comparator	primary EAE expression, microglia-neuron coculture, and WNT-ROR2 inhibition	Noncanonical WNT-ROR2 pathway inhibition suppressed inflammatory neuron death; this is a functional output and not a direct molecular interaction claim.	medium	low	RETAIN_AS_WNT5A_ROR2_NEURON_DEATH_FUNCTION_EDGE
M21A-E097	WNT5A-MAPK/JNK signaling	promotes	neuronal differentiation of spinal neural stem cells after SCI	WNT5A-JNK-NSC-function	activating	directed	WNT5A	Mouse spinal neural stem/progenitor cells and SCI transplantation model	stem-cell MAPK output to neuronal differentiation	mouse	SCI	primary WNT5A treatment, pJNK, miRNA, RhoA, transplantation, and motor assays	WNT5A-associated JNK signaling promoted neuronal differentiation and improved SCI repair in the tested transplantation model; the receptor complex is not resolved.	medium	medium	RETAIN_AS_WNT5A_SCI_NEURAL_FUNCTION_EDGE
M21A-E098	JAG1-NOTCH1 receptor complex	activates	STAT3	Notch1-STAT3-astrocyte	activating	directed	Jagged1	Mouse reactive astrocytes after cerebral ischemia and primary astrocyte-derived cultures	plasma membrane receptor processing to nuclear TF	mouse	CNS injury comparator	primary Notch1 conditional deletion, gamma-secretase inhibition, promoter assays, and phospho-STAT3 measurements	Jagged1/Notch1 signaling increased phospho-STAT3 in reactive astrocytes; this is downstream signaling/function evidence rather than receptor-proximal relay, and the record does not claim STAT3 is universal across CNS states.	high	medium	RETAIN_AS_JAG1_NOTCH1_STAT3_DOWNSTREAM_EDGE
M21A-E099	JAG1-NOTCH1 signaling	activates	ETBR/EDNRB transcription	Notch1-STAT3-ETBR	activating	directed	Jagged1	Mouse reactive astrocytes and primary astrocyte-derived cultures	nucleus to receptor-expression output	mouse	CNS injury comparator	primary promoter, loss-of-function, and receptor-expression assays	The Jagged1-Notch1-STAT3 axis increased EDNRB/ETBR expression in reactive astrocytes, retaining this as a downstream transcriptional branch.	medium	medium	RETAIN_AS_JAG1_NOTCH1_ETBR_BRANCH
M21A-E100	JAG1-NOTCH signaling	activates	HES5 in injured spinal cord	Jagged1-Notch-SCI	activating	directed	Jagged1	Rat spinal cord injury with endothelial progenitor cell transplantation	plasma membrane receptor processing to nuclear transcriptional output	rat	SCI	primary Jagged1 gain/loss transplantation and HES5 expression assays	Jagged1-positive endothelial progenitor cells increased Notch effector Hes5 in injured spinal cord; Delta-like-1 substitution did not reproduce the same astrogliosis effect.	medium	medium	RETAIN_AS_JAG1_NOTCH_HES5_SCI_EDGE
M21A-E101	JAG1-NOTCH signaling	promotes	reactive astrogliosis and functional recovery after SCI	Jagged1-Notch-SCI-function	activating	directed	Jagged1	Rat spinal cord injury and endothelial progenitor cell transplantation	Notch pathway to glial and organismal output	rat	SCI	primary transplantation, astrogliosis, vessel, and behavioral outcome assays	Jagged1-dependent Notch activation promoted acute astrogliosis and improved recovery in the tested SCI transplantation model; this is functional evidence, not a direct NICD interaction claim.	medium	medium	RETAIN_AS_JAG1_NOTCH_SCI_FUNCTION_EDGE
M21A-E102	NOTCH1-DLL4 versus NOTCH1-DLL1 receptor-ligand signaling	modulates	NICD-RBPJ/HES transcriptional output	Notch-ligand-selectivity	context_dependent	directed	DLL4 or DLL1	Human receptor-ligand binding and reporter systems	plasma membrane receptor-ligand complex to nucleus	human	developmental comparator	primary biochemical binding, receptor truncation, and reporter assays	NOTCH1-DLL4 displayed higher binding affinity and signaling output than NOTCH1-DLL1 in the tested systems; this is a downstream signaling comparison and does not alter Module 20A LR classifications.	high	low	RETAIN_AS_NOTCH1_DLL4_DLL1_SIGNAL_STRENGTH_BRANCH
M21A-E103	lesioned CNS astrocytes	express	CNTFR-alpha	CNTF-astrocyte-receptor-context	permissive	directed	CNTF	Rat glial-scar astrocytes and cultured hippocampal astrocytes	astrocyte membrane and glial-scar boundary	rat	CNS lesion comparator	primary receptor-localization and functional-complex assays	CNTFR-alpha localized to astrocytes at the edge of a CNS lesion, and cultured astrocytes contained a functional CNTF receptor complex capable of signal transduction; the exact LIFR-versus-OSMR branch remains unresolved.	high	medium	RETAIN_AS_CNTFR_ASTROCYTE_CONTEXT_WITH_SCI_BRANCH_LIMITATION
M21A-E104	FGF10-FGFR2 receptor complex	activates	PI3K-AKT1	FGF10-FGFR2-PI3K-AKT-SCI	activating	directed	FGF10	Rat spinal neurons and microglia/macrophages after acute SCI	plasma membrane receptor to cytoplasmic kinase	rat	acute SCI	primary receptor-expression, treatment, and kinase-signaling assays	FGF10 and FGFR2-associated PI3K-AKT signaling increased after acute SCI and FGF10 treatment protected spinal neurons; the receiver populations were neurons and microglia/macrophages rather than astrocytes, and FGFR2 adaptor ordering is not fully isolated.	high	medium	RETAIN_AS_FGFR2_SCI_KINASE_EDGE_WITH_RAT_CELLTYPE_BOUNDARY
M21A-E105	PDGFB/PDGFD-PDGFR-beta signaling	promotes	fibrotic scar formation after SCI	PDGFR-beta-fibrotic-scar-SCI	context_dependent	directed	PDGFB or PDGFD	Mouse SCI lesion with astrocytes, perivascular fibroblasts, and microglia/macrophages	growth-factor receptor pathway to extracellular matrix and lesion output	mouse	SCI	primary ligand localization, exogenous ligand, inhibitor, histology, and locomotor assays	PDGFB was mainly astrocyte-derived and PDGFD mainly macrophage/microglia- and fibroblast-derived; PDGFR-beta inhibition reduced fibrotic scar and improved recovery. This is a pathway/function edge, not a direct PDGFB-to-PDGFR-beta binding claim.	high	medium	RETAIN_AS_PDGFRB_SCI_FIBROTIC_FUNCTION_EDGE
M21A-E106	VEGF-EGFR transactivation	activates	spinal cord neural stem cell activation	VEGF-EGFR-NSC-SCI	activating	directed	VEGF	Rat spinal cord neural stem/progenitor cells after SCI	growth-factor transactivation branch to progenitor response	rat	SCI	primary VEGF treatment, receptor-inhibitor, and neural-stem-cell activation assays	VEGF promoted spinal neural stem-cell activation through EGFR transactivation in rat spinal neural stem/progenitor cells; the study does not establish a VEGFR2-to-EGFR molecular edge or an astrocyte receiver branch.	medium	medium	RETAIN_AS_VEGF_EGFR_TRANSACTIVATION_EDGE_WITH_RAT_LIMITATION
M21A-E107	VEGF-EGFR transactivation	promotes	spinal neural stem-cell proliferation and activation	VEGF-EGFR-NSC-SCI	activating	directed	VEGF	Rat spinal cord neural stem/progenitor cells after SCI	receptor-transactivation pathway to cellular output	rat	SCI	primary inhibitor and proliferation/activation assays	The VEGF-EGFR transactivation branch increased spinal neural stem-cell activation in rat SCI neural stem/progenitor cells; this is a cellular output and does not identify a VEGFR paralog-specific astrocyte branch.	medium	medium	RETAIN_AS_VEGF_EGFR_NSC_FUNCTION_EDGE_WITH_RAT_LIMITATION
M21A-E108	RYK in astrocytes	modulates	astrocyte scar-border formation and wound healing after SCI	WNT-RYK-SCI-astrocyte-function	context_dependent	directed	WNT ligand context	Astrocyte-specific Ryk conditional-knockout mice and injured mouse/human spinal cord	astrocyte receptor context to tissue-repair output	mouse; human	SCI	primary astrocyte-specific genetic deletion, histology, signaling, and wound-healing assays	Astrocytic RYK regulated scar-border morphology and wound healing after SCI; canonical WNT changes were measured, while a noncanonical PCP branch was proposed but not directly tested.	medium	medium	RETAIN_AS_RYK_ASTROCYTE_SCI_FUNCTION_EDGE_WITH_NONCANONICAL_LIMITATION
M21A-E109	DLL4-NOTCH1 signaling	activates	IL-6 transcription in reactive astrocytes	DLL4-NOTCH1-IL6-STAT3	activating	directed	DLL4	Human reactive astrocytes and mouse EAE spinal-cord astrocytes	nuclear NICD pathway to cytokine transcription	mouse; human	CNS neuroinflammation comparator	primary astrocyte-specific ligand/receptor perturbation, NICD promoter binding, and expression assays	DLL4-NOTCH1 signaling in reactive astrocytes increased IL-6 transcription through NICD interaction with the IL-6 promoter; the in vivo model is EAE rather than contusive SCI.	high	medium	RETAIN_AS_DLL4_NOTCH1_ASTROCYTE_IL6_EDGE_WITH_SCI_BOUNDARY
M21A-E110	DLL4-NOTCH1-IL6 signaling	activates	STAT3 phosphorylation and astrocyte reactivity	DLL4-NOTCH1-IL6-STAT3	activating	directed	DLL4 and IL-1-beta inflammatory context	Human reactive astrocytes and mouse EAE spinal-cord astrocytes	cytokine relay to astrocyte state output	mouse; human	CNS neuroinflammation comparator	primary DLL4 loss/gain, IL-6 receptor blockade, and pSTAT3/reactivity assays	DLL4-NOTCH1 increased IL-6-dependent STAT3 phosphorylation and reactive astrocyte markers; this is a pathway/function edge and does not establish a Notch2/3/4 branch in contusive SCI.	high	medium	RETAIN_AS_DLL4_NOTCH1_ASTROCYTE_STAT3_EDGE_WITH_PARALOG_BOUNDARY
M21A-E111	TNFR2-specific agonism	activates	PI3K-gamma	TNFR2-PI3Kgamma-neuroprotection	activating	directed	TNFR2 agonist	Adult mouse contusive SCI and E18 rat primary cortical neurons	plasma membrane receptor to cytoplasmic kinase	mouse; rat	SCI	primary agonist and inhibitor perturbation	TNFR2 activation increased neuronal protection and PI3K-gamma-linked signaling; PI3K-gamma inhibition blocked protection. This is a proximal pathway edge, not a direct protein-binding claim.	high	medium	RETAIN_AS_TNFR2_PI3KGAMMA_SCI_PROXIMAL_EDGE
M21A-E112	CSF1 from lesion-border astrocytes	promotes	microglial proliferation, wound closure, and motor recovery	CSF1-astrocyte-microglia-SCI	context_dependent	directed	CSF1	Mouse focal SCI with lesion-border astrocytes and perilesional microglia	astrocyte source to CSF1-linked microglial and tissue-repair output	mouse	focal SCI	primary cell-source, conditional knockout, and outcome assays	Lesion-border astrocytes upregulated CSF1, and astrocyte-targeted Csf1 deletion reduced microglial proliferation, wound closure, and motor recovery. This is CSF1-linked/CSF1-requiring functional pathway evidence; the focal-SCI experiment did not directly perturb CSF1R.	high	medium	RETAIN_AS_CSF1_ASTROCYTE_MICROGLIA_SCI_FUNCTION_EDGE
M21A-E113	IFN-beta-IFNAR signaling in astrocytes	promotes	astrocyte survival, border formation, wound healing, and motor recovery	IFNbeta-IFNAR-astrocyte-SCI	activating	directed	IFN-beta	Mouse focal SCI with lesion-border astrocytes and microglia	microglial IFN-beta source to astrocyte IFNAR pathway and repair outputs	mouse	focal SCI	primary cell-source, astrocyte-specific receptor deletion, and outcome assays	Microglial IFN-beta supported astrocyte survival, while astrocyte Ifnar1 disruption impaired border formation, wound healing, and recovery. This is downstream functional evidence and does not establish a direct IFNAR-JAK kinase edge; its Q010 cross-reference is retained in the layer/unresolved registers.	high	medium	RETAIN_AS_IFNBETA_IFNAR_ASTROCYTE_SCI_FUNCTION_EDGE
M21A-E114	IL-6	binds	IL-6R-gp130 receptor complex	IL6-gp130-receptor-complex	activating	directed	IL-6	Reconstituted human IL-6 receptor ectodomain systems	extracellular ligand to plasma-membrane receptor complex	human	cytokine comparator	primary receptor-complex structural and binding assays	IL-6/IL-6R/gp130 complex architecture is directly supported; this edge does not infer JAK/STAT activation or SCI relevance.	high	medium	RETAIN_AS_IL6_IL6R_GP130_COMPLEX_BINDING_EDGE
M21A-E115	CNTF	binds	CNTFR-alpha-gp130-LIFR receptor complex	CNTF-gp130-JAK-STAT3	activating	directed	CNTF	Human receptor-mutant and receptor-reconstituted cell systems	extracellular ligand to plasma-membrane receptor complex	human	cytokine comparator	primary receptor-mutant and cell-signaling assays	CNTF receptor-complex formation and LIFR-dependent signaling are supported; CLCF1/CRLF1 and injured-SCI receptor-subunit usage remain unresolved.	high	medium	RETAIN_AS_CNTF_CNTFR_GP130_LIFR_COMPLEX_BINDING_EDGE
M21A-E116	IFN-alpha/beta	binds	IFNAR1-IFNAR2 receptor complex	IFN-type-I-JAK-STAT-IRF	activating	directed	IFN-alpha/beta	Human receptor-mutant, biochemical, and reconstituted cell systems	extracellular ligand to plasma-membrane receptor complex	human	cytokine comparator	primary receptor association and ligand-induced activation assays	Type-I interferon receptor engagement is supported; the graph does not establish an injured-SCI astrocyte kinase relay.	high	medium	RETAIN_AS_IFNAR_LIGAND_RECEPTOR_COMPLEX_EDGE
M21A-E117	IFN-gamma	binds	IFNGR1-IFNGR2 receptor complex	IFN-type-II-JAK-STAT	activating	directed	IFN-gamma	Engineered human receptor-component cell systems	extracellular ligand to plasma-membrane receptor complex	human	cytokine comparator	primary receptor-component cross-linking, truncation, and signaling assays	IFN-gamma receptor-complex engagement and JAK/STAT activation are supported; Pyk2/ERK remains a separate branch.	high	medium	RETAIN_AS_IFNGR_LIGAND_RECEPTOR_COMPLEX_EDGE
M21A-E118	TNF	engages	TNFR1/p55 receptor	TNF-NF-kappaB-MAPK-death	activating	directed	TNF	Human TNFR-transfected HEK293 receptor systems	extracellular ligand to plasma-membrane receptor	human	cytokine comparator	primary radiolabeled and receptor-expression binding assays	Radiolabeled TNF binding to transfected TNFR1/p55 is directly supported; downstream TNFR1 complex, TRADD, NF-kappaB, and death branches remain separate edges.	high	medium	RETAIN_AS_TNF_TNFR1_P55_LIGAND_BINDING_EDGE
M21A-E119	TNF	binds	TNFR2 receptor complex	TNFR2-TRAF2-NF-kappaB	activating	directed	TNF	Human TNFR2 structural and receptor-aggregation systems	extracellular ligand to plasma-membrane receptor	human	cytokine comparator	primary structural, receptor-aggregation, and ligand-form comparison assays	TNFR2 engagement is supported, with membrane/oligomerized TNF context important; it does not establish direct TNFR2-PI3Kgamma binding.	high	medium	RETAIN_AS_TNF_TNFR2_LIGAND_BINDING_EDGE
