context_id	study_id	injury_model	injury_level	injury_severity	sex	timepoint_value	timepoint_unit	tissue	injury_distance	injury_distance_unit	sample_scope	cell_type	experimental_condition	study_perturbation_status	protein_observation_count	protein_state_observation_count	protein_expression_observation_count	numeric_observation_count	missing_core_fields	missing_secondary_fields	core_context_completeness	secondary_context_completeness	refinement_priority
sci:protein:279e1fe4328ab588	FLOW_SCI_302	adult mouse spinal cord contusion injury	not reported in the accessible abstract	contusion; exact impact parameters not transcribed in this pass	not reported in this pass	7	day	injured spinal cord			cytosolic spinal-cord extract	injured mouse spinal cord	SCI versus control	caspase inhibitor intervention arm; observational activity time course retained	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:28199ef491ebab92	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	R800 relative to lesion epicenter (-800 µm)	-800	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Control; AAV-transduced region; distance R800	Zeb2os perturbation	1	1	0	1		sex;sample_count	9/9	3/5	medium
sci:protein:28982a9bff2e6ebf	FLOW_SCI_180	contusive spinal cord injury in Swiss Albino female mice; T9 laminectomy with T10 segment stabilized	thoracic T9/T10 region	not reported in first-pass extraction	female	3	day	6 mm segment containing contusive epicenter			OX42-positive microglia/macrophages in the contusion injury epicenter	OX42-positive microglia/macrophages	SCI	local PD168393 EGFR inhibition versus vehicle	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:28ee55fa4c016f6f	FLOW_SCI_251	in vivo thoracic contusion spinal cord injury	thoracic; exact level not extracted in current pass	not reported in current pass	not reported in current pass	3	day	injury-centered spinal cord			mouse injury-centered spinal cord	injury-centered spinal cord lysate	SCI	myeloid fibronectin conditional deletion and collagen1alpha1-GFP lineage context; wild-type injury time course retained	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:29e557db054d88b8	FLOW_SCI_174	Dorsal column crush or transection at the upper thoracic cord in adult BALB/c, 129sv, and p75NTR-knockout mice.	T8-T9 region	dorsal column crush/transection	not extracted	0	day	dorsal horn and medial dorsal column; corticospinal tract negative localization			ascending sensory axons and dorsal-column structures	ascending sensory axons and dorsal column structures	normal uninjured mouse spinal cord	p75NTR knockout and local soluble p75NTR-Fc treatment	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:2aa6180f4969c661	FLOW_SCI_235	mouse spinal cord injury with electroacupuncture and Neurocan knockdown intervention arms	not reported in first-pass extraction	not reported in first-pass extraction	not reported in first-pass extraction	14	day	injury epicenter			mouse injury-centered spinal-cord tissue	injury epicenter spinal cord	SCI versus sham; treatment-stratified	electroacupuncture and shNCAN/shRNA intervention; no untreated dense time course	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:2aeec9d048e244d5	FLOW_SCI_011	moderate-to-severe thoracic contusion; T8 laminectomy; MASCIS 10 g weight dropped 25 mm	T8	moderate_to_severe	unknown	7	day	1 cm spinal-cord segment centered on impact site			1-cm spinal-cord segment centered on the impact site	CD3+CD4+ T cells	SCI; FTY720 versus vehicle	FTY720, 1 mg/kg daily intraperitoneally	1	0	1	1		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:2b3f6ad24992097b	FLOW_SCI_155	mouse SCI in wild-type and astroglial IκBα-dn mice	thoracic; exact level pending extraction	experimental SCI; exact injury force pending extraction	not fully extracted	42	day	injury-centered spinal cord			injury-site spinal cord tissue	injured spinal cord protein extract	wild-type SCI versus IκBα-dn SCI and naive control	astroglial NF-κB inhibition via IκBα-dn transgenic mice	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:2c03a389584d52fd	FLOW_SCI_101	clip-compressive SCI at T9 after T8-T10 laminectomy; a 30 g vascular clip was applied for 10 seconds	T9	clip-compression; severity is defined by clip force and duration	male	3	day	1 cm lesion-centered spinal cord tissue			lesion-centered spinal-cord homogenate	lesion-centered spinal cord homogenate	SCI; PXR genotype comparison	PXR knockout and pharmacologic PXR activation with PCN	2	0	2	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:2c5431f818cd0af8	FLOW_SCI_251	in vivo thoracic contusion spinal cord injury	thoracic; exact level not extracted in current pass	not reported in current pass	not reported in current pass	7	day	injury-centered spinal cord			mouse injury-centered spinal cord	injury-centered spinal cord lysate	SCI	myeloid fibronectin conditional deletion and collagen1alpha1-GFP lineage context; wild-type injury time course retained	2	0	2	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:2c774bc003df6ebf	FLOW_SCI_431	in vivo left thoracic spinal cord hemisection	T10 spinal cord	complete left hemisection; no impact force reported	female	3	day	lesion-side thoracic spinal cord	0	mm; lesion side	injured-side spinal-cord sections centered on hemisection lesion	injury-side spinal cord tissue	hemisection versus sham; injured and contralateral sides	sham-operated and contralateral-side controls; no therapeutic perturbation in the protein observations	2	0	2	1			9/9	5/5	complete
sci:protein:2c82798b29714dbb	FLOW_SCI_120	in-vivo thoracic spinal cord injury; exact injury paradigm not captured in this pass	thoracic; exact level not captured in this pass	not reported in first-pass extraction	unknown	7	day	lesion/perilesional thoracic cord			lesion/perilesional thoracic spinal-cord sections	Olig2-positive cells	SCI	conditional Olig2 deletion and reporter-line experiments	1	0	1	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:2d7006ded0df0970	FLOW_MSCS_ITDB_000005	C5 dorsal column lesion	C5			1	day	within 250 µm of lesion border; Ryk/GFAP co-stained tissue	250	micrometer	mixed_cell_population	unassigned or bulk sample	SCI 1 dpi; Rykfl/fl GFAPcreERT2; C5 dorsal-column lesion study	astrocytic Ryk signaling perturbation	1	0	1	1		injury_severity;sex	9/9	3/5	medium
sci:protein:2db3cc82c0cf010f	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	R400 relative to lesion epicenter (-400 µm)	-400	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Control; AAV-transduced region; distance R400	Zeb2os perturbation	1	1	0	1		sex;sample_count	9/9	3/5	medium
sci:protein:2dbda5adc203fa89	FLOW_SCI_442	in vivo traumatic spinal cord injury; T9 compressive injury	T9	compression with No. 5 Dumont forceps, 0.4 mm maximum closure for 60 s	female; C57BL/6 background	7	day	T9 lesion site			whole_tissue	lesion-site spinal cord protein extract	injured	Snx27 haploinsufficiency versus wild-type; sham and injured controls retained	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:2de744de055ef000	FLOW_MSCS_ITDB_000071	P2/P7 neonatal spinal cord crush injury at T10	T10	full crush for 2 seconds with forceps; forceps width 0.1 mm in the last 5 mm of the tips		7	day	neonatal P2 spinal-cord crush lesion; Figure 2 quantitative IF panel			whole_tissue	unassigned or bulk sample	Control	microglia manipulation	1	0	1	1		sex;injury_distance;injury_distance_unit	9/9	2/5	medium
sci:protein:2e7615710fa26732	FLOW_SCI_346	in vivo traumatic spinal cord injury; lesion region T8-T10	T8-T10 lesion region	not reported in current pass	not reported in current pass	14	day	ventral motor-neuron region and lesion-centered cord			ventral motor-neuron region/lesion epicenter	NeuN-positive ventral motor neurons	SCI	tryptanthrin treatment versus DMSO vehicle after SCI	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:2ecae50cb7affcb7	FLOW_SCI_347	in vivo severe thoracic T9 contusion spinal cord injury with lumbar-cord assessment	T9 thoracic contusion; lumbar tissue analyzed for remote response	severe contusion	not reported in current pass	7	day	lumbar spinal cord remote from thoracic lesion			lumbar spinal cord tissue	NeuN-positive neurons	SCI	natural-history time course; no molecular treatment	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:2ed90c72c1d72b38	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	3	day	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Severe SCI	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:31c3120dd473ade5	FLOW_SCI_330	adult mouse spinal cord lesion/dorsal-column injury; exact lesion geometry requires full-text extraction	not reported in first-pass extraction	not reported in first-pass extraction	not reported in first-pass extraction	7	day	rostral and caudal spinal cord around lesion			regional spinal-cord tissue around lesion	gray and white matter around lesion	wild-type SCI	Tnc knockout and TNC-fnD rescue/overexpression arms; wild-type injury trajectory retained	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:33a5c7e120dc8ac9	FLOW_SCI_263	dorsal T9 microknife hemisection/transection model in adult female C57BL/6J mice and Jnk1/Jnk3 knockout mice	T9	1.3-mm-deep dorsal lesion transecting the main and dorsolateral corticospinal tracts	female	3	day	injured T9 spinal cord tissue and lesioned corticospinal tract	0	mm	whole_tissue	injured spinal cord tissue	wild-type SCI versus sham; Jnk1/Jnk3 genotype context	wild-type versus Jnk1- or Jnk3-deficient mice; pan-JNK inhibition context	1	1	0	0		sample_count	9/9	4/5	medium
sci:protein:34934c6ceec89548	FLOW_SCI_022	T10 Allen weight-drop contusion spinal cord injury	T10	5-g weight dropped from 8 cm; reported injury energy 40 g x cm	adult male Sprague-Dawley rats, 65 days, 225-275 g	1	hours	injured spinal cord and peripheral serum			injury-site spinal-cord tissue	injured spinal cord tissue	sham-operated and SCI groups	observational acute time course	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:34ab97cdf0a5b916	FLOW_SCI_232	thoracic spinal cord injury with retrograde labeling of long and short propriospinal neurons	thoracic injury; cervical enlargement analyzed for propriospinal neurons	not reported in first-pass extraction	not reported in first-pass extraction	14	day	cervical enlargement			mouse cervical spinal-cord sections	Fluoro-Ruby-labeled long propriospinal neurons	SCI	Nrp1 conditional genetic/lineage perturbation and axon-tracing context; Sema3A observation is a sham-versus-SCI comparison	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:34ba104d2b4cf924	FLOW_SCI_102	T10 weight-drop SCI in mice with or without streptozotocin/high-fat-high-sucrose diet-induced diabetes; exact weight-drop force/height not captured in first pass	T10	weight-drop contusion; exact severity parameter not captured in first pass	female	7	day	lesion-centered spinal cord section			lesion-centered spinal-cord sections	NeuN-positive neurons	SCI; non-diabetic and diabetic groups with MST1 perturbation	diabetes comorbidity and AAV-mediated MST1 knockdown; pharmacologic pathway experiments were also performed in PC12 cells	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:34e841e85d4c3b9e	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	R800 relative to lesion epicenter (-800 µm)	-800	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Control; AAV-transduced region; distance R800	Zeb2os perturbation	1	0	1	1		sex;sample_count	9/9	3/5	medium
sci:protein:351889bb34bacb0a	FLOW_SCI_344	in vivo contusion traumatic spinal cord injury at the T9 vertebral level	T9 vertebral level	multiple injury severities; exact impact parameters not extracted in current pass	not reported in current pass	3	day	ventral white matter and lesion-centered spinal cord			ventral/lateral white-matter tract and lesion-centered spinal cord	myelin sheaths	SCI	injury-severity comparison without molecular treatment	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:36827b5385825b40	FLOW_SCI_334	mouse spinal cord injury followed by native-tissue ECM time-course characterization and decellularized-scaffold analysis	not reported in first-pass extraction	not reported in first-pass extraction	not reported in first-pass extraction	14	day	injury-centered spinal cord			injured spinal-cord tissue sections	injury-centered spinal cord matrix	SCI	decellularization is a downstream scaffold intervention; native SCI time course retained	4	0	4	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:37902782c8b1aa7b	FLOW_SCI_140	moderate thoracic contusion SCI	thoracic; exact vertebral level requires extraction	moderate; 50 kdyn contusion in the primary SCI experiments	unknown	0	day	normal mouse CNS-derived primary cell populations			membrane-protein extracts from primary CNS cell cultures or bEnd.3 cells	microglia	uninjured CNS reference cell extracts	Il1r1-null and cell-specific Il1r1 restoration/deletion; IL-1alpha and anakinra mechanistic experiments	1	0	1	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:37bd10c3ab58f570	FLOW_SCI_135	T10 contusion spinal cord injury using the Louisville Injury System Apparatus	T10	0.5 mm displacement contusion at 1.0 m/s	male and female	2	week	thoracic injury region			thoracic spinal-cord tissue homogenate	thoracic spinal cord tissue	SCI	AAV-KLF7 overexpression	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:37c4f61c63c10ebe	FLOW_SCI_174	Dorsal column crush or transection at the upper thoracic cord in adult BALB/c, 129sv, and p75NTR-knockout mice.	T8-T9 region	dorsal column crush/transection	not extracted	3	day	dorsal horn, dorsal column, lesion site, and tissue rostral to lesion			ascending sensory axons and dorsal-column structures	ascending sensory axons and dorsal column structures	dorsal column injury; wild-type versus p75NTR-deficient context	p75NTR knockout and local soluble p75NTR-Fc treatment	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:38023690bb9bada9	FLOW_SCI_240	vascular-clip compression injury after T6-T7 laminectomy	T6-T7	clip compression for 1 minute; severity not otherwise quantified	not reported in accessible record	1	day	injured spinal cord tissue			methanol extract of injury-centered spinal-cord tissue	spinal cord tissue	SCI versus sham; vehicle, zileuton, or montelukast arms	SCI vehicle versus zileuton or montelukast treatment	2	0	2	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:38811d49a3ea3b9d	FLOW_SCI_175	Thoracic spinal cord injury in adult wild-type and 5-HT2C receptor loss-of-function mice; exact injury parameters pending extraction.	thoracic; exact level pending extraction	traumatic SCI; exact severity pending extraction	male and female	10	week	sacral spinal cord section			whole-tissue spinal cord homogenate	sacral spinal cord homogenate	uninjured littermate controls versus chronic T10-transection SCI; male/female wild-type and 5-HT2C receptor knockout groups	Htr2c loss-of-function genotype versus wild-type, with sex-stratified analysis	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:38a46aa8a1962dd7	FLOW_SCI_384	in vivo T10 contusive spinal cord injury	T10	contusion; exact impact parameters pending extraction	not reported in current extraction	7	day	peri-injury spinal cord			spatial_tissue	Iba1-positive microglia	WT + DT	Treg depletion, Cd74 genetic ablation, and OPN axis experiments; mouse SCI controls retained	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:38cb10e629c8a794	FLOW_SCI_071	L1/L2 moderate spinal cord crush injury using Dumont forceps	L1/L2	0.4 mm residual closure; 10-second bilateral lateral compression	unknown	2	day	peri_lesion			cell_population	GFAP-Cre reporter-positive astrocytes	SCI	astrocyte-specific STAT3 conditional knockout and GFAP-Cre reporter	1	1	0	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:398ecec79aef03cc	FLOW_SCI_134	T9-T10 lateral hemisection with immediate lenti-Gsx1-RFP injection	T9-T10	lateral hemisection	male and female when possible	3	day	lesion and adjacent injection sites			RFP-positive virally transduced cells in lesion/injection-site spinal cord	RFP-positive virally transduced cells	SCI plus lenti-Gsx1 or control	lentiviral Gsx1 overexpression versus reporter control	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:3a2f6379bd9fb6b3	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	C800 relative to lesion epicenter (800 µm)	800	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance C800	Zeb2os perturbation	1	0	1	1		sex;sample_count	9/9	3/5	medium
sci:protein:3af93b26edd32aa9	FLOW_SCI_180	contusive spinal cord injury in Swiss Albino female mice; T9 laminectomy with T10 segment stabilized	thoracic T9/T10 region	not reported in first-pass extraction	female	3	day	6 mm segment containing contusive epicenter			GFAP-positive astrocytes in the contusion injury epicenter	GFAP-positive astrocytes	SCI	local PD168393 EGFR inhibition versus vehicle	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:3c14c8bfc59071e8	FLOW_SCI_464	in vivo T9 thoracic contusion spinal cord injury	T9	thoracic contusion; exact force pending extraction	male and female C57BL/6J mice; adolescent 3-month and aged 18-month cohorts	60	day	plasma			mouse plasma after thoracic T9 contusion SCI	circulating plasma	SCI versus uninjured controls	age and sex comparison; uninjured age-matched controls	2	0	2	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:3c39b15cde750936	FLOW_SCI_347	in vivo severe thoracic T9 contusion spinal cord injury with lumbar-cord assessment	T9 thoracic contusion; lumbar tissue analyzed for remote response	severe contusion	not reported in current pass	0	day	lumbar spinal cord			lumbar spinal cord tissue	NeuN-positive neurons	uninjured	natural-history time course; no molecular treatment	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:3c7c6d20440012b1	FLOW_SCI_444	in vivo traumatic spinal cord hemisection	thoracic; exact level pending extraction	hemisection; exact surgical coordinates pending extraction	not reported in current extraction	5	day	hemisection lesion and adjacent cord			whole_tissue	MAP2-positive neurons	injured	recombinant human G-CSF treatment versus untreated SCI; 3-MA and mechanical-injury culture experiments excluded from in-vivo observations	2	0	2	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:3ca824550246f8bc	FLOW_SCI_384	in vivo T10 contusive spinal cord injury	T10	contusion; exact impact parameters pending extraction	not reported in current extraction	7	day	peri-injury spinal cord			spatial_tissue	Iba1-positive microglia	Foxp3-DTR + DT	Treg depletion, Cd74 genetic ablation, and OPN axis experiments; mouse SCI controls retained	2	0	2	2		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:3d09688c2e9b0529	FLOW_SCI_384	in vivo T10 contusive spinal cord injury	T10	contusion; exact impact parameters pending extraction	not reported in current extraction	7	day	peri-injury spinal cord			spatial_tissue	Iba1-positive microglia	CD74 KO	Treg depletion, Cd74 genetic ablation, and OPN axis experiments; mouse SCI controls retained	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:3d3a92511e7ef660	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	C400 relative to lesion epicenter (400 µm)	400	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Control; AAV-transduced region; distance C400	Zeb2os perturbation	1	1	0	1		sex;sample_count	9/9	3/5	medium
sci:protein:3d6c22dbd760e720	FLOW_SCI_197	T8 lateral-forceps crush injury	T8	moderate crush using forceps with a 0.4 mm spacer	female	0	day	ependymal layer/central canal			adult mouse spinal-cord central-canal tissue	adult spinal cord neural stem/progenitor cells around central canal	adult uninjured mouse spinal cord	CORT125281 glucocorticoid-receptor inhibitor on days 0-2 post-SCI	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:3d7fec89f3c7d3dc	FLOW_SCI_114	in-vivo mouse spinal cord injury model; exact contusion parameters not extracted in this pass	thoracic; exact level pending	experimental SCI	unknown	7	day	injury-site spinal cord tissue			day-7 injury-site spinal-cord sections	IBA1-positive microglia	SCI versus sham; shCebpb/shFcgr1 where specified	intramedullary shCebpb/shFcgr1 and VX765 pyroptosis-inhibition arms	1	0	1	0		sex;injury_distance;injury_distance_unit	9/9	2/5	medium
sci:protein:3da98044d7973962	FLOW_SCI_521	mouse spinal cord injury with microglial RhoA conditional knockout; exact injury parameters pending extraction	not reported in current extraction	not reported in current extraction	not reported in current extraction	7	day	lesion-centered spinal cord	0	mm	mixed_cell_population	IBA1-positive microglia	SCI versus sham; floxed control and microglial RhoA conditional knockout arms	microglia-specific RhoA conditional knockout versus floxed control	1	0	1	0			9/9	5/5	complete
sci:protein:3dcec9fd526d24ac	FLOW_SCI_022	T10 Allen weight-drop contusion spinal cord injury	T10	5-g weight dropped from 8 cm; reported injury energy 40 g x cm	adult male Sprague-Dawley rats, 65 days, 225-275 g	1	hours	injured spinal cord and peripheral serum			injury-site spinal-cord tissue	peripheral serum	sham-operated and SCI groups	observational acute time course	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:3dd0022bcd4d0644	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	3	day	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Moderate SCI	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:3e9898923bb591d8	FLOW_SCI_530	traumatic contusion SCI in TNFR1-null, TNFR2-null, and wild-type mice	thoracic; exact level pending extraction	contusion; exact force pending extraction	not reported in this pass	1	day	lesion and 1 mm rostral spinal cord			cell-resolved lesion sections	NeuN-positive neurons and RIP-positive oligodendrocytes	wild-type versus TNFR1-null/TNFR2-null SCI	TNFR1/TNFR2 genetic deletion; receptors are not encoded as measured abundance	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:3ffacca203aba13a	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	12	hour	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Severe SCI	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:405beb6cad73101d	FLOW_SCI_246	mid-thoracic contusion spinal cord injury	mid-thoracic	contusion; exact force requires Methods extraction	not reported in accessible search record	28	day	lumbar dorsal horn below the injury level			mouse lumbar dorsal-horn spinal-cord tissue	dorsal-horn astroglial glutamate transporters	SCI vehicle versus ODN 2088 treatment	SCI vehicle versus intrathecal TLR9 antagonist ODN 2088	2	0	2	2		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:406dfc24f1876439	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	24	hour	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Mild SCI	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:408bff1cedbf1737	FLOW_SCI_094	traumatic spinal cord injury; mouse in-vivo injury model				7	day	spinal cord tissue			injured spinal-cord tissue lysate	spinal cord tissue	SCI with or without diarylpropionitrile	diarylpropionitrile treatment	1	0	1	0	injury_level	injury_severity;sex;injury_distance;injury_distance_unit	8/9	1/5	high
sci:protein:412a3454334764d1	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	3	day	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Severe SCI	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:413ea3e80e2022b2	FLOW_MSCS_ITDB_000006	75 kdyne T9 contusion spinal cord injury	T9	75 kdyne contusion	young female mice	35	dpi	T9 contusion spinal cord; Figure 1 ROI			whole_tissue	unassigned or bulk sample	PLX5622 diet	microglia depletion	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:41ea33fd7056c587	FLOW_MSCS_ITDB_000032	traumatic spinal cord injury				7	day	T8 lesion site			mixed_cell_population	unassigned or bulk sample	T8 dorsal-column transection SCI; Cx3cr1-CreER INTACT reporter validation	HDAC3 activity perturbation	1	0	1	1	injury_level	injury_severity;sex;injury_distance;injury_distance_unit;sample_count	8/9	0/5	high
sci:protein:420eaf29b3b993e4	FLOW_MSCS_ITDB_000005	C5 dorsal column lesion	C5			3	day	within 250 µm of lesion border; Ryk/GFAP co-stained tissue	250	micrometer	mixed_cell_population	unassigned or bulk sample	SCI 3 dpi; Ryk+/+ GFAPcreERT2; C5 dorsal-column lesion study	astrocytic Ryk signaling perturbation	1	0	1	1		injury_severity;sex	9/9	3/5	medium
sci:protein:4239d4edc0cc282a	FLOW_SCI_260	60-kdyne T10 contusive spinal cord injury in adult female C57BL/6 mice	T10	moderate-to-severe contusion; 60 kdyne Infinite Horizon impact	female	24	hour	injury-centered spinal cord sections and homogenate	1.5	mm caudal; additional 5-mm field	injury-centered spinal cord tissue	NeuN-positive neurons	SCI or sham; vehicle versus U0126 ERK1/2 inhibitor	vehicle SCI versus sham; U0126 ERK1/2 inhibition; cPLA2 knockout arms	1	1	0	0			9/9	5/5	complete
sci:protein:42477627e3db5ad6	FLOW_SCI_110	70-kdyn thoracic contusion spinal cord injury	thoracic	moderate contusion; exact level not extracted in this pass	unknown	7	day	lesion and perilesional thoracic spinal cord			lesion and perilesional spinal-cord sections	CD68-positive macrophages	WT SCI versus uninjured context	IRF8-null mice, bone-marrow chimeras, C5a injection, and macrophage-transfer experiments	1	0	1	0		sex;injury_distance;injury_distance_unit	9/9	2/5	medium
sci:protein:42d5d6cf55abb211	FLOW_SCI_421	T11 contusive spinal cord injury using Infinite Horizon impactor	T11	60 kdyn contusion	female	24	hours	lesion-centered spinal cord homogenate			whole_tissue	5 mm lesion-centered spinal cord homogenate	injured	human IL-37 transgenic mice versus wild-type; recombinant IL-37 treatment arms also present	2	0	2	2		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:43bbf50766f6395c	FLOW_SCI_284	female C57BL/6J T10 contusion SCI	T10	contusion; exact impact parameters pending Methods extraction	female	7	day	T10 injured spinal cord tissue			injury-centered spinal-cord tissue lysate	injured spinal cord tissue	SCI plus vehicle or ruxolitinib versus sham	ruxolitinib treatment versus vehicle and sham controls	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:43e392d73a359cca	FLOW_SCI_142	70-kdyn thoracic contusion SCI using the Infinite Horizon impactor	thoracic; exact level requires extraction	moderate-to-severe contusion; 70 kdyn	female	1	day	lesion and peri-lesion spinal cord			lesion/peri-lesion spinal-cord sections	infiltrating neutrophils	SCI versus sham	C3ar1 knockout, bone-marrow chimeras, CXCR2 antagonist, and neutrophil depletion	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:4652eddf4a506fe1	FLOW_SCI_080	Moderate thoracic contusion SCI using an electromagnetic spinal cord injury device	T8-T10 laminectomy interval	2,000 dynes moderate contusion	adult female mice, 3-4 months, 20-24 g	1	hour	injured spinal cord extract			bulk injured spinal-cord extract	spinal cord protein extract	wild-type SCI versus sham; GFAP-IκBα-dn comparison	astrocyte-restricted dominant-negative IκBα transgene versus wild-type controls	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:46a75b44d4f2200f	FLOW_SCI_533	moderate T9 contusion SCI; 80 kdyn	T9	moderate contusion	female	7	day	lesion-centered spinal cord lysate and perilesional area			T9 contusion spinal cord lysate	spinal cord lysate	wild-type SCI versus sham	Hcar2 knockout and niacin treatment; untreated trajectory retained	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
