observation_id	study_id	timepoint_id	population_id	protein	gene_symbol	assay	measurement_kind	protein_form	protein_resolution	extraction_status	evidence_grade	evidence_status	post_injury_value	timepoint_unit	tissue_region	injury_distance	injury_distance_unit	condition	perturbation_status	injury_model	injury_severity	injury_level	sex	reported_label	sample_scope	source_location	source_repository_accession	gap_reason
FLOW_SCI_033__O25	FLOW_SCI_033	FLOW_SCI_033__T1	FLOW_SCI_033__P4	CD45	Ptprc	flow_cytometry	mean fluorescence intensity	cell_associated	cell_population	primary_source_checked_ambiguous	A_direct_cell_population_protein	candidate	1.0	day	lesion-centered spinal cord tissue and acute flow suspension			SCI	none for the primary mouse time-course cohort; human postmortem/CSF validation is secondary context	moderate thoracic contusion SCI	75 kDyn contusion	T9	male and female C57BL/6J mice; exact acute-panel balance not extracted	granulocytes	cell_population	PMC9220050, Figures 3-5 and acute flow cytometry panels		source_extraction_not_final
FLOW_SCI_033__O26	FLOW_SCI_033	FLOW_SCI_033__T3	FLOW_SCI_033__P4	CD45	Ptprc	flow_cytometry	mean fluorescence intensity	cell_associated	cell_population	primary_source_checked_ambiguous	A_direct_cell_population_protein	candidate	3.0	day	lesion-centered spinal cord tissue and acute flow suspension			SCI	none for the primary mouse time-course cohort; human postmortem/CSF validation is secondary context	moderate thoracic contusion SCI	75 kDyn contusion	T9	male and female C57BL/6J mice; exact acute-panel balance not extracted	granulocytes	cell_population	PMC9220050, Figures 3-5 and acute flow cytometry panels		source_extraction_not_final
FLOW_SCI_033__O3	FLOW_SCI_033	FLOW_SCI_033__T1	FLOW_SCI_033__P1	TNFR1	Tnfrsf1a	electrochemiluminescence_multiplex	electrochemiluminescent_concentration	soluble protein	bulk tissue multiplex assay	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	lesion-centered spinal cord tissue and acute flow suspension			SCI	none for the primary mouse time-course cohort; human postmortem/CSF validation is secondary context	moderate thoracic contusion SCI	75 kDyn contusion	T9	male and female C57BL/6J mice; exact acute-panel balance not extracted	spinal cord tissue homogenate	spinal-cord tissue homogenate	PMC9220050, Figures 3-5 and acute flow cytometry panels		source_extraction_not_final
FLOW_SCI_033__O4	FLOW_SCI_033	FLOW_SCI_033__T3	FLOW_SCI_033__P1	TNFR1	Tnfrsf1a	electrochemiluminescence_multiplex	electrochemiluminescent_concentration	soluble protein	bulk tissue multiplex assay	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	lesion-centered spinal cord tissue and acute flow suspension			SCI	none for the primary mouse time-course cohort; human postmortem/CSF validation is secondary context	moderate thoracic contusion SCI	75 kDyn contusion	T9	male and female C57BL/6J mice; exact acute-panel balance not extracted	spinal cord tissue homogenate	spinal-cord tissue homogenate	PMC9220050, Figures 3-5 and acute flow cytometry panels		source_extraction_not_final
FLOW_SCI_033__O5	FLOW_SCI_033	FLOW_SCI_033__T1	FLOW_SCI_033__P1	TNFR2	Tnfrsf1b	electrochemiluminescence_multiplex	electrochemiluminescent_concentration	soluble protein	bulk tissue multiplex assay	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	lesion-centered spinal cord tissue and acute flow suspension			SCI	none for the primary mouse time-course cohort; human postmortem/CSF validation is secondary context	moderate thoracic contusion SCI	75 kDyn contusion	T9	male and female C57BL/6J mice; exact acute-panel balance not extracted	spinal cord tissue homogenate	spinal-cord tissue homogenate	PMC9220050, Figures 3-5 and acute flow cytometry panels		source_extraction_not_final
FLOW_SCI_033__O6	FLOW_SCI_033	FLOW_SCI_033__T3	FLOW_SCI_033__P1	TNFR2	Tnfrsf1b	electrochemiluminescence_multiplex	electrochemiluminescent_concentration	soluble protein	bulk tissue multiplex assay	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	lesion-centered spinal cord tissue and acute flow suspension			SCI	none for the primary mouse time-course cohort; human postmortem/CSF validation is secondary context	moderate thoracic contusion SCI	75 kDyn contusion	T9	male and female C57BL/6J mice; exact acute-panel balance not extracted	spinal cord tissue homogenate	spinal-cord tissue homogenate	PMC9220050, Figures 3-5 and acute flow cytometry panels		source_extraction_not_final
FLOW_SCI_033__O7	FLOW_SCI_033	FLOW_SCI_033__T1	FLOW_SCI_033__P1	IL-1beta	Il1b	electrochemiluminescence_multiplex	electrochemiluminescent_concentration	soluble protein	bulk tissue multiplex assay	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	lesion-centered spinal cord tissue and acute flow suspension			SCI	none for the primary mouse time-course cohort; human postmortem/CSF validation is secondary context	moderate thoracic contusion SCI	75 kDyn contusion	T9	male and female C57BL/6J mice; exact acute-panel balance not extracted	spinal cord tissue homogenate	spinal-cord tissue homogenate	PMC9220050, Figures 3-5 and acute flow cytometry panels		source_extraction_not_final
FLOW_SCI_033__O8	FLOW_SCI_033	FLOW_SCI_033__T3	FLOW_SCI_033__P1	IL-1beta	Il1b	electrochemiluminescence_multiplex	electrochemiluminescent_concentration	soluble protein	bulk tissue multiplex assay	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	lesion-centered spinal cord tissue and acute flow suspension			SCI	none for the primary mouse time-course cohort; human postmortem/CSF validation is secondary context	moderate thoracic contusion SCI	75 kDyn contusion	T9	male and female C57BL/6J mice; exact acute-panel balance not extracted	spinal cord tissue homogenate	spinal-cord tissue homogenate	PMC9220050, Figures 3-5 and acute flow cytometry panels		source_extraction_not_final
FLOW_SCI_033__O9	FLOW_SCI_033	FLOW_SCI_033__T1	FLOW_SCI_033__P1	IL-6	Il6	electrochemiluminescence_multiplex	electrochemiluminescent_concentration	soluble protein	bulk tissue multiplex assay	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	lesion-centered spinal cord tissue and acute flow suspension			SCI	none for the primary mouse time-course cohort; human postmortem/CSF validation is secondary context	moderate thoracic contusion SCI	75 kDyn contusion	T9	male and female C57BL/6J mice; exact acute-panel balance not extracted	spinal cord tissue homogenate	spinal-cord tissue homogenate	PMC9220050, Figures 3-5 and acute flow cytometry panels		source_extraction_not_final
FLOW_SCI_034__O1	FLOW_SCI_034	FLOW_SCI_034__T1	FLOW_SCI_034__P1	IFITM1	Ifitm1	western_blot	band_intensity	soluble	bulk_tissue	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	injury epicenter and peri-lesion spinal cord			SCI	none	acute thoracic contusion SCI	unknown	T8-T10 tissue segment; exact injury vertebral level not extracted	female Sprague-Dawley rats	T8-T10 spinal cord tissue segment	whole_tissue	PMC5833178, Figures 3 and 5-8		source_extraction_not_final
FLOW_SCI_034__O10	FLOW_SCI_034	FLOW_SCI_034__T1	FLOW_SCI_034__P6	IFITM1	Ifitm1	immunofluorescence	cell_count_or_fluorescence_density	unknown	cell_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	injury epicenter and peri-lesion spinal cord			SCI	none	acute thoracic contusion SCI	unknown	T8-T10 tissue segment; exact injury vertebral level not extracted	female Sprague-Dawley rats	NeuN-positive cells	whole_tissue	PMC5833178, Figures 3 and 5-8		source_extraction_not_final
FLOW_SCI_034__O2	FLOW_SCI_034	FLOW_SCI_034__T3	FLOW_SCI_034__P1	IFITM1	Ifitm1	western_blot	band_intensity	soluble	bulk_tissue	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	injury epicenter and peri-lesion spinal cord			SCI	none	acute thoracic contusion SCI	unknown	T8-T10 tissue segment; exact injury vertebral level not extracted	female Sprague-Dawley rats	T8-T10 spinal cord tissue segment	whole_tissue	PMC5833178, Figures 3 and 5-8		source_extraction_not_final
FLOW_SCI_034__O3	FLOW_SCI_034	FLOW_SCI_034__T1	FLOW_SCI_034__P2	IFITM1	Ifitm1	immunofluorescence	cell_count_or_fluorescence_density	unknown	cell_resolved	primary_source_checked_not_reported	A_direct_cell_population_protein	candidate	1.0	day	injury epicenter and peri-lesion spinal cord			SCI	none	acute thoracic contusion SCI	unknown	T8-T10 tissue segment; exact injury vertebral level not extracted	female Sprague-Dawley rats	CD45-positive leukocytes	whole_tissue	PMC5833178, Figures 3 and 5-8		source_extraction_not_final
FLOW_SCI_034__O4	FLOW_SCI_034	FLOW_SCI_034__T3	FLOW_SCI_034__P2	IFITM1	Ifitm1	immunofluorescence	cell_count_or_fluorescence_density	unknown	cell_resolved	primary_source_checked_not_reported	A_direct_cell_population_protein	candidate	3.0	day	injury epicenter and peri-lesion spinal cord			SCI	none	acute thoracic contusion SCI	unknown	T8-T10 tissue segment; exact injury vertebral level not extracted	female Sprague-Dawley rats	CD45-positive leukocytes	whole_tissue	PMC5833178, Figures 3 and 5-8		source_extraction_not_final
FLOW_SCI_034__O5	FLOW_SCI_034	FLOW_SCI_034__T1	FLOW_SCI_034__P3	IFITM1	Ifitm1	immunofluorescence	cell_count_or_fluorescence_density	unknown	cell_resolved	primary_source_checked_not_reported	A_direct_cell_population_protein	candidate	1.0	day	injury epicenter and peri-lesion spinal cord			SCI	none	acute thoracic contusion SCI	unknown	T8-T10 tissue segment; exact injury vertebral level not extracted	female Sprague-Dawley rats	CD68-positive cells	whole_tissue	PMC5833178, Figures 3 and 5-8		source_extraction_not_final
FLOW_SCI_034__O6	FLOW_SCI_034	FLOW_SCI_034__T3	FLOW_SCI_034__P3	IFITM1	Ifitm1	immunofluorescence	cell_count_or_fluorescence_density	unknown	cell_resolved	primary_source_checked_not_reported	A_direct_cell_population_protein	candidate	3.0	day	injury epicenter and peri-lesion spinal cord			SCI	none	acute thoracic contusion SCI	unknown	T8-T10 tissue segment; exact injury vertebral level not extracted	female Sprague-Dawley rats	CD68-positive cells	whole_tissue	PMC5833178, Figures 3 and 5-8		source_extraction_not_final
FLOW_SCI_034__O7	FLOW_SCI_034	FLOW_SCI_034__T1	FLOW_SCI_034__P4	IFITM1	Ifitm1	immunofluorescence	cell_count_or_fluorescence_density	unknown	cell_resolved	primary_source_checked_not_reported	A_direct_cell_population_protein	candidate	1.0	day	injury epicenter and peri-lesion spinal cord			SCI	none	acute thoracic contusion SCI	unknown	T8-T10 tissue segment; exact injury vertebral level not extracted	female Sprague-Dawley rats	GFAP-positive cells	whole_tissue	PMC5833178, Figures 3 and 5-8		source_extraction_not_final
FLOW_SCI_034__O8	FLOW_SCI_034	FLOW_SCI_034__T3	FLOW_SCI_034__P4	IFITM1	Ifitm1	immunofluorescence	cell_count_or_fluorescence_density	unknown	cell_resolved	primary_source_checked_not_reported	A_direct_cell_population_protein	candidate	3.0	day	injury epicenter and peri-lesion spinal cord			SCI	none	acute thoracic contusion SCI	unknown	T8-T10 tissue segment; exact injury vertebral level not extracted	female Sprague-Dawley rats	GFAP-positive cells	whole_tissue	PMC5833178, Figures 3 and 5-8		source_extraction_not_final
FLOW_SCI_034__O9	FLOW_SCI_034	FLOW_SCI_034__T1	FLOW_SCI_034__P5	IFITM1	Ifitm1	immunofluorescence	cell_count_or_fluorescence_density	unknown	cell_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	injury epicenter and peri-lesion spinal cord			SCI	none	acute thoracic contusion SCI	unknown	T8-T10 tissue segment; exact injury vertebral level not extracted	female Sprague-Dawley rats	APC-positive cells	whole_tissue	PMC5833178, Figures 3 and 5-8		source_extraction_not_final
FLOW_SCI_035__O3	FLOW_SCI_035	FLOW_SCI_035__T1	FLOW_SCI_035__P1	Ferritin	Fth1/Ftl1	western_blot	western_blot_band_intensity	total protein	bulk tissue immunoblot	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	approximately 4 mm lesion-centered spinal cord segment			SCI	ceruloplasmin knockout versus wild-type mice; acute tissue time-course retained	thoracic contusion SCI	unknown	unknown thoracic level	unknown	4 mm lesion-centered spinal cord homogenate	approximately 4-mm lesion-centered spinal-cord segment	PMC6671786, Figures 1, 5, and 6		source_extraction_not_final
FLOW_SCI_035__O4	FLOW_SCI_035	FLOW_SCI_035__T3	FLOW_SCI_035__P1	Ferritin	Fth1/Ftl1	western_blot	western_blot_band_intensity	total protein	bulk tissue immunoblot	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	approximately 4 mm lesion-centered spinal cord segment			SCI	ceruloplasmin knockout versus wild-type mice; acute tissue time-course retained	thoracic contusion SCI	unknown	unknown thoracic level	unknown	4 mm lesion-centered spinal cord homogenate	approximately 4-mm lesion-centered spinal-cord segment	PMC6671786, Figures 1, 5, and 6		source_extraction_not_final
FLOW_SCI_035__O5	FLOW_SCI_035	FLOW_SCI_035__T1	FLOW_SCI_035__P1	DMT1	Slc11a2	western_blot	western_blot_band_intensity	total protein	bulk tissue immunoblot	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	approximately 4 mm lesion-centered spinal cord segment			SCI	ceruloplasmin knockout versus wild-type mice; acute tissue time-course retained	thoracic contusion SCI	unknown	unknown thoracic level	unknown	4 mm lesion-centered spinal cord homogenate	approximately 4-mm lesion-centered spinal-cord segment	PMC6671786, Figures 1, 5, and 6		source_extraction_not_final
FLOW_SCI_035__O6	FLOW_SCI_035	FLOW_SCI_035__T3	FLOW_SCI_035__P1	DMT1	Slc11a2	western_blot	western_blot_band_intensity	total protein	bulk tissue immunoblot	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	approximately 4 mm lesion-centered spinal cord segment			SCI	ceruloplasmin knockout versus wild-type mice; acute tissue time-course retained	thoracic contusion SCI	unknown	unknown thoracic level	unknown	4 mm lesion-centered spinal cord homogenate	approximately 4-mm lesion-centered spinal-cord segment	PMC6671786, Figures 1, 5, and 6		source_extraction_not_final
FLOW_SCI_035__O7	FLOW_SCI_035	FLOW_SCI_035__T1	FLOW_SCI_035__P1	Ferroportin	Slc40a1	western_blot	western_blot_band_intensity	total protein	bulk tissue immunoblot	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	approximately 4 mm lesion-centered spinal cord segment			SCI	ceruloplasmin knockout versus wild-type mice; acute tissue time-course retained	thoracic contusion SCI	unknown	unknown thoracic level	unknown	4 mm lesion-centered spinal cord homogenate	approximately 4-mm lesion-centered spinal-cord segment	PMC6671786, Figures 1, 5, and 6		source_extraction_not_final
FLOW_SCI_035__O8	FLOW_SCI_035	FLOW_SCI_035__T3	FLOW_SCI_035__P1	Ferroportin	Slc40a1	western_blot	western_blot_band_intensity	total protein	bulk tissue immunoblot	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	approximately 4 mm lesion-centered spinal cord segment			SCI	ceruloplasmin knockout versus wild-type mice; acute tissue time-course retained	thoracic contusion SCI	unknown	unknown thoracic level	unknown	4 mm lesion-centered spinal cord homogenate	approximately 4-mm lesion-centered spinal-cord segment	PMC6671786, Figures 1, 5, and 6		source_extraction_not_final
FLOW_SCI_041__O041_CATD_ACTIVE_4D	FLOW_SCI_041	FLOW_SCI_041__T041_4D	FLOW_SCI_041__P041_BULK	Cathepsin D active form	CTSD	western_blot	relative optical density of active approximately 31-kDa cathepsin D band	active approximately 31-kDa cathepsin D form	bulk tissue	figure_table_transcribed	C_bulk_tissue_protein	candidate	4.0	days	spinal cord surgical site/lesion			SCI versus normal control	none	clip compression SCI at T9/T10; vascular clip applied for 1 minute at 10-15 g	complete hind-limb paralysis immediately after injury; clip force/time as reported	T9/T10	female	spinal cord tissue homogenate	whole spinal cord homogenate from lesion/surgical site	J Vet Med Sci 70(9):937-941; PDF pages 0-4; Figures 2 and 4		phospho_or_active_form_review_scope
FLOW_SCI_041__O041_CATD_ACTIVE_7D	FLOW_SCI_041	FLOW_SCI_041__T041_7D	FLOW_SCI_041__P041_BULK	Cathepsin D active form	CTSD	western_blot	relative optical density of active approximately 31-kDa cathepsin D band	active approximately 31-kDa cathepsin D form	bulk tissue	figure_table_transcribed	C_bulk_tissue_protein	candidate	7.0	days	spinal cord surgical site/lesion			SCI versus normal control	none	clip compression SCI at T9/T10; vascular clip applied for 1 minute at 10-15 g	complete hind-limb paralysis immediately after injury; clip force/time as reported	T9/T10	female	spinal cord tissue homogenate	whole spinal cord homogenate from lesion/surgical site	J Vet Med Sci 70(9):937-941; PDF pages 0-4; Figures 2 and 4		phospho_or_active_form_review_scope
FLOW_SCI_042__O042_IL1B_7D	FLOW_SCI_042	FLOW_SCI_042__T042_7D	FLOW_SCI_042__P042_BULK	Interleukin-1 beta	IL1B	elisa	ELISA_concentration	total protein	bulk tissue assay	primary_source_checked_not_reported	C_bulk_tissue_protein	candidate	7.0	days	T10 injury-centered spinal cord			SCI versus sham	none	T10 compressive SCI using a 10-g aneurysm clip for 2 minutes	complete hind-limb paralysis immediately after compression; exact graded severity not reported	T10	male	spinal cord tissue	lesion-containing spinal-cord tissue	PMCID PMC6157579; Figures 4-7; Methods sections on groups, Western blot, inflammatory factors, and associated factors		source_extraction_not_final
FLOW_SCI_042__O042_IL6_7D	FLOW_SCI_042	FLOW_SCI_042__T042_7D	FLOW_SCI_042__P042_BULK	Interleukin-6	IL6	elisa	ELISA_concentration	total protein	bulk tissue assay	primary_source_checked_not_reported	C_bulk_tissue_protein	candidate	7.0	days	T10 injury-centered spinal cord			SCI versus sham	none	T10 compressive SCI using a 10-g aneurysm clip for 2 minutes	complete hind-limb paralysis immediately after compression; exact graded severity not reported	T10	male	spinal cord tissue	lesion-containing spinal-cord tissue	PMCID PMC6157579; Figures 4-7; Methods sections on groups, Western blot, inflammatory factors, and associated factors		source_extraction_not_final
FLOW_SCI_042__O042_LPL_7D	FLOW_SCI_042	FLOW_SCI_042__T042_7D	FLOW_SCI_042__P042_BULK	Plastin L	LCP1	immunohistochemistry	integrated_optical_density	total protein	spatial tissue assay	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	7.0	days	T10 injury-centered spinal cord			SCI versus sham	none	T10 compressive SCI using a 10-g aneurysm clip for 2 minutes	complete hind-limb paralysis immediately after compression; exact graded severity not reported	T10	male	spinal cord tissue	lesion-containing spinal-cord tissue	PMCID PMC6157579; Figures 4-7; Methods sections on groups, Western blot, inflammatory factors, and associated factors		source_extraction_not_final
FLOW_SCI_042__O042_MBP_7D	FLOW_SCI_042	FLOW_SCI_042__T042_7D	FLOW_SCI_042__P042_BULK	Myelin basic protein	MBP	western_blot	western_blot_band_intensity	total protein	bulk tissue assay	primary_source_checked_not_reported	C_bulk_tissue_protein	candidate	7.0	days	T10 injury-centered spinal cord			SCI versus sham	none	T10 compressive SCI using a 10-g aneurysm clip for 2 minutes	complete hind-limb paralysis immediately after compression; exact graded severity not reported	T10	male	spinal cord tissue	lesion-containing spinal-cord tissue	PMCID PMC6157579; Figures 4-7; Methods sections on groups, Western blot, inflammatory factors, and associated factors		source_extraction_not_final
FLOW_SCI_042__O042_TNFA_7D	FLOW_SCI_042	FLOW_SCI_042__T042_7D	FLOW_SCI_042__P042_BULK	Tumor necrosis factor alpha	TNF	elisa	ELISA_concentration	total protein	bulk tissue assay	primary_source_checked_not_reported	C_bulk_tissue_protein	candidate	7.0	days	T10 injury-centered spinal cord			SCI versus sham	none	T10 compressive SCI using a 10-g aneurysm clip for 2 minutes	complete hind-limb paralysis immediately after compression; exact graded severity not reported	T10	male	spinal cord tissue	lesion-containing spinal-cord tissue	PMCID PMC6157579; Figures 4-7; Methods sections on groups, Western blot, inflammatory factors, and associated factors		source_extraction_not_final
FLOW_SCI_045__O045_ARG1_ASTRO_4D	FLOW_SCI_045	FLOW_SCI_045__T045_4D	FLOW_SCI_045__P045_ASTRO	Arginase-1	ARG1	immunohistochemistry	cell localization and immunoreactivity	not resolved	bulk_tissue	primary_source_inaccessible	B_direct_but_incomplete	candidate	4.0	days	core lesion and surrounding spinal cord			SCI versus sham	none	clip compression SCI; exact clip procedure and level require full-text extraction	complete hind-limb paralysis reported; exact injury force not extracted	not reported in the extracted record	female	reactive astrocytes	whole_tissue	PubMed PMID 22325098; Brain Research 1445:11-19; abstract and publisher snippets		source_extraction_not_final
FLOW_SCI_045__O045_ARG1_BULK_4D	FLOW_SCI_045	FLOW_SCI_045__T045_4D	FLOW_SCI_045__P045_BULK	Arginase-1	ARG1	western_blot	relative abundance	total arginase-1	bulk_tissue	primary_source_inaccessible	C_bulk_tissue_protein	candidate	4.0	days	core lesion and surrounding spinal cord			SCI versus sham	none	clip compression SCI; exact clip procedure and level require full-text extraction	complete hind-limb paralysis reported; exact injury force not extracted	not reported in the extracted record	female	SCI core lesion tissue	whole_tissue	ScienceDirect PII S0006899312001278; Methods and Results snippets		source_extraction_not_final
FLOW_SCI_045__O045_ARG1_BULK_7D	FLOW_SCI_045	FLOW_SCI_045__T045_7D	FLOW_SCI_045__P045_BULK	Arginase-1	ARG1	western_blot	relative abundance	total arginase-1	bulk_tissue	primary_source_inaccessible	C_bulk_tissue_protein	candidate	7.0	days	core lesion and surrounding spinal cord			SCI versus sham	none	clip compression SCI; exact clip procedure and level require full-text extraction	complete hind-limb paralysis reported; exact injury force not extracted	not reported in the extracted record	female	SCI core lesion tissue	whole_tissue	PubMed PMID 22325098; Brain Research 1445:11-19; abstract and publisher snippets		source_extraction_not_final
FLOW_SCI_045__O045_ARG1_MAC_4D	FLOW_SCI_045	FLOW_SCI_045__T045_4D	FLOW_SCI_045__P045_MAC	Arginase-1	ARG1	immunohistochemistry	cell localization and immunoreactivity	not resolved	bulk_tissue	primary_source_inaccessible	B_direct_but_incomplete	candidate	4.0	days	core lesion and surrounding spinal cord			SCI versus sham	none	clip compression SCI; exact clip procedure and level require full-text extraction	complete hind-limb paralysis reported; exact injury force not extracted	not reported in the extracted record	female	isolectin B4-positive macrophages	whole_tissue	PubMed PMID 22325098; Brain Research 1445:11-19; abstract and publisher snippets		source_extraction_not_final
FLOW_SCI_060__FLOW_SCI_060_O_CCL2	FLOW_SCI_060	FLOW_SCI_060_UNSPECIFIED_TIMEPOINT	FLOW_SCI_060_UNASSIGNED_POPULATION	MCP-1/CCL2	Ccl2	multiplex_protein_assay	soluble_cytokine_concentration	soluble cytokine	bulk_tissue	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	observational severity comparison	mild, moderate, or severe thoracic contusion SCI; separate complete transection arm	severity-stratified contusion; exact impact parameters are assay/model specific	thoracic; 7 mm lesion-centered spinal cord sample	unknown	unassigned or bulk sample	7-mm lesion-centered spinal-cord tissue homogenate	PMC11467934; Methods, Figures 2-5, Additional Table 1		source_extraction_not_final
FLOW_SCI_060__FLOW_SCI_060_O_CCL3	FLOW_SCI_060	FLOW_SCI_060_UNSPECIFIED_TIMEPOINT	FLOW_SCI_060_UNASSIGNED_POPULATION	MIP-1-alpha/CCL3	Ccl3	multiplex_protein_assay	soluble_cytokine_concentration	soluble cytokine	bulk_tissue	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	observational severity comparison	mild, moderate, or severe thoracic contusion SCI; separate complete transection arm	severity-stratified contusion; exact impact parameters are assay/model specific	thoracic; 7 mm lesion-centered spinal cord sample	unknown	unassigned or bulk sample	7-mm lesion-centered spinal-cord tissue homogenate	PMC11467934; Methods, Figures 2-5, Additional Table 1		source_extraction_not_final
FLOW_SCI_060__FLOW_SCI_060_O_CCL5	FLOW_SCI_060	FLOW_SCI_060_UNSPECIFIED_TIMEPOINT	FLOW_SCI_060_UNASSIGNED_POPULATION	RANTES/CCL5	Ccl5	multiplex_protein_assay	soluble_cytokine_concentration	soluble cytokine	bulk_tissue	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	observational severity comparison	mild, moderate, or severe thoracic contusion SCI; separate complete transection arm	severity-stratified contusion; exact impact parameters are assay/model specific	thoracic; 7 mm lesion-centered spinal cord sample	unknown	unassigned or bulk sample	7-mm lesion-centered spinal-cord tissue homogenate	PMC11467934; Methods, Figures 2-5, Additional Table 1		source_extraction_not_final
FLOW_SCI_060__FLOW_SCI_060_O_CXCL1	FLOW_SCI_060	FLOW_SCI_060_UNSPECIFIED_TIMEPOINT	FLOW_SCI_060_UNASSIGNED_POPULATION	GRO-KC/CXCL1	Cxcl1	multiplex_protein_assay	soluble_cytokine_concentration	soluble cytokine	bulk_tissue	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	observational severity comparison	mild, moderate, or severe thoracic contusion SCI; separate complete transection arm	severity-stratified contusion; exact impact parameters are assay/model specific	thoracic; 7 mm lesion-centered spinal cord sample	unknown	unassigned or bulk sample	7-mm lesion-centered spinal-cord tissue homogenate	PMC11467934; Methods, Figures 2-5, Additional Table 1		source_extraction_not_final
FLOW_SCI_060__FLOW_SCI_060_O_IL10	FLOW_SCI_060	FLOW_SCI_060_UNSPECIFIED_TIMEPOINT	FLOW_SCI_060_UNASSIGNED_POPULATION	IL-10	Il10	multiplex_protein_assay	soluble_cytokine_concentration	soluble cytokine	bulk_tissue	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	observational severity comparison	mild, moderate, or severe thoracic contusion SCI; separate complete transection arm	severity-stratified contusion; exact impact parameters are assay/model specific	thoracic; 7 mm lesion-centered spinal cord sample	unknown	unassigned or bulk sample	7-mm lesion-centered spinal-cord tissue homogenate	PMC11467934; Methods, Figures 2-5, Additional Table 1		source_extraction_not_final
FLOW_SCI_060__FLOW_SCI_060_O_IL1B	FLOW_SCI_060	FLOW_SCI_060_UNSPECIFIED_TIMEPOINT	FLOW_SCI_060_UNASSIGNED_POPULATION	IL-1-beta	Il1b	multiplex_protein_assay	soluble_cytokine_concentration	soluble cytokine	bulk_tissue	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	observational severity comparison	mild, moderate, or severe thoracic contusion SCI; separate complete transection arm	severity-stratified contusion; exact impact parameters are assay/model specific	thoracic; 7 mm lesion-centered spinal cord sample	unknown	unassigned or bulk sample	7-mm lesion-centered spinal-cord tissue homogenate	PMC11467934; Methods, Figures 2-5, Additional Table 1		source_extraction_not_final
FLOW_SCI_060__FLOW_SCI_060_O_TNF	FLOW_SCI_060	FLOW_SCI_060_UNSPECIFIED_TIMEPOINT	FLOW_SCI_060_UNASSIGNED_POPULATION	TNF-alpha	Tnf	multiplex_protein_assay	soluble_cytokine_concentration	soluble cytokine	bulk_tissue	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	observational severity comparison	mild, moderate, or severe thoracic contusion SCI; separate complete transection arm	severity-stratified contusion; exact impact parameters are assay/model specific	thoracic; 7 mm lesion-centered spinal cord sample	unknown	unassigned or bulk sample	7-mm lesion-centered spinal-cord tissue homogenate	PMC11467934; Methods, Figures 2-5, Additional Table 1		source_extraction_not_final
FLOW_SCI_062__FLOW_SCI_062_O_CX3CL1	FLOW_SCI_062	FLOW_SCI_062_UNSPECIFIED_TIMEPOINT	FLOW_SCI_062_UNASSIGNED_POPULATION	fractalkine/CX3CL1	Cx3cl1	elisa	concentration time course	soluble	circulating	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	observational level comparison	moderate-severe clip-compression cervical and thoracic SCI	moderate-severe incomplete injury	cervical versus thoracic, level-matched comparison	unknown	unassigned or bulk sample	plasma	PMC6122077; Methods, Figures 1-2, supplementary tables		source_extraction_not_final
